attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
166,,,0.0,105,2.078737742604138,0.9808390664156272,2.915012444844787,2.421518309725716,3.534693476207622,all,0,0.0,,4,61,2.0584679575435545,0.995011714445429,2.378476653838322,1.933626201146644,2.238505185149747,1.0,166,0.04417051162177803,498,0.04580493923054193,0.8879519510728486,0.08175867949217064,0.045804939230541936,0.049902216713601705,0.083989726353188
61,,isobaric,0.0,0,,,,,,direction,0,0.0,,2,61,2.0584679575435545,0.995011714445429,2.378476653838322,1.933626201146644,2.238505185149747,1.0,61,0.06547374922774722,183,0.08489965853040092,0.6734699791820191,0.12661567973502905,0.08489965853040092,0.06547374922774722,0.10751687289932378
105,,isothermal,0.0,105,2.078737742604138,0.9808390664156272,2.915012444844787,2.421518309725716,3.534693476207622,direction,0,0.0,,2,0,,,,,,1.0,105,0.03433068419945618,315,0.023092768970623852,0.9809356465485178,0.035415977825701155,0.023092768970623845,0.03433068419945619,0.050484357059563056
166,3,,0.0,105,2.078737742604138,0.9808390664156272,2.915012444844787,2.421518309725716,3.534693476207622,cardinality,0,0.0,,4,61,2.0584679575435545,0.995011714445429,2.378476653838322,1.933626201146644,2.238505185149747,1.0,166,0.04417051162177803,498,0.04580493923054193,0.8879519510728486,0.08175867949217064,0.045804939230541936,0.049902216713601705,0.083989726353188
61,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,2,61,2.0584679575435545,0.995011714445429,2.378476653838322,1.933626201146644,2.238505185149747,1.0,61,0.06547374922774722,183,0.08489965853040092,0.6734699791820191,0.12661567973502905,0.08489965853040092,0.06547374922774722,0.10751687289932378
105,3,isothermal,0.0,105,2.078737742604138,0.9808390664156272,2.915012444844787,2.421518309725716,3.534693476207622,direction_cardinality,0,0.0,,2,0,,,,,,1.0,105,0.03433068419945618,315,0.023092768970623852,0.9809356465485178,0.035415977825701155,0.023092768970623845,0.03433068419945619,0.050484357059563056
43,,,0.0,0,,,,,,binary_subsystem_coverage,0,0.0,0/3,1,43,2.2382400867551056,0.706157321766522,2.5666602896539894,2.2382400867551056,2.5666602896539894,1.0,43,0.11287296792622221,129,0.11287296792622223,0.4596500781718992,0.14990233422476032,0.11287296792622223,0.11287296792622223,0.14990233422476032
21,,,0.0,21,2.992819254928346,0.9331978491698874,4.376679715566656,2.992819254928346,4.376679715566656,binary_subsystem_coverage,0,0.0,1/3,1,0,,,,,,1.0,21,0.05306054291417675,63,0.05306054291417675,0.9602875785806364,0.06860006082355626,0.05306054291417675,0.05306054291417675,0.06860006082355626
18,,,0.0,0,,,,,,binary_subsystem_coverage,0,0.0,2/3,1,18,1.6290123155381826,0.9786842362704528,1.8531232785214011,1.6290123155381826,1.8531232785214011,1.0,18,0.018074530529272225,54,0.018074530529272225,0.9903185256809022,0.025476383378865725,0.01807453052927223,0.018074530529272225,0.025476383378865725
84,,,0.0,84,1.8502173645230866,0.9836631151700336,2.415117100439816,1.8502173645230866,2.415117100439816,binary_subsystem_coverage,0,0.0,3/3,1,0,,,,,,1.0,84,0.015600825484735625,252,0.015600825484735624,0.9925616309187135,0.019783130956430788,0.015600825484735625,0.015600825484735624,0.019783130956430788
