attempted_samples_available_seeds,attempted_samples_mean,attempted_samples_seed_ids,attempted_samples_std,component_count,direction,nonphysical_rate_available_seeds,nonphysical_rate_mean,nonphysical_rate_seed_ids,nonphysical_rate_std,pressure_count_available_seeds,pressure_count_mean,pressure_count_seed_ids,pressure_count_std,pressure_mae_kpa_available_seeds,pressure_mae_kpa_mean,pressure_mae_kpa_seed_ids,pressure_mae_kpa_std,pressure_r2_available_seeds,pressure_r2_mean,pressure_r2_seed_ids,pressure_r2_std,pressure_rmse_kpa_available_seeds,pressure_rmse_kpa_mean,pressure_rmse_kpa_seed_ids,pressure_rmse_kpa_std,pressure_system_macro_mae_kpa_available_seeds,pressure_system_macro_mae_kpa_mean,pressure_system_macro_mae_kpa_seed_ids,pressure_system_macro_mae_kpa_std,pressure_system_macro_rmse_kpa_available_seeds,pressure_system_macro_rmse_kpa_mean,pressure_system_macro_rmse_kpa_seed_ids,pressure_system_macro_rmse_kpa_std,scope,scope_available_seeds,scope_seed_ids,seeds,solver_failure_rate_available_seeds,solver_failure_rate_mean,solver_failure_rate_seed_ids,solver_failure_rate_std,subgroup,systems_available_seeds,systems_mean,systems_seed_ids,systems_std,temperature_count_available_seeds,temperature_count_mean,temperature_count_seed_ids,temperature_count_std,temperature_mae_k_available_seeds,temperature_mae_k_mean,temperature_mae_k_seed_ids,temperature_mae_k_std,temperature_r2_available_seeds,temperature_r2_mean,temperature_r2_seed_ids,temperature_r2_std,temperature_rmse_k_available_seeds,temperature_rmse_k_mean,temperature_rmse_k_seed_ids,temperature_rmse_k_std,temperature_system_macro_mae_k_available_seeds,temperature_system_macro_mae_k_mean,temperature_system_macro_mae_k_seed_ids,temperature_system_macro_mae_k_std,temperature_system_macro_rmse_k_available_seeds,temperature_system_macro_rmse_k_mean,temperature_system_macro_rmse_k_seed_ids,temperature_system_macro_rmse_k_std,valid_coverage_available_seeds,valid_coverage_mean,valid_coverage_seed_ids,valid_coverage_std,valid_samples_available_seeds,valid_samples_mean,valid_samples_seed_ids,valid_samples_std,y_component_macro_mae_available_seeds,y_component_macro_mae_mean,y_component_macro_mae_seed_ids,y_component_macro_mae_std,y_component_values_available_seeds,y_component_values_mean,y_component_values_seed_ids,y_component_values_std,y_mae_available_seeds,y_mae_mean,y_mae_seed_ids,y_mae_std,y_r2_available_seeds,y_r2_mean,y_r2_seed_ids,y_r2_std,y_rmse_available_seeds,y_rmse_mean,y_rmse_seed_ids,y_rmse_std,y_sample_macro_mae_available_seeds,y_sample_macro_mae_mean,y_sample_macro_mae_seed_ids,y_sample_macro_mae_std,y_system_macro_mae_available_seeds,y_system_macro_mae_mean,y_system_macro_mae_seed_ids,y_system_macro_mae_std,y_system_macro_rmse_available_seeds,y_system_macro_rmse_mean,y_system_macro_rmse_seed_ids,y_system_macro_rmse_std
1,166.0,0,0.0,,,1,0.0,0,0.0,1,105.0,0,0.0,1,2.078737742604138,0,0.0,1,0.9808390664156272,0,0.0,1,2.915012444844787,0,0.0,1,2.421518309725716,0,0.0,1,3.534693476207622,0,0.0,all,1,0,1,1,0.0,0,0.0,,1,4.0,0,0.0,1,61.0,0,0.0,1,2.0584679575435545,0,0.0,1,0.995011714445429,0,0.0,1,2.378476653838322,0,0.0,1,1.933626201146644,0,0.0,1,2.238505185149747,0,0.0,1,1.0,0,0.0,1,166.0,0,0.0,1,0.04417051162177803,0,0.0,1,498.0,0,0.0,1,0.04580493923054193,0,0.0,1,0.8879519510728486,0,0.0,1,0.08175867949217064,0,0.0,1,0.045804939230541936,0,0.0,1,0.049902216713601705,0,0.0,1,0.083989726353188,0,0.0
1,43.0,0,0.0,,,1,0.0,0,0.0,1,0.0,0,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,binary_subsystem_coverage,1,0,1,1,0.0,0,0.0,0/3,1,1.0,0,0.0,1,43.0,0,0.0,1,2.2382400867551056,0,0.0,1,0.706157321766522,0,0.0,1,2.5666602896539894,0,0.0,1,2.2382400867551056,0,0.0,1,2.5666602896539894,0,0.0,1,1.0,0,0.0,1,43.0,0,0.0,1,0.11287296792622221,0,0.0,1,129.0,0,0.0,1,0.11287296792622223,0,0.0,1,0.4596500781718992,0,0.0,1,0.14990233422476032,0,0.0,1,0.11287296792622223,0,0.0,1,0.11287296792622223,0,0.0,1,0.14990233422476032,0,0.0
1,21.0,0,0.0,,,1,0.0,0,0.0,1,21.0,0,0.0,1,2.992819254928346,0,0.0,1,0.9331978491698874,0,0.0,1,4.376679715566656,0,0.0,1,2.992819254928346,0,0.0,1,4.376679715566656,0,0.0,binary_subsystem_coverage,1,0,1,1,0.0,0,0.0,1/3,1,1.0,0,0.0,1,0.0,0,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,1,1.0,0,0.0,1,21.0,0,0.0,1,0.05306054291417675,0,0.0,1,63.0,0,0.0,1,0.05306054291417675,0,0.0,1,0.9602875785806364,0,0.0,1,0.06860006082355626,0,0.0,1,0.05306054291417675,0,0.0,1,0.05306054291417675,0,0.0,1,0.06860006082355626,0,0.0
1,18.0,0,0.0,,,1,0.0,0,0.0,1,0.0,0,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,binary_subsystem_coverage,1,0,1,1,0.0,0,0.0,2/3,1,1.0,0,0.0,1,18.0,0,0.0,1,1.6290123155381826,0,0.0,1,0.9786842362704528,0,0.0,1,1.8531232785214011,0,0.0,1,1.6290123155381826,0,0.0,1,1.8531232785214011,0,0.0,1,1.0,0,0.0,1,18.0,0,0.0,1,0.018074530529272225,0,0.0,1,54.0,0,0.0,1,0.018074530529272225,0,0.0,1,0.9903185256809022,0,0.0,1,0.025476383378865725,0,0.0,1,0.01807453052927223,0,0.0,1,0.018074530529272225,0,0.0,1,0.025476383378865725,0,0.0
1,84.0,0,0.0,,,1,0.0,0,0.0,1,84.0,0,0.0,1,1.8502173645230866,0,0.0,1,0.9836631151700336,0,0.0,1,2.415117100439816,0,0.0,1,1.8502173645230866,0,0.0,1,2.415117100439816,0,0.0,binary_subsystem_coverage,1,0,1,1,0.0,0,0.0,3/3,1,1.0,0,0.0,1,0.0,0,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,1,1.0,0,0.0,1,84.0,0,0.0,1,0.015600825484735625,0,0.0,1,252.0,0,0.0,1,0.015600825484735624,0,0.0,1,0.9925616309187135,0,0.0,1,0.019783130956430788,0,0.0,1,0.015600825484735625,0,0.0,1,0.015600825484735624,0,0.0,1,0.019783130956430788,0,0.0
1,166.0,0,0.0,3,,1,0.0,0,0.0,1,105.0,0,0.0,1,2.078737742604138,0,0.0,1,0.9808390664156272,0,0.0,1,2.915012444844787,0,0.0,1,2.421518309725716,0,0.0,1,3.534693476207622,0,0.0,cardinality,1,0,1,1,0.0,0,0.0,,1,4.0,0,0.0,1,61.0,0,0.0,1,2.0584679575435545,0,0.0,1,0.995011714445429,0,0.0,1,2.378476653838322,0,0.0,1,1.933626201146644,0,0.0,1,2.238505185149747,0,0.0,1,1.0,0,0.0,1,166.0,0,0.0,1,0.04417051162177803,0,0.0,1,498.0,0,0.0,1,0.04580493923054193,0,0.0,1,0.8879519510728486,0,0.0,1,0.08175867949217064,0,0.0,1,0.045804939230541936,0,0.0,1,0.049902216713601705,0,0.0,1,0.083989726353188,0,0.0
1,61.0,0,0.0,,isobaric,1,0.0,0,0.0,1,0.0,0,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,direction,1,0,1,1,0.0,0,0.0,,1,2.0,0,0.0,1,61.0,0,0.0,1,2.0584679575435545,0,0.0,1,0.995011714445429,0,0.0,1,2.378476653838322,0,0.0,1,1.933626201146644,0,0.0,1,2.238505185149747,0,0.0,1,1.0,0,0.0,1,61.0,0,0.0,1,0.06547374922774722,0,0.0,1,183.0,0,0.0,1,0.08489965853040092,0,0.0,1,0.6734699791820191,0,0.0,1,0.12661567973502905,0,0.0,1,0.08489965853040092,0,0.0,1,0.06547374922774722,0,0.0,1,0.10751687289932378,0,0.0
1,105.0,0,0.0,,isothermal,1,0.0,0,0.0,1,105.0,0,0.0,1,2.078737742604138,0,0.0,1,0.9808390664156272,0,0.0,1,2.915012444844787,0,0.0,1,2.421518309725716,0,0.0,1,3.534693476207622,0,0.0,direction,1,0,1,1,0.0,0,0.0,,1,2.0,0,0.0,1,0.0,0,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,1,1.0,0,0.0,1,105.0,0,0.0,1,0.03433068419945618,0,0.0,1,315.0,0,0.0,1,0.023092768970623852,0,0.0,1,0.9809356465485178,0,0.0,1,0.035415977825701155,0,0.0,1,0.023092768970623845,0,0.0,1,0.03433068419945619,0,0.0,1,0.050484357059563056,0,0.0
1,61.0,0,0.0,3,isobaric,1,0.0,0,0.0,1,0.0,0,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,direction_cardinality,1,0,1,1,0.0,0,0.0,,1,2.0,0,0.0,1,61.0,0,0.0,1,2.0584679575435545,0,0.0,1,0.995011714445429,0,0.0,1,2.378476653838322,0,0.0,1,1.933626201146644,0,0.0,1,2.238505185149747,0,0.0,1,1.0,0,0.0,1,61.0,0,0.0,1,0.06547374922774722,0,0.0,1,183.0,0,0.0,1,0.08489965853040092,0,0.0,1,0.6734699791820191,0,0.0,1,0.12661567973502905,0,0.0,1,0.08489965853040092,0,0.0,1,0.06547374922774722,0,0.0,1,0.10751687289932378,0,0.0
1,105.0,0,0.0,3,isothermal,1,0.0,0,0.0,1,105.0,0,0.0,1,2.078737742604138,0,0.0,1,0.9808390664156272,0,0.0,1,2.915012444844787,0,0.0,1,2.421518309725716,0,0.0,1,3.534693476207622,0,0.0,direction_cardinality,1,0,1,1,0.0,0,0.0,,1,2.0,0,0.0,1,0.0,0,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,1,1.0,0,0.0,1,105.0,0,0.0,1,0.03433068419945618,0,0.0,1,315.0,0,0.0,1,0.023092768970623852,0,0.0,1,0.9809356465485178,0,0.0,1,0.035415977825701155,0,0.0,1,0.023092768970623845,0,0.0,1,0.03433068419945619,0,0.0,1,0.050484357059563056,0,0.0
