attempted_samples_available_seeds,attempted_samples_mean,attempted_samples_seed_ids,attempted_samples_std,component_count,direction,nonphysical_rate_available_seeds,nonphysical_rate_mean,nonphysical_rate_seed_ids,nonphysical_rate_std,pressure_count_available_seeds,pressure_count_mean,pressure_count_seed_ids,pressure_count_std,pressure_mae_kpa_available_seeds,pressure_mae_kpa_mean,pressure_mae_kpa_seed_ids,pressure_mae_kpa_std,pressure_r2_available_seeds,pressure_r2_mean,pressure_r2_seed_ids,pressure_r2_std,pressure_rmse_kpa_available_seeds,pressure_rmse_kpa_mean,pressure_rmse_kpa_seed_ids,pressure_rmse_kpa_std,pressure_system_macro_mae_kpa_available_seeds,pressure_system_macro_mae_kpa_mean,pressure_system_macro_mae_kpa_seed_ids,pressure_system_macro_mae_kpa_std,pressure_system_macro_rmse_kpa_available_seeds,pressure_system_macro_rmse_kpa_mean,pressure_system_macro_rmse_kpa_seed_ids,pressure_system_macro_rmse_kpa_std,scope,scope_available_seeds,scope_seed_ids,seeds,solver_failure_rate_available_seeds,solver_failure_rate_mean,solver_failure_rate_seed_ids,solver_failure_rate_std,subgroup,systems_available_seeds,systems_mean,systems_seed_ids,systems_std,temperature_count_available_seeds,temperature_count_mean,temperature_count_seed_ids,temperature_count_std,temperature_mae_k_available_seeds,temperature_mae_k_mean,temperature_mae_k_seed_ids,temperature_mae_k_std,temperature_r2_available_seeds,temperature_r2_mean,temperature_r2_seed_ids,temperature_r2_std,temperature_rmse_k_available_seeds,temperature_rmse_k_mean,temperature_rmse_k_seed_ids,temperature_rmse_k_std,temperature_system_macro_mae_k_available_seeds,temperature_system_macro_mae_k_mean,temperature_system_macro_mae_k_seed_ids,temperature_system_macro_mae_k_std,temperature_system_macro_rmse_k_available_seeds,temperature_system_macro_rmse_k_mean,temperature_system_macro_rmse_k_seed_ids,temperature_system_macro_rmse_k_std,valid_coverage_available_seeds,valid_coverage_mean,valid_coverage_seed_ids,valid_coverage_std,valid_samples_available_seeds,valid_samples_mean,valid_samples_seed_ids,valid_samples_std,y_component_macro_mae_available_seeds,y_component_macro_mae_mean,y_component_macro_mae_seed_ids,y_component_macro_mae_std,y_component_values_available_seeds,y_component_values_mean,y_component_values_seed_ids,y_component_values_std,y_mae_available_seeds,y_mae_mean,y_mae_seed_ids,y_mae_std,y_r2_available_seeds,y_r2_mean,y_r2_seed_ids,y_r2_std,y_rmse_available_seeds,y_rmse_mean,y_rmse_seed_ids,y_rmse_std,y_sample_macro_mae_available_seeds,y_sample_macro_mae_mean,y_sample_macro_mae_seed_ids,y_sample_macro_mae_std,y_system_macro_mae_available_seeds,y_system_macro_mae_mean,y_system_macro_mae_seed_ids,y_system_macro_mae_std,y_system_macro_rmse_available_seeds,y_system_macro_rmse_mean,y_system_macro_rmse_seed_ids,y_system_macro_rmse_std
1,1161.0,0,0.0,,,1,0.0,0,0.0,1,808.0,0,0.0,1,30.67287496925288,0,0.0,1,0.6233430575797889,0,0.0,1,60.21775272272679,0,0.0,1,42.48960038733993,0,0.0,1,81.54710449187483,0,0.0,all,1,0,1,1,0.0,0,0.0,,1,27.0,0,0.0,1,353.0,0,0.0,1,35.86893226861277,0,0.0,1,0.4699681218858316,0,0.0,1,46.42509740742453,0,0.0,1,30.427110107816418,0,0.0,1,41.51626978247825,0,0.0,1,1.0,0,0.0,1,1161.0,0,0.0,1,0.10519535998831708,0,0.0,1,2374.0,0,0.0,1,0.11124298320119677,0,0.0,1,0.7550367927146457,0,0.0,1,0.1770173044391856,0,0.0,1,0.1129177589272632,0,0.0,1,0.09953790042770737,0,0.0,1,0.16662634228035958,0,0.0
1,1109.0,0,0.0,2,,1,0.0,0,0.0,1,756.0,0,0.0,1,32.50149606987614,0,0.0,1,0.6206100602443329,0,0.0,1,62.2412348107643,0,0.0,1,44.62304832944645,0,0.0,1,83.77384711267156,0,0.0,cardinality,1,0,1,1,0.0,0,0.0,,1,26.0,0,0.0,1,353.0,0,0.0,1,35.86893226861277,0,0.0,1,0.4699681218858316,0,0.0,1,46.42509740742453,0,0.0,1,30.427110107816418,0,0.0,1,41.51626978247825,0,0.0,1,1.0,0,0.0,1,1109.0,0,0.0,1,0.10477185980791763,0,0.0,1,2218.0,0,0.0,1,0.11577246305306224,0,0.0,1,0.7442639051486246,0,0.0,1,0.1825939747366056,0,0.0,1,0.11602434461885572,0,0.0,1,0.1015646246384503,0,0.0,1,0.1694805581740177,0,0.0
1,52.0,0,0.0,3,,1,0.0,0,0.0,1,52.0,0,0.0,1,4.087537429422425,0,0.0,1,0.9338166693586915,0,0.0,1,4.862148510223674,0,0.0,1,4.087537429422425,0,0.0,1,4.862148510223674,0,0.0,cardinality,1,0,1,1,0.0,0,0.0,,1,1.0,0,0.0,1,0.0,0,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,1,1.0,0,0.0,1,52.0,0,0.0,1,0.04684307094839139,0,0.0,1,156.0,0,0.0,1,0.04684307094839139,0,0.0,1,0.957934158527933,0,0.0,1,0.053122263255249866,0,0.0,1,0.046843070948391394,0,0.0,1,0.04684307094839139,0,0.0,1,0.053122263255249866,0,0.0
1,353.0,0,0.0,,isobaric,1,0.0,0,0.0,1,0.0,0,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,direction,1,0,1,1,0.0,0,0.0,,1,10.0,0,0.0,1,353.0,0,0.0,1,35.86893226861277,0,0.0,1,0.4699681218858316,0,0.0,1,46.42509740742453,0,0.0,1,30.427110107816418,0,0.0,1,41.51626978247825,0,0.0,1,1.0,0,0.0,1,353.0,0,0.0,1,0.10278228528496226,0,0.0,1,706.0,0,0.0,1,0.12338341154763197,0,0.0,1,0.7594435286287338,0,0.0,1,0.1784634234390139,0,0.0,1,0.12338341154763194,0,0.0,1,0.10007007421898625,0,0.0,1,0.15764155669724186,0,0.0
1,808.0,0,0.0,,isothermal,1,0.0,0,0.0,1,808.0,0,0.0,1,30.67287496925288,0,0.0,1,0.6233430575797889,0,0.0,1,60.21775272272679,0,0.0,1,42.48960038733993,0,0.0,1,81.54710449187483,0,0.0,direction,1,0,1,1,0.0,0,0.0,,1,19.0,0,0.0,1,0.0,0,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,1,1.0,0,0.0,1,808.0,0,0.0,1,0.09459593939011235,0,0.0,1,1668.0,0,0.0,1,0.10610440861331713,0,0.0,1,0.7529355536469191,0,0.0,1,0.17640164730952015,0,0.0,1,0.10801133284510929,0,0.0,1,0.09069786931716158,0,0.0,1,0.16261956280165912,0,0.0
1,353.0,0,0.0,2,isobaric,1,0.0,0,0.0,1,0.0,0,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,direction_cardinality,1,0,1,1,0.0,0,0.0,,1,10.0,0,0.0,1,353.0,0,0.0,1,35.86893226861277,0,0.0,1,0.4699681218858316,0,0.0,1,46.42509740742453,0,0.0,1,30.427110107816418,0,0.0,1,41.51626978247825,0,0.0,1,1.0,0,0.0,1,353.0,0,0.0,1,0.10278228528496226,0,0.0,1,706.0,0,0.0,1,0.12338341154763197,0,0.0,1,0.7594435286287338,0,0.0,1,0.1784634234390139,0,0.0,1,0.12338341154763194,0,0.0,1,0.10007007421898625,0,0.0,1,0.15764155669724186,0,0.0
1,756.0,0,0.0,2,isothermal,1,0.0,0,0.0,1,756.0,0,0.0,1,32.50149606987614,0,0.0,1,0.6206100602443329,0,0.0,1,62.2412348107643,0,0.0,1,44.62304832944645,0,0.0,1,83.77384711267156,0,0.0,direction_cardinality,1,0,1,1,0.0,0,0.0,,1,18.0,0,0.0,1,0.0,0,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,1,1.0,0,0.0,1,756.0,0,0.0,1,0.0939685317154465,0,0.0,1,1512.0,0,0.0,1,0.112218673610492,0,0.0,1,0.7370132224533441,0,0.0,1,0.18449098894036725,0,0.0,1,0.112218673610492,0,0.0,1,0.09313424700431548,0,0.0,1,0.16660588009112542,0,0.0
1,52.0,0,0.0,3,isothermal,1,0.0,0,0.0,1,52.0,0,0.0,1,4.087537429422425,0,0.0,1,0.9338166693586915,0,0.0,1,4.862148510223674,0,0.0,1,4.087537429422425,0,0.0,1,4.862148510223674,0,0.0,direction_cardinality,1,0,1,1,0.0,0,0.0,,1,1.0,0,0.0,1,0.0,0,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,1,1.0,0,0.0,1,52.0,0,0.0,1,0.04684307094839139,0,0.0,1,156.0,0,0.0,1,0.04684307094839139,0,0.0,1,0.957934158527933,0,0.0,1,0.053122263255249866,0,0.0,1,0.046843070948391394,0,0.0,1,0.04684307094839139,0,0.0,1,0.053122263255249866,0,0.0
1,1161.0,0,0.0,,,1,0.0,0,0.0,1,808.0,0,0.0,1,30.67287496925288,0,0.0,1,0.6233430575797889,0,0.0,1,60.21775272272679,0,0.0,1,42.48960038733993,0,0.0,1,81.54710449187483,0,0.0,unseen_subset,1,0,1,1,0.0,0,0.0,at_least_one_component_unseen,1,27.0,0,0.0,1,353.0,0,0.0,1,35.86893226861277,0,0.0,1,0.4699681218858316,0,0.0,1,46.42509740742453,0,0.0,1,30.427110107816418,0,0.0,1,41.51626978247825,0,0.0,1,1.0,0,0.0,1,1161.0,0,0.0,1,0.10519535998831708,0,0.0,1,2374.0,0,0.0,1,0.11124298320119677,0,0.0,1,0.7550367927146457,0,0.0,1,0.1770173044391856,0,0.0,1,0.1129177589272632,0,0.0,1,0.09953790042770737,0,0.0,1,0.16662634228035958,0,0.0
1,316.0,0,0.0,,,1,0.0,0,0.0,1,189.0,0,0.0,1,17.060638010964905,0,0.0,1,0.8245453391941148,0,0.0,1,36.32838824815162,0,0.0,1,20.344957564588118,0,0.0,1,40.67565061455774,0,0.0,unseen_subset,1,0,1,1,0.0,0,0.0,strict_all_components_unseen,1,8.0,0,0.0,1,127.0,0,0.0,1,60.49568735197771,0,0.0,1,-1.5388649564453023,0,0.0,1,62.34625565754257,0,0.0,1,61.48471006626449,0,0.0,1,63.354535306860505,0,0.0,1,1.0,0,0.0,1,316.0,0,0.0,1,0.07809644040831853,0,0.0,1,684.0,0,0.0,1,0.061696970170691104,0,0.0,1,0.9326919927309046,0,0.0,1,0.0896616578547866,0,0.0,1,0.06291912643581703,0,0.0,1,0.06526965696059482,0,0.0,1,0.09594887683039147,0,0.0
