attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
166,,,0.0,105,2.185323683120819,0.9744251510053382,3.367740498302817,3.5865540029843714,4.976543784739791,all,0,0.0,,4,61,2.128925140881125,0.9948586445485336,2.4146937312553343,2.392951367597532,2.665249287047477,1.0,166,0.03962891237317529,498,0.0404191040772391,0.8929443179404735,0.07991652301726734,0.0404191040772391,0.045441053917849444,0.08097035713985601
61,,isobaric,0.0,0,,,,,,direction,0,0.0,,2,61,2.128925140881125,0.9948586445485336,2.4146937312553343,2.392951367597532,2.665249287047477,1.0,61,0.0747062323191674,183,0.09352805854299517,0.6550339945073622,0.13014098298957863,0.09352805854299516,0.0747062323191674,0.11194455957664501
105,,isothermal,0.0,105,2.185323683120819,0.9744251510053382,3.367740498302817,3.5865540029843714,4.976543784739791,direction,0,0.0,,2,0,,,,,,1.0,105,0.016175875516531484,315,0.009565330530466539,0.9960848330597688,0.016049567693629693,0.009565330530466539,0.016175875516531484,0.02410006331739892
166,3,,0.0,105,2.185323683120819,0.9744251510053382,3.367740498302817,3.5865540029843714,4.976543784739791,cardinality,0,0.0,,4,61,2.128925140881125,0.9948586445485336,2.4146937312553343,2.392951367597532,2.665249287047477,1.0,166,0.03962891237317529,498,0.0404191040772391,0.8929443179404735,0.07991652301726734,0.0404191040772391,0.045441053917849444,0.08097035713985601
61,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,2,61,2.128925140881125,0.9948586445485336,2.4146937312553343,2.392951367597532,2.665249287047477,1.0,61,0.0747062323191674,183,0.09352805854299517,0.6550339945073622,0.13014098298957863,0.09352805854299516,0.0747062323191674,0.11194455957664501
105,3,isothermal,0.0,105,2.185323683120819,0.9744251510053382,3.367740498302817,3.5865540029843714,4.976543784739791,direction_cardinality,0,0.0,,2,0,,,,,,1.0,105,0.016175875516531484,315,0.009565330530466539,0.9960848330597688,0.016049567693629693,0.009565330530466539,0.016175875516531484,0.02410006331739892
43,,,0.0,0,,,,,,binary_subsystem_coverage,0,0.0,0/3,1,43,1.748727374409499,0.8216758036277121,1.9994755244887334,1.748727374409499,1.9994755244887334,1.0,43,0.12063148830530716,129,0.12063148830530718,0.4401890361056252,0.15257787042503862,0.12063148830530716,0.12063148830530718,0.15257787042503862
21,,,0.0,21,5.921937869423625,0.835604839049418,6.865846003028649,5.921937869423625,6.865846003028649,binary_subsystem_coverage,0,0.0,1/3,1,0,,,,,,1.0,21,0.027193450493306393,63,0.027193450493306393,0.9905526633479718,0.033459235394028786,0.027193450493306397,0.027193450493306393,0.033459235394028786
18,,,0.0,0,,,,,,binary_subsystem_coverage,0,0.0,2/3,1,18,3.037175360785565,0.9366299272840207,3.1951846818587297,3.037175360785565,3.1951846818587297,1.0,18,0.02878097633302763,54,0.02878097633302763,0.973401520030543,0.042227506369405386,0.028780976333027633,0.02878097633302763,0.042227506369405386
84,,,0.0,84,1.2511701365451176,0.9932999429506748,1.5466527553268115,1.2511701365451176,1.5466527553268115,binary_subsystem_coverage,0,0.0,3/3,1,0,,,,,,1.0,84,0.005158300539756575,252,0.005158300539756575,0.9991997452492611,0.006488888244703041,0.005158300539756576,0.005158300539756575,0.006488888244703041
