attempted_samples_available_seeds,attempted_samples_mean,attempted_samples_seed_ids,attempted_samples_std,component_count,direction,nonphysical_rate_available_seeds,nonphysical_rate_mean,nonphysical_rate_seed_ids,nonphysical_rate_std,pressure_count_available_seeds,pressure_count_mean,pressure_count_seed_ids,pressure_count_std,pressure_mae_kpa_available_seeds,pressure_mae_kpa_mean,pressure_mae_kpa_seed_ids,pressure_mae_kpa_std,pressure_r2_available_seeds,pressure_r2_mean,pressure_r2_seed_ids,pressure_r2_std,pressure_rmse_kpa_available_seeds,pressure_rmse_kpa_mean,pressure_rmse_kpa_seed_ids,pressure_rmse_kpa_std,pressure_system_macro_mae_kpa_available_seeds,pressure_system_macro_mae_kpa_mean,pressure_system_macro_mae_kpa_seed_ids,pressure_system_macro_mae_kpa_std,pressure_system_macro_rmse_kpa_available_seeds,pressure_system_macro_rmse_kpa_mean,pressure_system_macro_rmse_kpa_seed_ids,pressure_system_macro_rmse_kpa_std,scope,scope_available_seeds,scope_seed_ids,seeds,solver_failure_rate_available_seeds,solver_failure_rate_mean,solver_failure_rate_seed_ids,solver_failure_rate_std,subgroup,systems_available_seeds,systems_mean,systems_seed_ids,systems_std,temperature_count_available_seeds,temperature_count_mean,temperature_count_seed_ids,temperature_count_std,temperature_mae_k_available_seeds,temperature_mae_k_mean,temperature_mae_k_seed_ids,temperature_mae_k_std,temperature_r2_available_seeds,temperature_r2_mean,temperature_r2_seed_ids,temperature_r2_std,temperature_rmse_k_available_seeds,temperature_rmse_k_mean,temperature_rmse_k_seed_ids,temperature_rmse_k_std,temperature_system_macro_mae_k_available_seeds,temperature_system_macro_mae_k_mean,temperature_system_macro_mae_k_seed_ids,temperature_system_macro_mae_k_std,temperature_system_macro_rmse_k_available_seeds,temperature_system_macro_rmse_k_mean,temperature_system_macro_rmse_k_seed_ids,temperature_system_macro_rmse_k_std,valid_coverage_available_seeds,valid_coverage_mean,valid_coverage_seed_ids,valid_coverage_std,valid_samples_available_seeds,valid_samples_mean,valid_samples_seed_ids,valid_samples_std,y_component_macro_mae_available_seeds,y_component_macro_mae_mean,y_component_macro_mae_seed_ids,y_component_macro_mae_std,y_component_values_available_seeds,y_component_values_mean,y_component_values_seed_ids,y_component_values_std,y_mae_available_seeds,y_mae_mean,y_mae_seed_ids,y_mae_std,y_r2_available_seeds,y_r2_mean,y_r2_seed_ids,y_r2_std,y_rmse_available_seeds,y_rmse_mean,y_rmse_seed_ids,y_rmse_std,y_sample_macro_mae_available_seeds,y_sample_macro_mae_mean,y_sample_macro_mae_seed_ids,y_sample_macro_mae_std,y_system_macro_mae_available_seeds,y_system_macro_mae_mean,y_system_macro_mae_seed_ids,y_system_macro_mae_std,y_system_macro_rmse_available_seeds,y_system_macro_rmse_mean,y_system_macro_rmse_seed_ids,y_system_macro_rmse_std
1,166.0,0,0.0,,,1,0.0,0,0.0,1,105.0,0,0.0,1,3.0876627232420684,0,0.0,1,0.9719462703999764,0,0.0,1,3.527178054878397,0,0.0,1,2.648193933142584,0,0.0,1,3.287462394035803,0,0.0,all,1,0,1,1,0.0,0,0.0,,1,4.0,0,0.0,1,61.0,0,0.0,1,1.5137697313652494,0,0.0,1,0.9969138409411076,0,0.0,1,1.8708216725610014,0,0.0,1,1.4599002926848534,0,0.0,1,1.8240212557674687,0,0.0,1,1.0,0,0.0,1,166.0,0,0.0,1,0.040683170504244845,0,0.0,1,498.0,0,0.0,1,0.045817375667578715,0,0.0,1,0.8818337613991639,0,0.0,1,0.08396115898581703,0,0.0,1,0.045817375667578715,0,0.0,1,0.04673914713149145,0,0.0,1,0.08373514147361474,0,0.0
1,43.0,0,0.0,,,1,0.0,0,0.0,1,0.0,0,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,binary_subsystem_coverage,1,0,1,1,0.0,0,0.0,0/3,1,1.0,0,0.0,1,43.0,0,0.0,1,1.5913417230650195,0,0.0,1,0.83277890007427,0,0.0,1,1.9362279831493532,0,0.0,1,1.5913417230650195,0,0.0,1,1.9362279831493532,0,0.0,1,1.0,0,0.0,1,43.0,0,0.0,1,0.12598045922740717,0,0.0,1,129.0,0,0.0,1,0.12598045922740717,0,0.0,1,0.3897669152053438,0,0.0,1,0.1593010814297126,0,0.0,1,0.12598045922740714,0,0.0,1,0.12598045922740717,0,0.0,1,0.1593010814297126,0,0.0
1,21.0,0,0.0,,,1,0.0,0,0.0,1,21.0,0,0.0,1,1.915745949643443,0,0.0,1,0.9718051855209766,0,0.0,1,2.843375153083518,0,0.0,1,1.915745949643443,0,0.0,1,2.843375153083518,0,0.0,binary_subsystem_coverage,1,0,1,1,0.0,0,0.0,1/3,1,1.0,0,0.0,1,0.0,0,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,1,1.0,0,0.0,1,21.0,0,0.0,1,0.032836905761063094,0,0.0,1,63.0,0,0.0,1,0.03283690576106311,0,0.0,1,0.9834527013329091,0,0.0,1,0.0442817595489466,0,0.0,1,0.0328369057610631,0,0.0,1,0.03283690576106311,0,0.0,1,0.0442817595489466,0,0.0
1,18.0,0,0.0,,,1,0.0,0,0.0,1,0.0,0,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,binary_subsystem_coverage,1,0,1,1,0.0,0,0.0,2/3,1,1.0,0,0.0,1,18.0,0,0.0,1,1.3284588623046873,0,0.0,1,0.9819674315833018,0,0.0,1,1.7044436864421348,0,0.0,1,1.3284588623046873,0,0.0,1,1.7044436864421348,0,0.0,1,1.0,0,0.0,1,18.0,0,0.0,1,0.01310219975897559,0,0.0,1,54.0,0,0.0,1,0.013102199758975589,0,0.0,1,0.9950977957646375,0,0.0,1,0.018128535744822916,0,0.0,1,0.01310219975897559,0,0.0,1,0.013102199758975589,0,0.0,1,0.018128535744822916,0,0.0
1,84.0,0,0.0,,,1,0.0,0,0.0,1,84.0,0,0.0,1,3.380641916641725,0,0.0,1,0.9621041367367443,0,0.0,1,3.6783196874696076,0,0.0,1,3.380641916641725,0,0.0,1,3.6783196874696076,0,0.0,binary_subsystem_coverage,1,0,1,1,0.0,0,0.0,3/3,1,1.0,0,0.0,1,0.0,0,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,1,1.0,0,0.0,1,84.0,0,0.0,1,0.015037023778519934,0,0.0,1,252.0,0,0.0,1,0.015037023778519938,0,0.0,1,0.9927788524189183,0,0.0,1,0.019492128892122883,0,0.0,1,0.015037023778519938,0,0.0,1,0.015037023778519938,0,0.0,1,0.019492128892122883,0,0.0
1,166.0,0,0.0,3,,1,0.0,0,0.0,1,105.0,0,0.0,1,3.0876627232420684,0,0.0,1,0.9719462703999764,0,0.0,1,3.527178054878397,0,0.0,1,2.648193933142584,0,0.0,1,3.287462394035803,0,0.0,cardinality,1,0,1,1,0.0,0,0.0,,1,4.0,0,0.0,1,61.0,0,0.0,1,1.5137697313652494,0,0.0,1,0.9969138409411076,0,0.0,1,1.8708216725610014,0,0.0,1,1.4599002926848534,0,0.0,1,1.8240212557674687,0,0.0,1,1.0,0,0.0,1,166.0,0,0.0,1,0.040683170504244845,0,0.0,1,498.0,0,0.0,1,0.045817375667578715,0,0.0,1,0.8818337613991639,0,0.0,1,0.08396115898581703,0,0.0,1,0.045817375667578715,0,0.0,1,0.04673914713149145,0,0.0,1,0.08373514147361474,0,0.0
1,61.0,0,0.0,,isobaric,1,0.0,0,0.0,1,0.0,0,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,direction,1,0,1,1,0.0,0,0.0,,1,2.0,0,0.0,1,61.0,0,0.0,1,1.5137697313652494,0,0.0,1,0.9969138409411076,0,0.0,1,1.8708216725610014,0,0.0,1,1.4599002926848534,0,0.0,1,1.8240212557674687,0,0.0,1,1.0,0,0.0,1,61.0,0,0.0,1,0.06954132949319138,0,0.0,1,183.0,0,0.0,1,0.09267212036786998,0,0.0,1,0.6336702216241056,0,0.0,1,0.13411027233975195,0,0.0,1,0.09267212036786998,0,0.0,1,0.06954132949319138,0,0.0,1,0.11336992183319006,0,0.0
1,105.0,0,0.0,,isothermal,1,0.0,0,0.0,1,105.0,0,0.0,1,3.0876627232420684,0,0.0,1,0.9719462703999764,0,0.0,1,3.527178054878397,0,0.0,1,2.648193933142584,0,0.0,1,3.287462394035803,0,0.0,direction,1,0,1,1,0.0,0,0.0,,1,2.0,0,0.0,1,0.0,0,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,1,1.0,0,0.0,1,105.0,0,0.0,1,0.023936964769791517,0,0.0,1,315.0,0,0.0,1,0.018597000175028567,0,0.0,1,0.9894193211885588,0,0.0,1,0.026384262672052253,0,0.0,1,0.018597000175028567,0,0.0,1,0.023936964769791524,0,0.0,1,0.03421123585532869,0,0.0
1,61.0,0,0.0,3,isobaric,1,0.0,0,0.0,1,0.0,0,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,direction_cardinality,1,0,1,1,0.0,0,0.0,,1,2.0,0,0.0,1,61.0,0,0.0,1,1.5137697313652494,0,0.0,1,0.9969138409411076,0,0.0,1,1.8708216725610014,0,0.0,1,1.4599002926848534,0,0.0,1,1.8240212557674687,0,0.0,1,1.0,0,0.0,1,61.0,0,0.0,1,0.06954132949319138,0,0.0,1,183.0,0,0.0,1,0.09267212036786998,0,0.0,1,0.6336702216241056,0,0.0,1,0.13411027233975195,0,0.0,1,0.09267212036786998,0,0.0,1,0.06954132949319138,0,0.0,1,0.11336992183319006,0,0.0
1,105.0,0,0.0,3,isothermal,1,0.0,0,0.0,1,105.0,0,0.0,1,3.0876627232420684,0,0.0,1,0.9719462703999764,0,0.0,1,3.527178054878397,0,0.0,1,2.648193933142584,0,0.0,1,3.287462394035803,0,0.0,direction_cardinality,1,0,1,1,0.0,0,0.0,,1,2.0,0,0.0,1,0.0,0,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,1,1.0,0,0.0,1,105.0,0,0.0,1,0.023936964769791517,0,0.0,1,315.0,0,0.0,1,0.018597000175028567,0,0.0,1,0.9894193211885588,0,0.0,1,0.026384262672052253,0,0.0,1,0.018597000175028567,0,0.0,1,0.023936964769791524,0,0.0,1,0.03421123585532869,0,0.0
