attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
1669,,,0.0,707,10.994372603784422,0.9641005482820341,23.392259504179094,10.685830852996776,22.76380557116173,all,0,0.0,,47,962,2.3404912276872745,0.9824678162463972,3.702916762462106,2.9312599452909724,4.479434355064201,1.0,1669,0.028663949958662262,3506,0.027050704839818657,0.9823356766320999,0.04175697971941447,0.02678276321330701,0.030738841988648985,0.04819075022244571
962,,isobaric,0.0,0,,,,,,direction,0,0.0,,36,962,2.3404912276872745,0.9824678162463972,3.702916762462106,2.9312599452909724,4.479434355064201,1.0,962,0.03112893733444489,2007,0.026885200331144214,0.982603976674784,0.04287355809466203,0.026827816824181335,0.03165929823257386,0.050401451569188974
707,,isothermal,0.0,707,10.994372603784422,0.9641005482820341,23.392259504179094,10.685830852996776,22.76380557116173,direction,0,0.0,,15,0,,,,,,1.0,707,0.02491236792866727,1499,0.02727229760093248,0.9819042669833561,0.04021348678307611,0.026807138767754087,0.0265523217335434,0.04022873585403902
1501,2,,0.0,622,12.111228691629131,0.9631395542666178,24.909130930222627,11.247560632679514,23.546014063907425,cardinality,0,0.0,,44,879,2.458008905438977,0.9815002954524771,3.8425707068849695,3.0389666971373157,4.592868271894009,1.0,1501,0.028895120037016456,3002,0.026277981021045647,0.9827999075518035,0.041540324652659916,0.026234336161537922,0.030751665355675476,0.04860547216164283
168,3,,0.0,85,2.821613937438441,0.9792992567041966,3.325021061082258,2.821613937438441,3.325021061082258,cardinality,0,0.0,,3,83,1.0959365440276705,0.9853967512491095,1.5974742924552041,1.1002451639031394,1.603282936174581,1.0,168,0.03073956631301631,504,0.03165331774449441,0.9716544413510456,0.04302485673561651,0.03165331774449441,0.030550765938927096,0.04163624410945646
879,2,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,34,879,2.458008905438977,0.9815002954524771,3.8425707068849695,3.0389666971373157,4.592868271894009,1.0,879,0.03222997217036274,1758,0.0266967944140852,0.982614415909818,0.0434501668762189,0.026696794414085206,0.03185567029876924,0.05100671256388669
83,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,2,83,1.0959365440276705,0.9853967512491095,1.5974742924552041,1.1002451639031394,1.603282936174581,1.0,83,0.028320973107252345,249,0.02821539150459699,0.9754956183276864,0.03855798702628656,0.02821539150459699,0.028320973107252345,0.038689448345629984
622,2,isothermal,0.0,622,12.111228691629131,0.9631395542666178,24.909130930222627,11.247560632679514,23.546014063907425,direction_cardinality,0,0.0,,14,0,,,,,,1.0,622,0.02350516704787793,1244,0.025686120936669814,0.9831210287905356,0.03868091107943525,0.025686120936669814,0.0259481767429196,0.03970272047368531
85,3,isothermal,0.0,85,2.821613937438441,0.9792992567041966,3.325021061082258,2.821613937438441,3.325021061082258,direction_cardinality,0,0.0,,1,0,,,,,,1.0,85,0.03501035160227661,255,0.035010351602276606,0.9683956530593653,0.046978544507555814,0.03501035160227661,0.035010351602276606,0.046978544507555814
1683,,,0.0,434,4.282362667112035,0.9810623160064659,10.480508950278988,6.132828111460773,13.973140305528045,all,1,0.0,,43,1249,1.9907426937643726,0.9849036786490328,3.795460725570036,2.2644917234518123,4.552345045941964,1.0,1683,0.01954611153422792,3546,0.01857329125754471,0.990081113882537,0.03131348631030748,0.01839123352176693,0.0193634069353058,0.03507265828265524
1249,,isobaric,0.0,0,,,,,,direction,1,0.0,,32,1249,1.9907426937643726,0.9849036786490328,3.795460725570036,2.2644917234518123,4.552345045941964,1.0,1249,0.022001519690368895,2640,0.01938461073423715,0.98838760212731,0.032348099241234614,0.019431455338852172,0.02121900166368076,0.03745055427055826
434,,isothermal,0.0,434,4.282362667112035,0.9810623160064659,10.480508950278988,6.132828111460773,13.973140305528045,direction,1,0.0,,16,0,,,,,,1.0,434,0.017976180325959643,906,0.016209181524136272,0.9936561336913634,0.02808219420426098,0.01537875718255295,0.016426535371494005,0.028099100300109852
1503,2,,0.0,396,4.242554893376764,0.9815091746574249,10.813099744528408,6.336431850257543,14.768686268948914,cardinality,1,0.0,,38,1107,2.051869344185779,0.9841919942219094,3.980409654352566,2.350725268589783,4.7499535636687185,1.0,1503,0.018303592339504335,3006,0.017945385367338317,0.9906264238318795,0.031021135062446362,0.01794698379396371,0.018766245430113793,0.03467108412251556
180,3,,0.0,38,4.697201572353287,0.8454694689592626,6.003212999757534,4.707601939883381,5.932161596694563,cardinality,1,0.0,,5,142,1.5142131020989018,0.9691773683716348,1.7872088196536078,1.4309007871180957,1.718851021344321,1.0,180,0.02592637563894205,540,0.022068634046360298,0.9800064992891352,0.03289345156334381,0.022068634046360294,0.02390183437476507,0.03798613856856475
1107,2,isobaric,0.0,0,,,,,,direction_cardinality,1,0.0,,29,1107,2.051869344185779,0.9841919942219094,3.980409654352566,2.350725268589783,4.7499535636687185,1.0,1107,0.022005265278833157,2214,0.019543171469099375,0.988035735892869,0.03382381738737303,0.019543171469099375,0.02157873603520799,0.038671620896192284
142,3,isobaric,0.0,0,,,,,,direction_cardinality,1,0.0,,3,142,1.5142131020989018,0.9691773683716348,1.7872088196536078,1.4309007871180957,1.718851021344321,1.0,142,0.018710519449347682,426,0.01856054156291093,0.985881662242411,0.023213980437269757,0.01856054156291093,0.017741569405584166,0.022450500113800655
396,2,isothermal,0.0,396,4.242554893376764,0.9815091746574249,10.813099744528408,6.336431850257543,14.768686268948914,direction_cardinality,1,0.0,,14,0,,,,,,1.0,396,0.014184667450315444,792,0.01347884694650626,0.9962869038566345,0.021313504280501473,0.01347884694650626,0.014038578734773663,0.0222490645905113
38,3,isothermal,0.0,38,4.697201572353287,0.8454694689592626,6.003212999757534,4.707601939883381,5.932161596694563,direction_cardinality,1,0.0,,2,0,,,,,,1.0,38,0.033142231828536414,114,0.03517782174767109,0.9726368334140719,0.05578011954273115,0.035177821747671104,0.033142231828536414,0.053397840549369247
1694,,,0.0,619,6.3061907829687165,0.980877931035099,14.87402253871673,9.189786493094322,19.701699250150284,all,2,0.0,,49,1075,1.720802092796146,0.9887580322331354,2.9460413607654874,2.018527305806911,3.0846449968003196,1.0,1694,0.03196715997025863,3561,0.028607278322010567,0.9700757877805206,0.054298199532286914,0.027767557175194236,0.030203901861710198,0.05603990421623777
1075,,isobaric,0.0,0,,,,,,direction,2,0.0,,36,1075,1.720802092796146,0.9887580322331354,2.9460413607654874,2.018527305806911,3.0846449968003196,1.0,1075,0.0333431484150017,2242,0.029323411203798104,0.969824672766063,0.05389027521085034,0.027426698804105205,0.03199219670135012,0.057030861329904634
619,,isothermal,0.0,619,6.3061907829687165,0.980877931035099,14.87402253871673,9.189786493094322,19.701699250150284,direction,2,0.0,,19,0,,,,,,1.0,619,0.029908863808567904,1319,0.027390015303839485,0.9704580907437175,0.0549846345985124,0.02823583749590976,0.03156685675825296,0.06264217346525934
1521,2,,0.0,538,6.95053228824796,0.980497576122565,15.92176106912112,10.026500590311345,20.809009011107555,cardinality,2,0.0,,44,983,1.6527515393525845,0.9892055805911203,2.936697899996264,2.0097694667325,3.1160242250953942,1.0,1521,0.028625189295722366,3042,0.02565058235927948,0.9780895894770603,0.04720043071375485,0.025676165648508567,0.02868770107887938,0.05280874799129898
173,3,,0.0,81,2.0264904145707776,0.957571338089419,2.6319274982074843,2.077716666749648,2.6200726239962564,cardinality,2,0.0,,5,92,2.4479074627420276,0.9808670444452798,3.0440844779141973,2.11486353562543,2.715647324346089,1.0,173,0.0435464687506214,519,0.04593727662379859,0.872627102748055,0.08468078618624858,0.04593727662379859,0.04354646875062139,0.07896513449582042
983,2,isobaric,0.0,0,,,,,,direction_cardinality,2,0.0,,33,983,1.6527515393525845,0.9892055805911203,2.936697899996264,2.0097694667325,3.1160242250953942,1.0,983,0.02809403437576118,1966,0.023100728102058942,0.9852338462122893,0.03845141373923884,0.023100728102058942,0.029277322851998206,0.051369998570659686
92,3,isobaric,0.0,0,,,,,,direction_cardinality,2,0.0,,3,92,2.4479074627420276,0.9808670444452798,3.0440844779141973,2.11486353562543,2.715647324346089,1.0,92,0.061855809044221104,276,0.07364875532705607,0.7045920295780049,0.11427746578523519,0.07364875532705607,0.06185580904422108,0.10001292638316497
538,2,isothermal,0.0,538,6.95053228824796,0.980497576122565,15.92176106912112,10.026500590311345,20.809009011107555,direction_cardinality,2,0.0,,17,0,,,,,,1.0,538,0.03254575323145927,1076,0.03030951681066942,0.9655843864857983,0.05997567591468826,0.03030951681066941,0.033388550693315436,0.06570302617886892
81,3,isothermal,0.0,81,2.0264904145707776,0.957571338089419,2.6319274982074843,2.077716666749648,2.6200726239962564,direction_cardinality,2,0.0,,2,0,,,,,,1.0,81,0.016082458310221853,243,0.014462510689234537,0.9931078316820772,0.02196949199465598,0.01446251068923454,0.016082458310221853,0.024183734187899035
