attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
1669,,,0.0,707,11.063231621902665,0.9559837305166103,25.90209436764353,10.211678673550896,24.448970647040152,all,0,0.0,,47,962,2.3404968198272535,0.9816646472516483,3.786784384909496,2.736487520456461,4.535659936230281,1.0,1669,0.026148296484701607,3506,0.02809044550714872,0.9806939062603479,0.043654375591436395,0.027889025185167587,0.02810631830325862,0.04533524248932138
962,,isobaric,0.0,0,,,,,,direction,0,0.0,,36,962,2.3404968198272535,0.9816646472516483,3.786784384909496,2.736487520456461,4.535659936230281,1.0,962,0.027368327666161818,2007,0.025185719030059478,0.984106737253871,0.04097991641168353,0.024839187162883955,0.027638930427283277,0.04569154444678902
707,,isothermal,0.0,707,11.063231621902665,0.9559837305166103,25.90209436764353,10.211678673550896,24.448970647040152,direction,0,0.0,,15,0,,,,,,1.0,707,0.025804576500905837,1499,0.031979562278008036,0.9752837796084177,0.046997490692545545,0.03199886843748242,0.028237245480516322,0.04266742922699095
1501,2,,0.0,622,12.236579196529288,0.9547805145655623,27.589326080374175,10.764149422128929,25.292290405664314,cardinality,0,0.0,,44,879,2.3903653388082953,0.9809870000603704,3.8955142273411556,2.790846207497519,4.632278484857071,1.0,1501,0.02596746782597862,3002,0.02736202009321778,0.98177714212754,0.042757542862728454,0.027377798881570815,0.027781124414965882,0.04500942267796406
168,3,,0.0,85,2.4770881934584206,0.980371454905921,3.2377662045054616,2.4770881934584206,3.2377662045054616,cardinality,0,0.0,,3,83,1.81237117905213,0.9685628326201977,2.3438555348547445,1.8123898407584815,2.348133660304596,1.0,168,0.034267012398508837,504,0.03242920164330086,0.9637506542689993,0.048654947547448486,0.03242920164330086,0.03287582866488543,0.04986996501643815
879,2,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,34,879,2.3903653388082953,0.9809870000603704,3.8955142273411556,2.790846207497519,4.632278484857071,1.0,879,0.027650551527412463,1758,0.024047959111210163,0.9858138633385052,0.03924902524366191,0.024047959111210163,0.02729507082424739,0.045302408088620176
83,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,2,83,1.81237117905213,0.9685628326201977,2.3438555348547445,1.8123898407584815,2.348133660304596,1.0,83,0.033484543678893385,249,0.03321857821615226,0.9561607896337457,0.051573171619373644,0.033218578216152254,0.033484543678893385,0.051862039818331526
622,2,isothermal,0.0,622,12.236579196529288,0.9547805145655623,27.589326080374175,10.764149422128929,25.292290405664314,direction_cardinality,0,0.0,,14,0,,,,,,1.0,622,0.025219094034539234,1244,0.03204539566103884,0.9747888115385869,0.047273784164685244,0.032045395661038846,0.02799287739791967,0.04244824148184832
85,3,isothermal,0.0,85,2.4770881934584206,0.980371454905921,3.2377662045054616,2.4770881934584206,3.2377662045054616,direction_cardinality,0,0.0,,1,0,,,,,,1.0,85,0.031658398636869506,255,0.031658398636869506,0.9701897645102655,0.04562562749142073,0.03165839863686951,0.031658398636869506,0.04562562749142073
1683,,,0.0,434,4.125155692367695,0.9793064691911384,10.955601820204372,6.21792579140828,14.843048433370534,all,1,0.0,,43,1249,1.7775291835030615,0.9861352763817806,3.6373454071380937,2.0321068846854358,4.219645565242894,1.0,1683,0.019955458366603646,3546,0.01877186567213896,0.9896639415389188,0.0319652017120463,0.018623849855128178,0.019351004234488725,0.03449181663116047
1249,,isobaric,0.0,0,,,,,,direction,1,0.0,,32,1249,1.7775291835030615,0.9861352763817806,3.6373454071380937,2.0321068846854358,4.219645565242894,1.0,1249,0.02191840259276757,2640,0.01908864133244454,0.9880528510792773,0.0328110366275507,0.01913299634215657,0.020718094708534335,0.036792948161646064
434,,isothermal,0.0,434,4.125155692367695,0.9793064691911384,10.955601820204372,6.21792579140828,14.843048433370534,direction,1,0.0,,16,0,,,,,,1.0,434,0.01923725867581487,906,0.01784881076793727,0.993064780135104,0.0293618992652527,0.016956962202387304,0.017701021757013158,0.030003798722457713
1503,2,,0.0,396,4.147360129580903,0.979601832849223,11.357104817899165,6.528398777625905,15.743469778236008,cardinality,1,0.0,,38,1107,1.8264537504587375,0.9854730772181455,3.815715989788704,2.102169228631709,4.40105202989646,1.0,1503,0.01821673841960067,3006,0.018099977650142506,0.9900337073065535,0.031986877489528664,0.01815413532821383,0.01853103012538503,0.03410930517655231
180,3,,0.0,38,3.8937620835142663,0.8856541124412545,5.164007676833859,4.044614887884892,5.246981013445117,cardinality,1,0.0,,5,142,1.3961242847711377,0.972338556004248,1.6930815020765753,1.354837559871464,1.6395698780423864,1.0,180,0.027654483792504247,540,0.022512042327919216,0.9812615981063019,0.03184427021791978,0.02251204232791922,0.025582807463676832,0.03727083105707186
