attempted_samples_available_seeds,attempted_samples_mean,attempted_samples_seed_ids,attempted_samples_std,component_count,direction,nonphysical_rate_available_seeds,nonphysical_rate_mean,nonphysical_rate_seed_ids,nonphysical_rate_std,pressure_count_available_seeds,pressure_count_mean,pressure_count_seed_ids,pressure_count_std,pressure_mae_kpa_available_seeds,pressure_mae_kpa_mean,pressure_mae_kpa_seed_ids,pressure_mae_kpa_std,pressure_r2_available_seeds,pressure_r2_mean,pressure_r2_seed_ids,pressure_r2_std,pressure_rmse_kpa_available_seeds,pressure_rmse_kpa_mean,pressure_rmse_kpa_seed_ids,pressure_rmse_kpa_std,pressure_system_macro_mae_kpa_available_seeds,pressure_system_macro_mae_kpa_mean,pressure_system_macro_mae_kpa_seed_ids,pressure_system_macro_mae_kpa_std,pressure_system_macro_rmse_kpa_available_seeds,pressure_system_macro_rmse_kpa_mean,pressure_system_macro_rmse_kpa_seed_ids,pressure_system_macro_rmse_kpa_std,scope,scope_available_seeds,scope_seed_ids,seeds,solver_failure_rate_available_seeds,solver_failure_rate_mean,solver_failure_rate_seed_ids,solver_failure_rate_std,subgroup,systems_available_seeds,systems_mean,systems_seed_ids,systems_std,temperature_count_available_seeds,temperature_count_mean,temperature_count_seed_ids,temperature_count_std,temperature_mae_k_available_seeds,temperature_mae_k_mean,temperature_mae_k_seed_ids,temperature_mae_k_std,temperature_r2_available_seeds,temperature_r2_mean,temperature_r2_seed_ids,temperature_r2_std,temperature_rmse_k_available_seeds,temperature_rmse_k_mean,temperature_rmse_k_seed_ids,temperature_rmse_k_std,temperature_system_macro_mae_k_available_seeds,temperature_system_macro_mae_k_mean,temperature_system_macro_mae_k_seed_ids,temperature_system_macro_mae_k_std,temperature_system_macro_rmse_k_available_seeds,temperature_system_macro_rmse_k_mean,temperature_system_macro_rmse_k_seed_ids,temperature_system_macro_rmse_k_std,valid_coverage_available_seeds,valid_coverage_mean,valid_coverage_seed_ids,valid_coverage_std,valid_samples_available_seeds,valid_samples_mean,valid_samples_seed_ids,valid_samples_std,y_component_macro_mae_available_seeds,y_component_macro_mae_mean,y_component_macro_mae_seed_ids,y_component_macro_mae_std,y_component_values_available_seeds,y_component_values_mean,y_component_values_seed_ids,y_component_values_std,y_mae_available_seeds,y_mae_mean,y_mae_seed_ids,y_mae_std,y_r2_available_seeds,y_r2_mean,y_r2_seed_ids,y_r2_std,y_rmse_available_seeds,y_rmse_mean,y_rmse_seed_ids,y_rmse_std,y_sample_macro_mae_available_seeds,y_sample_macro_mae_mean,y_sample_macro_mae_seed_ids,y_sample_macro_mae_std,y_system_macro_mae_available_seeds,y_system_macro_mae_mean,y_system_macro_mae_seed_ids,y_system_macro_mae_std,y_system_macro_rmse_available_seeds,y_system_macro_rmse_mean,y_system_macro_rmse_seed_ids,y_system_macro_rmse_std
5,166.0,0;1;2;3;4,0.0,,,5,0.0,0;1;2;3;4,0.0,5,77.2,0;1;2;3;4,18.322117781522966,5,2.96110698993567,0;1;2;3;4,1.1352809061260836,5,0.9305566683772051,0;1;2;3;4,0.06731961967903988,5,3.3974736663479623,0;1;2;3;4,1.1372571014054222,5,2.9704528794554306,0;1;2;3;4,1.178862263419292,5,3.4771590876090834,0;1;2;3;4,1.2459412075215037,all,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,4.0,0;1;2;3;4,0.0,5,88.8,0;1;2;3;4,18.322117781522966,5,2.9255935291244937,0;1;2;3;4,0.6540474526579024,5,0.9841492074512743,0;1;2;3;4,0.009112455617685354,5,3.529009585382846,0;1;2;3;4,0.6933441843079443,5,2.7720879803368446,0;1;2;3;4,0.5161129643887847,5,3.401955311757573,0;1;2;3;4,0.6374610677583648,5,1.0,0;1;2;3;4,0.0,5,166.0,0;1;2;3;4,0.0,5,0.05080394813866661,0;1;2;3;4,0.006790458627517177,5,498.0,0;1;2;3;4,0.0,5,0.05169629732911964,0;1;2;3;4,0.005320223971121676,5,0.8689920864568018,0;1;2;3;4,0.016424194125622765,5,0.08435282613303083,0;1;2;3;4,0.004811293570449161,5,0.05169629732911966,0;1;2;3;4,0.005320223971121677,5,0.05138464144395229,0;1;2;3;4,0.004808467463327033,5,0.08359836494985617,0;1;2;3;4,0.004882515631085535
5,43.0,0;1;2;3;4,0.0,,,5,0.0,0;1;2;3;4,0.0,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,binary_subsystem_coverage,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,0/3,5,1.0,0;1;2;3;4,0.0,5,43.0,0;1;2;3;4,0.0,5,3.0032203000090636,0;1;2;3;4,1.1816387566849103,5,0.4473434487937789,0;1;2;3;4,0.3164973389737,5,3.3827934015690873,0;1;2;3;4,1.087932583766658,5,3.0032203000090636,0;1;2;3;4,1.1816387566849103,5,3.3827934015690873,0;1;2;3;4,1.087932583766658,5,1.0,0;1;2;3;4,0.0,5,43.0,0;1;2;3;4,0.0,5,0.11710834918801868,0;1;2;3;4,0.002881293228889322,5,129.0,0;1;2;3;4,0.0,5,0.11710834918801868,0;1;2;3;4,0.002881293228889321,5,0.45496318005313424,0;1;2;3;4,0.01874271105563499,5,0.15053334855415015,0;1;2;3;4,0.002580619567609109,5,0.11710834918801867,0;1;2;3;4,0.002881293228889332,5,0.11710834918801868,0;1;2;3;4,0.002881293228889321,5,0.15053334855415015,0;1;2;3;4,0.002580619567609109
5,29.4,0;1;2;3;4,11.502173707608488,,,5,0.0,0;1;2;3;4,0.0,5,8.4,0;1;2;3;4,11.502173707608488,2,3.2867864153860156,0;2,1.476265388529846,2,0.9319643819320187,0;2,0.05501240573160677,2,4.2139474104872,0;2,1.8717188626111965,2,3.2867864153860156,0;2,1.476265388529846,2,4.2139474104872,0;2,1.8717188626111965,binary_subsystem_coverage,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,1/3,5,1.0,0;1;2;3;4,0.0,5,21.0,0;1;2;3;4,21.0,3,1.7769802129836203,1;3;4,0.5158659659149999,3,0.8941890402344042,1;3;4,0.05326458312495946,3,2.0774866337082614,1;3;4,0.5514260318348995,3,1.7769802129836203,1;3;4,0.5158659659149999,3,2.0774866337082614,1;3;4,0.5514260318348995,5,1.0,0;1;2;3;4,0.0,5,29.4,0;1;2;3;4,11.502173707608488,5,0.024099285214578818,0;1;2;3;4,0.010286446204830206,5,88.2,0;1;2;3;4,34.50652112282546,5,0.024099285214578818,0;1;2;3;4,0.01028644620483021,5,0.9866173791041268,0;1;2;3;4,0.011540319899335925,5,0.03007235484209354,0;1;2;3;4,0.013230020398291489,5,0.024099285214578818,0;1;2;3;4,0.010286446204830204,5,0.024099285214578818,0;1;2;3;4,0.01028644620483021,5,0.03007235484209354,0;1;2;3;4,0.013230020398291489
5,30.8,0;1;2;3;4,21.276747871796573,,,5,0.0,0;1;2;3;4,0.0,5,13.2,0;1;2;3;4,29.51609730299722,1,4.356872405559398,1,0.0,1,0.8112574348684145,1,0.0,1,4.636594924700888,1,0.0,1,4.356872405559398,1,0.0,1,4.636594924700888,1,0.0,binary_subsystem_coverage,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,2/3,5,1.0,0;1;2;3;4,0.0,5,17.6,0;1;2;3;4,12.739701723352868,4,2.636221091575865,0;2;3;4,1.471126816307727,4,-20.856531856468376,0;2;3;4,36.83316714223242,4,3.0605521568251275,0;2;3;4,1.6858996985267691,4,2.636221091575865,0;2;3;4,1.471126816307727,4,3.0605521568251275,0;2;3;4,1.6858996985267691,5,1.0,0;1;2;3;4,0.0,5,30.8,0;1;2;3;4,21.276747871796573,5,0.032899259330903916,0;1;2;3;4,0.017419461498527414,5,92.4,0;1;2;3;4,63.83024361538972,5,0.032899259330903916,0;1;2;3;4,0.017419461498527418,5,0.9581749668604662,0;1;2;3;4,0.024615470903738175,5,0.04114787387592302,0;1;2;3;4,0.023305532155190618,5,0.032899259330903916,0;1;2;3;4,0.017419461498527404,5,0.032899259330903916,0;1;2;3;4,0.017419461498527418,5,0.04114787387592302,0;1;2;3;4,0.023305532155190618
5,62.8,0;1;2;3;4,17.181385275931625,,,5,0.0,0;1;2;3;4,0.0,5,55.6,0;1;2;3;4,32.19937887599697,4,2.6110531795039815,0;2;3;4,0.9063889030970887,4,0.9508210768663453,0;2;3;4,0.01986775070621863,4,3.0161157770627405,0;2;3;4,0.9101227078280016,4,2.6110531795039815,0;2;3;4,0.9063889030970887,4,3.0161157770627405,0;2;3;4,0.9101227078280016,binary_subsystem_coverage,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,3/3,5,1.0,0;1;2;3;4,0.0,5,7.2,0;1;2;3;4,16.09968943799849,1,4.50677256266274,1,0.0,1,-0.10518862481852165,1,0.0,1,5.212736138310781,1,0.0,1,4.50677256266274,1,0.0,1,5.212736138310781,1,0.0,5,1.0,0;1;2;3;4,0.0,5,62.8,0;1;2;3;4,17.181385275931625,5,0.031431672042307755,0;1;2;3;4,0.01953930592931152,5,188.4,0;1;2;3;4,51.54415582779487,5,0.03143167204230775,0;1;2;3;4,0.01953930592931152,5,0.96650550209671,0;1;2;3;4,0.029976753338956566,5,0.04117819217192622,0;1;2;3;4,0.024943232473069215,5,0.031431672042307755,0;1;2;3;4,0.019539305929311513,5,0.03143167204230775,0;1;2;3;4,0.01953930592931152,5,0.04117819217192622,0;1;2;3;4,0.024943232473069215
5,166.0,0;1;2;3;4,0.0,3,,5,0.0,0;1;2;3;4,0.0,5,77.2,0;1;2;3;4,18.322117781522966,5,2.96110698993567,0;1;2;3;4,1.1352809061260836,5,0.9305566683772051,0;1;2;3;4,0.06731961967903988,5,3.3974736663479623,0;1;2;3;4,1.1372571014054222,5,2.9704528794554306,0;1;2;3;4,1.178862263419292,5,3.4771590876090834,0;1;2;3;4,1.2459412075215037,cardinality,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,4.0,0;1;2;3;4,0.0,5,88.8,0;1;2;3;4,18.322117781522966,5,2.9255935291244937,0;1;2;3;4,0.6540474526579024,5,0.9841492074512743,0;1;2;3;4,0.009112455617685354,5,3.529009585382846,0;1;2;3;4,0.6933441843079443,5,2.7720879803368446,0;1;2;3;4,0.5161129643887847,5,3.401955311757573,0;1;2;3;4,0.6374610677583648,5,1.0,0;1;2;3;4,0.0,5,166.0,0;1;2;3;4,0.0,5,0.05080394813866661,0;1;2;3;4,0.006790458627517177,5,498.0,0;1;2;3;4,0.0,5,0.05169629732911964,0;1;2;3;4,0.005320223971121676,5,0.8689920864568018,0;1;2;3;4,0.016424194125622765,5,0.08435282613303083,0;1;2;3;4,0.004811293570449161,5,0.05169629732911966,0;1;2;3;4,0.005320223971121677,5,0.05138464144395229,0;1;2;3;4,0.004808467463327033,5,0.08359836494985617,0;1;2;3;4,0.004882515631085535
5,88.8,0;1;2;3;4,18.322117781522966,,isobaric,5,0.0,0;1;2;3;4,0.0,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,direction,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,2.6,0;1;2;3;4,0.5477225575051661,5,88.8,0;1;2;3;4,18.322117781522966,5,2.9255935291244937,0;1;2;3;4,0.6540474526579024,5,0.9841492074512743,0;1;2;3;4,0.009112455617685354,5,3.529009585382846,0;1;2;3;4,0.6933441843079443,5,2.7720879803368446,0;1;2;3;4,0.5161129643887847,5,3.401955311757573,0;1;2;3;4,0.6374610677583648,5,1.0,0;1;2;3;4,0.0,5,88.8,0;1;2;3;4,18.322117781522966,5,0.06877523380257641,0;1;2;3;4,0.012765816163406612,5,266.4,0;1;2;3;4,54.966353344568894,5,0.07779666467926724,0;1;2;3;4,0.012329730428065606,5,0.7604806676961695,0;1;2;3;4,0.053149681545950164,5,0.11293042535043232,0;1;2;3;4,0.0115519981967326,5,0.07779666467926724,0;1;2;3;4,0.01232973042806562,5,0.06772687331685343,0;1;2;3;4,0.01318830066155231,5,0.1022790276013104,0;1;2;3;4,0.011994339857583832
5,77.2,0;1;2;3;4,18.322117781522966,,isothermal,5,0.0,0;1;2;3;4,0.0,5,77.2,0;1;2;3;4,18.322117781522966,5,2.96110698993567,0;1;2;3;4,1.1352809061260836,5,0.9305566683772051,0;1;2;3;4,0.06731961967903988,5,3.3974736663479623,0;1;2;3;4,1.1372571014054222,5,2.9704528794554306,0;1;2;3;4,1.178862263419292,5,3.4771590876090834,0;1;2;3;4,1.2459412075215037,direction,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,1.4,0;1;2;3;4,0.5477225575051661,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,5,1.0,0;1;2;3;4,0.0,5,77.2,0;1;2;3;4,18.322117781522966,5,0.02463551098009695,0;1;2;3;4,0.0015669897130285964,5,231.6,0;1;2;3;4,54.966353344568894,5,0.024030483183138673,0;1;2;3;4,0.002763820190916467,5,0.9782279267578305,0;1;2;3;4,0.011849015683131356,5,0.03192196734135916,0;1;2;3;4,0.0038527375488994955,5,0.02403048318313867,0;1;2;3;4,0.002763820190916466,5,0.024635510980096947,0;1;2;3;4,0.0015669897130285973,5,0.03274614688000101,0;1;2;3;4,0.0016217021992811697
5,88.8,0;1;2;3;4,18.322117781522966,3,isobaric,5,0.0,0;1;2;3;4,0.0,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,direction_cardinality,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,2.6,0;1;2;3;4,0.5477225575051661,5,88.8,0;1;2;3;4,18.322117781522966,5,2.9255935291244937,0;1;2;3;4,0.6540474526579024,5,0.9841492074512743,0;1;2;3;4,0.009112455617685354,5,3.529009585382846,0;1;2;3;4,0.6933441843079443,5,2.7720879803368446,0;1;2;3;4,0.5161129643887847,5,3.401955311757573,0;1;2;3;4,0.6374610677583648,5,1.0,0;1;2;3;4,0.0,5,88.8,0;1;2;3;4,18.322117781522966,5,0.06877523380257641,0;1;2;3;4,0.012765816163406612,5,266.4,0;1;2;3;4,54.966353344568894,5,0.07779666467926724,0;1;2;3;4,0.012329730428065606,5,0.7604806676961695,0;1;2;3;4,0.053149681545950164,5,0.11293042535043232,0;1;2;3;4,0.0115519981967326,5,0.07779666467926724,0;1;2;3;4,0.01232973042806562,5,0.06772687331685343,0;1;2;3;4,0.01318830066155231,5,0.1022790276013104,0;1;2;3;4,0.011994339857583832
5,77.2,0;1;2;3;4,18.322117781522966,3,isothermal,5,0.0,0;1;2;3;4,0.0,5,77.2,0;1;2;3;4,18.322117781522966,5,2.96110698993567,0;1;2;3;4,1.1352809061260836,5,0.9305566683772051,0;1;2;3;4,0.06731961967903988,5,3.3974736663479623,0;1;2;3;4,1.1372571014054222,5,2.9704528794554306,0;1;2;3;4,1.178862263419292,5,3.4771590876090834,0;1;2;3;4,1.2459412075215037,direction_cardinality,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,1.4,0;1;2;3;4,0.5477225575051661,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,5,1.0,0;1;2;3;4,0.0,5,77.2,0;1;2;3;4,18.322117781522966,5,0.02463551098009695,0;1;2;3;4,0.0015669897130285964,5,231.6,0;1;2;3;4,54.966353344568894,5,0.024030483183138673,0;1;2;3;4,0.002763820190916467,5,0.9782279267578305,0;1;2;3;4,0.011849015683131356,5,0.03192196734135916,0;1;2;3;4,0.0038527375488994955,5,0.02403048318313867,0;1;2;3;4,0.002763820190916466,5,0.024635510980096947,0;1;2;3;4,0.0015669897130285973,5,0.03274614688000101,0;1;2;3;4,0.0016217021992811697
