attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
1676,,,0.0,822,6.0038628464042025,0.9746861690780603,14.544307238096843,6.740913219690319,15.821752234330452,all,0,0.0,,57,854,2.5166862941625907,0.9874464218030464,3.8900276491105297,2.883954387182857,4.5041780258615,1.0,1676,0.02698449489204429,3520,0.02567633931772302,0.9780611173509218,0.047011559828913516,0.02594586195351759,0.027993138837258364,0.05101683729558658
854,,isobaric,0.0,0,,,,,,direction,0,0.0,,35,854,2.5166862941625907,0.9874464218030464,3.8900276491105297,2.883954387182857,4.5041780258615,1.0,854,0.025909949110366662,1771,0.02573058120617449,0.9829295353473979,0.040708040600004165,0.025915309204159173,0.027459880530519325,0.044577121930395924
822,,isothermal,0.0,822,6.0038628464042025,0.9746861690780603,14.544307238096843,6.740913219690319,15.821752234330452,direction,0,0.0,,26,0,,,,,,1.0,822,0.03012464416179249,1749,0.025621415141366503,0.9734601558438317,0.052630639301189795,0.02584351313523548,0.026509700531683247,0.05574047482558881
1508,2,,0.0,717,6.524249825347898,0.9746167988007034,15.521564808837393,7.1385891140050255,16.44847649819466,cardinality,0,0.0,,53,791,2.6303454420087418,0.9870709708607488,4.025044071555493,2.9967228999950755,4.628733097736534,1.0,1508,0.027323242834928263,3016,0.02635571032769327,0.9759045290657371,0.04953737413984755,0.026430731543954946,0.028400715349326523,0.052314273650306
168,3,,0.0,105,2.450363190188686,0.97542314196831,3.301378060474109,1.968802487913846,2.762864383042456,cardinality,0,0.0,,4,63,1.0896325489831449,0.9921974353591514,1.309441297868905,1.0232739257812589,1.2320868740031439,1.0,168,0.022592750052355285,504,0.021610896924726425,0.9893247949860853,0.02740017428279932,0.021610896924726425,0.022592750052355285,0.028746291652558605
791,2,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,33,791,2.6303454420087418,0.9870709708607488,4.025044071555493,2.9967228999950755,4.628733097736534,1.0,791,0.02687809238426131,1582,0.026328903748319567,0.9815464212440741,0.04217833883089684,0.026328903748319567,0.02793040658641466,0.0455268019313795
63,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,2,63,1.0896325489831449,0.9921974353591514,1.309441297868905,1.0232739257812589,1.2320868740031439,1.0,63,0.019696200608246266,189,0.020722399927478617,0.9918207425185293,0.025240182429273495,0.020722399927478614,0.019696200608246263,0.023983672369338186
717,2,isothermal,0.0,717,6.524249825347898,0.9746167988007034,15.521564808837393,7.1385891140050255,16.44847649819466,direction_cardinality,0,0.0,,24,0,,,,,,1.0,717,0.02953034018518908,1434,0.026385283555426332,0.9703404716845165,0.056555721201821216,0.02638528355542633,0.026594733951284824,0.05723746217290671
105,3,isothermal,0.0,105,2.450363190188686,0.97542314196831,3.301378060474109,1.968802487913846,2.762864383042456,direction_cardinality,0,0.0,,2,0,,,,,,1.0,105,0.02548929949646431,315,0.022143995123075112,0.9875519065453746,0.028618022218990607,0.02214399512307511,0.025489299496464307,0.03282502135914256
1685,,,0.0,628,10.807194870325501,0.978414219397076,19.39703748023828,10.804642083208956,18.766119300498605,all,1,0.0,,57,1057,2.600910034757127,0.9768326881940174,4.233037253539646,3.071852822087101,4.712439859418589,1.0,1685,0.04140941449317839,3545,0.03623247928533265,0.955159172459752,0.06787213313089921,0.03540002841248781,0.039767671196339636,0.0712423646565081
1057,,isobaric,0.0,0,,,,,,direction,1,0.0,,43,1057,2.600910034757127,0.9768326881940174,4.233037253539646,3.071852822087101,4.712439859418589,1.0,1057,0.04416665268764069,2289,0.03837296031413099,0.9488540339714564,0.07101118891802823,0.03697842881668916,0.03978609409250004,0.0706688027845419
628,,isothermal,0.0,628,10.807194870325501,0.978414219397076,19.39703748023828,10.804642083208956,18.766119300498605,direction,1,0.0,,20,0,,,,,,1.0,628,0.0363556729646523,1256,0.03233155486262611,0.9651339169958568,0.06174225160578842,0.03233155486262611,0.03372526473110267,0.06350170064337199
1510,2,,0.0,628,10.807194870325501,0.978414219397076,19.39703748023828,10.804642083208956,18.766119300498605,cardinality,1,0.0,,52,882,2.6393297025027502,0.9763093840855174,4.378337266295937,3.1762850519468127,4.871011877847995,1.0,1510,0.038266109093216615,3020,0.032931859650599145,0.9636470595545741,0.061878949598469325,0.03307542876880176,0.03872413858794129,0.06927775904654178
175,3,,0.0,0,,,,,,cardinality,1,0.0,,5,175,2.4072749093191828,0.9289239378308509,3.4076958401307813,2.278167875153299,3.2646007502975536,1.0,175,0.05508580791422957,525,0.055218900803228214,0.8584314480818713,0.09528800941201848,0.055218900803228214,0.05062041032368231,0.0891435213831531
882,2,isobaric,0.0,0,,,,,,direction_cardinality,1,0.0,,38,882,2.6393297025027502,0.9763093840855174,4.378337266295937,3.1762850519468127,4.871011877847995,1.0,882,0.038167916518561204,1764,0.03335928754951872,0.9625175184423648,0.06197609728148785,0.03335928754951872,0.03836052616734449,0.06786453021278517
175,3,isobaric,0.0,0,,,,,,direction_cardinality,1,0.0,,5,175,2.4072749093191828,0.9289239378308509,3.4076958401307813,2.278167875153299,3.2646007502975536,1.0,175,0.05508580791422957,525,0.055218900803228214,0.8584314480818713,0.09528800941201848,0.055218900803228214,0.05062041032368231,0.0891435213831531
628,2,isothermal,0.0,628,10.807194870325501,0.978414219397076,19.39703748023828,10.804642083208956,18.766119300498605,direction_cardinality,1,0.0,,20,0,,,,,,1.0,628,0.0363556729646523,1256,0.03233155486262611,0.9651339169958568,0.06174225160578842,0.03233155486262611,0.03372526473110267,0.06350170064337199
1804,,,0.0,882,6.200149896986937,0.9800879454915609,13.62743621401957,5.89351125019857,12.800774732196766,all,2,0.0,,55,922,2.6859741753766366,0.977099819507008,4.557674315036203,3.266356654243575,5.752045808958645,1.0,1804,0.029980715774985657,3779,0.029151581971044154,0.9784086676108454,0.04568283892657746,0.028875142769370452,0.03241058461643479,0.05311488879180171
922,,isobaric,0.0,0,,,,,,direction,2,0.0,,33,922,2.6859741753766366,0.977099819507008,4.557674315036203,3.266356654243575,5.752045808958645,1.0,922,0.03395813105631773,1928,0.029104604690610256,0.9741923444572126,0.04870819535042401,0.02852138378345337,0.03478392643737238,0.05937128596239153
882,,isothermal,0.0,882,6.200149896986937,0.9800879454915609,13.62743621401957,5.89351125019857,12.800774732196766,direction,2,0.0,,27,0,,,,,,1.0,882,0.028503657238570863,1851,0.02920051346573705,0.9823829777054901,0.04230219769728297,0.029071208503956572,0.028784695459076998,0.04144724743171565
1633,2,,0.0,795,6.6366809483503575,0.9799221127809332,14.315267231617058,6.1241567824393295,13.24982733623152,cardinality,2,0.0,,50,838,2.8453025187854184,0.9756620067383522,4.758320190072129,3.4527137564478414,6.007787261804043,1.0,1633,0.027086401740106753,3266,0.027953911192850733,0.9814593419613923,0.04337704784189563,0.02803800809939145,0.030352905854665622,0.04898924742580183
171,3,,0.0,87,2.211159255217751,0.952593873386329,3.174473112443407,3.0104420971890526,4.199249939058901,cardinality,2,0.0,,5,84,1.096484273274742,0.9968544584391856,1.4576493435023035,1.4027856322009142,1.7352991214763758,1.0,171,0.050878400251647915,513,0.03677651912811962,0.9190144045709556,0.058260612601371095,0.03677651912811962,0.05298737223412649,0.08386681042913094
838,2,isobaric,0.0,0,,,,,,direction_cardinality,2,0.0,,30,838,2.8453025187854184,0.9756620067383522,4.758320190072129,3.4527137564478414,6.007787261804043,1.0,838,0.025816247633407924,1676,0.02717955811639074,0.9796659101684613,0.04447873843171119,0.02717955811639074,0.03144658805034686,0.0530334410240862
84,3,isobaric,0.0,0,,,,,,direction_cardinality,2,0.0,,3,84,1.096484273274742,0.9968544584391856,1.4576493435023035,1.4027856322009142,1.7352991214763758,1.0,84,0.06815731030762755,252,0.04190769222391149,0.8444988401839183,0.07066658620643833,0.04190769222391149,0.06815731030762755,0.10319392858379065
795,2,isothermal,0.0,795,6.6366809483503575,0.9799221127809332,14.315267231617058,6.1241567824393295,13.24982733623152,direction_cardinality,2,0.0,,25,0,,,,,,1.0,795,0.028745865878247148,1590,0.028770147517471454,0.9831961151169855,0.04218463238997336,0.028770147517471454,0.02866887388589317,0.04155062351535472
87,3,isothermal,0.0,87,2.211159255217751,0.952593873386329,3.174473112443407,3.0104420971890526,4.199249939058901,direction_cardinality,2,0.0,,2,0,,,,,,1.0,87,0.03023246512387491,261,0.03182228303563092,0.9639890546486616,0.04301145899005642,0.03182228303563093,0.03023246512387491,0.04013258506568871
1691,,,0.0,764,12.969006842881024,0.9407754190731474,31.989867666726045,11.248301782317348,25.309646978382656,all,3,0.0,,48,927,3.205035396440131,0.9421471600116864,6.539301481154009,4.192051346992672,7.7004974321613275,1.0,1691,0.031544703170637386,3548,0.027670830629789693,0.970699755566442,0.05424673886938312,0.028378415466318887,0.0355717767037278,0.06727598354612621
927,,isobaric,0.0,0,,,,,,direction,3,0.0,,32,927,3.205035396440131,0.9421471600116864,6.539301481154009,4.192051346992672,7.7004974321613275,1.0,927,0.04021955371886017,1854,0.030442898238109205,0.9598059224414869,0.0626209158934846,0.03044289823810921,0.041807334182877576,0.07670125145944647
764,,isothermal,0.0,764,12.969006842881024,0.9407754190731474,31.989867666726045,11.248301782317348,25.309646978382656,direction,3,0.0,,21,0,,,,,,1.0,764,0.02347219610324398,1694,0.024636938453978366,0.9817086126134545,0.043262013873557326,0.025842171661418487,0.0250399864749346,0.0433879740623083
1525,2,,0.0,598,16.110386447712393,0.9366977912238026,36.13301210055993,12.652198941211056,27.286383307522463,cardinality,3,0.0,,45,927,3.205035396440131,0.9421471600116864,6.539301481154009,4.192051346992672,7.7004974321613275,1.0,1525,0.03352526963084376,3050,0.029977606802399377,0.9669138058554835,0.0579546020286343,0.03001149340068032,0.037005877599969976,0.06926658518081798
166,3,,0.0,166,1.6524706760788592,0.9819430137182034,2.568458962125681,2.824918828955122,4.094792688554327,cardinality,3,0.0,,3,0,,,,,,1.0,166,0.013928047237437118,498,0.01354298459272233,0.9943549315037141,0.01986833698804153,0.013542984592722329,0.014060263260095166,0.021190329266096413
927,2,isobaric,0.0,0,,,,,,direction_cardinality,3,0.0,,32,927,3.205035396440131,0.9421471600116864,6.539301481154009,4.192051346992672,7.7004974321613275,1.0,927,0.04021955371886017,1854,0.030442898238109205,0.9598059224414869,0.0626209158934846,0.03044289823810921,0.041807334182877576,0.07670125145944647
598,2,isothermal,0.0,598,16.110386447712393,0.9366977912238026,36.13301210055993,12.652198941211056,27.286383307522463,direction_cardinality,3,0.0,,18,0,,,,,,1.0,598,0.02641160172251089,1196,0.02925632726911675,0.9769001812711764,0.04986526678650771,0.02925632726911675,0.0268699403440745,0.04605899115665907
166,3,isothermal,0.0,166,1.6524706760788592,0.9819430137182034,2.568458962125681,2.824918828955122,4.094792688554327,direction_cardinality,3,0.0,,3,0,,,,,,1.0,166,0.013928047237437118,498,0.01354298459272233,0.9943549315037141,0.01986833698804153,0.013542984592722329,0.014060263260095166,0.021190329266096413
1719,,,0.0,738,6.592708083464186,0.9805259124451806,15.492000208920153,8.061932613153898,17.658586679328053,all,4,0.0,,50,981,2.242522326050429,0.9863956608383626,3.2785585576412513,2.877632472239739,4.272977710035127,1.0,1719,0.028765861030399853,3645,0.027691035166923453,0.9794386757561916,0.04456635251119179,0.027898724473870738,0.030355682481325676,0.05054715219707881
981,,isobaric,0.0,0,,,,,,direction,4,0.0,,34,981,2.242522326050429,0.9863956608383626,3.2785585576412513,2.877632472239739,4.272977710035127,1.0,981,0.03263623649842542,2084,0.02914315386871709,0.9760583828747967,0.04712520865894482,0.029749797964701053,0.03575592598090922,0.05747410807375714
738,,isothermal,0.0,738,6.592708083464186,0.9805259124451806,15.492000208920153,8.061932613153898,17.658586679328053,direction,4,0.0,,22,0,,,,,,1.0,738,0.026232226535007203,1561,0.025752396233843417,0.9835534772072294,0.04090140515715828,0.026061623721849215,0.027403622618174497,0.044297742409279854
1512,2,,0.0,653,7.260331994877662,0.9800865011619877,16.45161827867996,8.376130091684221,18.068197930613223,cardinality,4,0.0,,46,859,2.34032804939883,0.9854304167535183,3.4419477287745672,3.0071316370908665,4.443755601538162,1.0,1512,0.030428851722936735,3024,0.029312345996596153,0.9777570619832664,0.04740294060833616,0.029020646214906305,0.0314315561210403,0.05219999860313128
207,3,,0.0,85,1.4637855640171193,0.9915560076060295,2.123612863351688,1.4637855640171193,2.123612863351688,cardinality,4,0.0,,4,122,1.553873831326852,0.9935191543996996,1.7371062657982703,1.5394744354447594,1.6958410030899564,1.0,207,0.018043705582024026,621,0.01979595634416945,0.9862348727594251,0.026754297995990984,0.01979595634416945,0.017983135624607495,0.02453617976608577
859,2,isobaric,0.0,0,,,,,,direction_cardinality,4,0.0,,31,859,2.34032804939883,0.9854304167535183,3.4419477287745672,3.0071316370908665,4.443755601538162,1.0,859,0.034848771241036615,1718,0.03122156315216389,0.9741871560827653,0.05060515574340705,0.03122156315216389,0.03755328040988282,0.059771120112980906
122,3,isobaric,0.0,0,,,,,,direction_cardinality,4,0.0,,3,122,1.553873831326852,0.9935191543996996,1.7371062657982703,1.5394744354447594,1.6958410030899564,1.0,122,0.017510939474827285,366,0.01938712340707336,0.984223777340718,0.024987517938028916,0.019387123407073357,0.017183263548182042,0.022811507149835954
653,2,isothermal,0.0,653,7.260331994877662,0.9800865011619877,16.45161827867996,8.376130091684221,18.068197930613223,direction_cardinality,4,0.0,,21,0,,,,,,1.0,653,0.02706222507524669,1306,0.026800833689348536,0.9822625150485267,0.04282742850782851,0.026800833689348536,0.02773794979742643,0.04489319479746313
85,3,isothermal,0.0,85,1.4637855640171193,0.9915560076060295,2.123612863351688,1.4637855640171193,2.123612863351688,direction_cardinality,4,0.0,,1,0,,,,,,1.0,85,0.020382751853883847,255,0.020382751853883847,0.9878708019372534,0.029103296973258135,0.020382751853883847,0.020382751853883847,0.029103296973258135
