attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
1161,,,0.0,808,20.961342238866923,0.7236150076234936,51.58325984993734,38.18523429274726,80.74195473362285,all,0,0.0,,27,353,25.765048257541377,0.6891628556353713,35.552347615578306,22.628248797069354,31.866425864149555,1.0,1161,0.09510194777843077,2374,0.08999058600395596,0.8518393749631337,0.13766758504537574,0.09049649410522986,0.09112867014981797,0.14448505173373835
353,,isobaric,0.0,0,,,,,,direction,0,0.0,,10,353,25.765048257541377,0.6891628556353713,35.552347615578306,22.628248797069354,31.866425864149555,1.0,353,0.08791128902744198,706,0.09991927952225049,0.8326810274554352,0.14883781711305116,0.09991927952225048,0.0853736716605971,0.13804312730458493
808,,isothermal,0.0,808,20.961342238866923,0.7236150076234936,51.58325984993734,38.18523429274726,80.74195473362285,direction,0,0.0,,19,0,,,,,,1.0,808,0.08896432787206988,1668,0.085788153375709,0.8602785645785757,0.1326566510591937,0.08612360960468095,0.08647178458493399,0.1403527436261838
1109,2,,0.0,756,22.050181424673674,0.7217281666244968,53.30524201676505,40.021564219319565,82.9427680151707,cardinality,0,0.0,,26,353,25.765048257541377,0.6891628556353713,35.552347615578306,22.628248797069354,31.866425864149555,1.0,1109,0.09443214771395507,2218,0.09101938279749178,0.8483525381261903,0.14060734276967807,0.09120800494063105,0.09173503415741582,0.14627804112718107
52,3,,0.0,52,5.131295614445796,0.9021491217997244,5.912025168247199,5.131295614445796,5.912025168247199,cardinality,0,0.0,,1,0,,,,,,1.0,52,0.07536320595227373,156,0.07536320595227373,0.890866096091852,0.08556410751822978,0.07536320595227375,0.07536320595227373,0.08556410751822978
353,2,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,10,353,25.765048257541377,0.6891628556353713,35.552347615578306,22.628248797069354,31.866425864149555,1.0,353,0.08791128902744198,706,0.09991927952225049,0.8326810274554352,0.14883781711305116,0.09991927952225048,0.0853736716605971,0.13804312730458493
756,2,isothermal,0.0,756,22.050181424673674,0.7217281666244968,53.30524201676505,40.021564219319565,82.9427680151707,direction_cardinality,0,0.0,,18,0,,,,,,1.0,756,0.08797203148025404,1512,0.08686374318923804,0.8558381751301807,0.13659453928066295,0.08686374318923804,0.08708892784230399,0.14278144598751796
52,3,isothermal,0.0,52,5.131295614445796,0.9021491217997244,5.912025168247199,5.131295614445796,5.912025168247199,direction_cardinality,0,0.0,,1,0,,,,,,1.0,52,0.07536320595227373,156,0.07536320595227373,0.890866096091852,0.08556410751822978,0.07536320595227375,0.07536320595227373,0.08556410751822978
1161,,,0.0,808,20.961342238866923,0.7236150076234936,51.58325984993734,38.18523429274726,80.74195473362285,unseen_subset,0,0.0,at_least_one_component_unseen,27,353,25.765048257541377,0.6891628556353713,35.552347615578306,22.628248797069354,31.866425864149555,1.0,1161,0.09510194777843077,2374,0.08999058600395596,0.8518393749631337,0.13766758504537574,0.09049649410522986,0.09112867014981797,0.14448505173373835
316,,,0.0,189,11.88894209619628,0.940798109562739,21.102381153373695,13.343492181079432,23.315765302619425,unseen_subset,0,0.0,strict_all_components_unseen,8,127,44.42729769969547,-0.4318801519206732,46.82134768470836,45.28135843336261,47.68467641905418,1.0,316,0.08722385416454032,684,0.07715154812950097,0.901028055259411,0.10872500849529088,0.0772986902073741,0.07794624192293285,0.1120482887288499
1161,,,0.0,808,22.107744066819894,0.7392245895607984,50.105439334475804,38.43770352639585,76.94546467071062,all,1,0.0,,27,353,27.0593480719115,0.6781922876936268,36.17429304013644,23.259601184112096,32.4560278352653,1.0,1161,0.0940524307620243,2374,0.09214000206560562,0.8455921595038275,0.14054000606033115,0.09227249139730875,0.09308405755034822,0.1447306407039021
353,,isobaric,0.0,0,,,,,,direction,1,0.0,,10,353,27.0593480719115,0.6781922876936268,36.17429304013644,23.259601184112096,32.4560278352653,1.0,353,0.08530592859889198,706,0.09738706739487944,0.8430494453545562,0.1441524821305829,0.09738706739487946,0.08091448578338992,0.12897074466518701
808,,isothermal,0.0,808,22.107744066819894,0.7392245895607984,50.105439334475804,38.43770352639585,76.94546467071062,direction,1,0.0,,19,0,,,,,,1.0,808,0.08969845579061327,1668,0.0899191218962607,0.8466349144942829,0.1389827051345904,0.08981142915747707,0.09207543526224665,0.14545416326011038
1109,2,,0.0,756,23.08562264107879,0.7377865683241833,51.74432928597714,40.134748498658325,79.02450367495467,cardinality,1,0.0,,26,353,27.0593480719115,0.6781922876936268,36.17429304013644,23.259601184112096,32.4560278352653,1.0,1109,0.09327131087752627,2218,0.09206081491898467,0.8439321248818827,0.14264192353211422,0.09222578592550057,0.09307706434630841,0.14600833242165237
52,3,,0.0,52,7.890894025671361,0.7654323198331451,9.15351709056457,7.890894025671361,9.15351709056457,cardinality,1,0.0,,1,0,,,,,,1.0,52,0.09326588085538301,156,0.09326588085538304,0.8317259801584078,0.10624789000647941,0.09326588085538302,0.09326588085538304,0.10624789000647941
353,2,isobaric,0.0,0,,,,,,direction_cardinality,1,0.0,,10,353,27.0593480719115,0.6781922876936268,36.17429304013644,23.259601184112096,32.4560278352653,1.0,353,0.08530592859889198,706,0.09738706739487944,0.8430494453545562,0.1441524821305829,0.09738706739487946,0.08091448578338992,0.12897074466518701
756,2,isothermal,0.0,756,23.08562264107879,0.7377865683241833,51.74432928597714,40.134748498658325,79.02450367495467,direction_cardinality,1,0.0,,18,0,,,,,,1.0,756,0.0885412411469125,1512,0.08957382136873221,0.8443537446396225,0.1419310907494299,0.08957382136873221,0.09200929939596131,0.14732668621005518
52,3,isothermal,0.0,52,7.890894025671361,0.7654323198331451,9.15351709056457,7.890894025671361,9.15351709056457,direction_cardinality,1,0.0,,1,0,,,,,,1.0,52,0.09326588085538301,156,0.09326588085538304,0.8317259801584078,0.10624789000647941,0.09326588085538302,0.09326588085538304,0.10624789000647941
