attempted_samples_available_seeds,attempted_samples_mean,attempted_samples_seed_ids,attempted_samples_std,component_count,direction,nonphysical_rate_available_seeds,nonphysical_rate_mean,nonphysical_rate_seed_ids,nonphysical_rate_std,pressure_count_available_seeds,pressure_count_mean,pressure_count_seed_ids,pressure_count_std,pressure_mae_kpa_available_seeds,pressure_mae_kpa_mean,pressure_mae_kpa_seed_ids,pressure_mae_kpa_std,pressure_r2_available_seeds,pressure_r2_mean,pressure_r2_seed_ids,pressure_r2_std,pressure_rmse_kpa_available_seeds,pressure_rmse_kpa_mean,pressure_rmse_kpa_seed_ids,pressure_rmse_kpa_std,pressure_system_macro_mae_kpa_available_seeds,pressure_system_macro_mae_kpa_mean,pressure_system_macro_mae_kpa_seed_ids,pressure_system_macro_mae_kpa_std,pressure_system_macro_rmse_kpa_available_seeds,pressure_system_macro_rmse_kpa_mean,pressure_system_macro_rmse_kpa_seed_ids,pressure_system_macro_rmse_kpa_std,scope,scope_available_seeds,scope_seed_ids,seeds,solver_failure_rate_available_seeds,solver_failure_rate_mean,solver_failure_rate_seed_ids,solver_failure_rate_std,subgroup,systems_available_seeds,systems_mean,systems_seed_ids,systems_std,temperature_count_available_seeds,temperature_count_mean,temperature_count_seed_ids,temperature_count_std,temperature_mae_k_available_seeds,temperature_mae_k_mean,temperature_mae_k_seed_ids,temperature_mae_k_std,temperature_r2_available_seeds,temperature_r2_mean,temperature_r2_seed_ids,temperature_r2_std,temperature_rmse_k_available_seeds,temperature_rmse_k_mean,temperature_rmse_k_seed_ids,temperature_rmse_k_std,temperature_system_macro_mae_k_available_seeds,temperature_system_macro_mae_k_mean,temperature_system_macro_mae_k_seed_ids,temperature_system_macro_mae_k_std,temperature_system_macro_rmse_k_available_seeds,temperature_system_macro_rmse_k_mean,temperature_system_macro_rmse_k_seed_ids,temperature_system_macro_rmse_k_std,valid_coverage_available_seeds,valid_coverage_mean,valid_coverage_seed_ids,valid_coverage_std,valid_samples_available_seeds,valid_samples_mean,valid_samples_seed_ids,valid_samples_std,y_component_macro_mae_available_seeds,y_component_macro_mae_mean,y_component_macro_mae_seed_ids,y_component_macro_mae_std,y_component_values_available_seeds,y_component_values_mean,y_component_values_seed_ids,y_component_values_std,y_mae_available_seeds,y_mae_mean,y_mae_seed_ids,y_mae_std,y_r2_available_seeds,y_r2_mean,y_r2_seed_ids,y_r2_std,y_rmse_available_seeds,y_rmse_mean,y_rmse_seed_ids,y_rmse_std,y_sample_macro_mae_available_seeds,y_sample_macro_mae_mean,y_sample_macro_mae_seed_ids,y_sample_macro_mae_std,y_system_macro_mae_available_seeds,y_system_macro_mae_mean,y_system_macro_mae_seed_ids,y_system_macro_mae_std,y_system_macro_rmse_available_seeds,y_system_macro_rmse_mean,y_system_macro_rmse_seed_ids,y_system_macro_rmse_std
5,1161.0,0;1;2;3;4,0.0,,,5,0.0,0;1;2;3;4,0.0,5,808.0,0;1;2;3;4,0.0,5,23.082844434214014,0;1;2;3;4,2.2171557063096596,5,0.7131192552183957,0;1;2;3;4,0.02425929103142387,5,52.51653831819101,0;1;2;3;4,2.205485385509275,5,39.59338190985453,0;1;2;3;4,2.601830629182487,5,79.8541743272569,0;1;2;3;4,2.810417895639466,all,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,27.0,0;1;2;3;4,0.0,5,353.0,0;1;2;3;4,0.0,5,28.252001069930714,0;1;2;3;4,2.8412658513885214,5,0.6418284897038881,0;1;2;3;4,0.060424794383842816,5,38.05918107219441,0;1;2;3;4,3.1515410016198673,5,24.448448730633544,0;1;2;3;4,2.266040889393045,5,34.05728300929005,0;1;2;3;4,2.7918054265518037,5,1.0,0;1;2;3;4,0.0,5,1161.0,0;1;2;3;4,0.0,5,0.09790414677898455,0;1;2;3;4,0.0035438722552436617,5,2374.0,0;1;2;3;4,0.0,5,0.0950728714584113,0;1;2;3;4,0.0038527393455562824,5,0.84142716942149,0;1;2;3;4,0.00837734357215662,5,0.14238318635109404,0;1;2;3;4,0.0037578970131054903,5,0.09550789485610436,0;1;2;3;4,0.003959984503511639,5,0.09546157557501314,0;1;2;3;4,0.0035975731143800273,5,0.14724671606292608,0;1;2;3;4,0.0030610330450748405
5,1109.0,0;1;2;3;4,0.0,2,,5,0.0,0;1;2;3;4,0.0,5,756.0,0;1;2;3;4,0.0,5,24.264879820561976,0;1;2;3;4,2.4083592571251127,5,0.7112417272984277,0;1;2;3;4,0.024557057036463433,5,54.26162127290098,0;1;2;3;4,2.2920748360075356,5,41.465354880807915,0;1;2;3;4,2.7786848137296363,5,82.02579989013402,0;1;2;3;4,2.8948966889575387,cardinality,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,26.0,0;1;2;3;4,0.0,5,353.0,0;1;2;3;4,0.0,5,28.252001069930714,0;1;2;3;4,2.8412658513885214,5,0.6418284897038881,0;1;2;3;4,0.060424794383842816,5,38.05918107219441,0;1;2;3;4,3.1515410016198673,5,24.448448730633544,0;1;2;3;4,2.266040889393045,5,34.05728300929005,0;1;2;3;4,2.7918054265518037,5,1.0,0;1;2;3;4,0.0,5,1109.0,0;1;2;3;4,0.0,5,0.09716716717350449,0;1;2;3;4,0.0033618720886843126,5,2218.0,0;1;2;3;4,0.0,5,0.09588581479877772,0;1;2;3;4,0.0042397280303856835,5,0.8386143952093251,0;1;2;3;4,0.00970802297709165,5,0.1449998781692473,0;1;2;3;4,0.004334626594107556,5,0.09607178032294368,0;1;2;3;4,0.004254604270731846,5,0.09592107906887966,0;1;2;3;4,0.003501908808622085,5,0.1488266932067286,0;1;2;3;4,0.002958689157536386
5,52.0,0;1;2;3;4,0.0,3,,5,0.0,0;1;2;3;4,0.0,5,52.0,0;1;2;3;4,0.0,5,5.897868432693699,0;1;2;3;4,1.3532622985245613,5,0.8647832774252908,0;1;2;3;4,0.0647249088773703,5,6.800485591316066,0;1;2;3;4,1.6017199266776934,5,5.897868432693699,0;1;2;3;4,1.3532622985245613,5,6.800485591316066,0;1;2;3;4,1.6017199266776934,cardinality,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,1.0,0;1;2;3;4,0.0,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,5,1.0,0;1;2;3;4,0.0,5,52.0,0;1;2;3;4,0.0,5,0.08351448473448364,0;1;2;3;4,0.014806410025718844,5,156.0,0;1;2;3;4,0.0,5,0.08351448473448364,0;1;2;3;4,0.014806410025718853,5,0.8578008929063676,0;1;2;3;4,0.055615779935621716,5,0.0961596102252306,0;1;2;3;4,0.019128365203051226,5,0.08351448473448364,0;1;2;3;4,0.014806410025718853,5,0.08351448473448364,0;1;2;3;4,0.014806410025718853,5,0.0961596102252306,0;1;2;3;4,0.019128365203051226
5,353.0,0;1;2;3;4,0.0,,isobaric,5,0.0,0;1;2;3;4,0.0,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,direction,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,10.0,0;1;2;3;4,0.0,5,353.0,0;1;2;3;4,0.0,5,28.252001069930714,0;1;2;3;4,2.8412658513885214,5,0.6418284897038881,0;1;2;3;4,0.060424794383842816,5,38.05918107219441,0;1;2;3;4,3.1515410016198673,5,24.448448730633544,0;1;2;3;4,2.266040889393045,5,34.05728300929005,0;1;2;3;4,2.7918054265518037,5,1.0,0;1;2;3;4,0.0,5,353.0,0;1;2;3;4,0.0,5,0.08819081200256063,0;1;2;3;4,0.0037501724735634788,5,706.0,0;1;2;3;4,0.0,5,0.1010747454497491,0;1;2;3;4,0.004487568435450732,5,0.8459064330655149,0;1;2;3;4,0.009658054031730345,5,0.1427782508215661,0;1;2;3;4,0.004479085259367562,5,0.1010747454497491,0;1;2;3;4,0.00448756843545073,5,0.08439210910219899,0;1;2;3;4,0.0038083339921847277,5,0.12907939064670162,0;1;2;3;4,0.005504082149753419
5,808.0,0;1;2;3;4,0.0,,isothermal,5,0.0,0;1;2;3;4,0.0,5,808.0,0;1;2;3;4,0.0,5,23.082844434214014,0;1;2;3;4,2.2171557063096596,5,0.7131192552183957,0;1;2;3;4,0.02425929103142387,5,52.51653831819101,0;1;2;3;4,2.205485385509275,5,39.59338190985453,0;1;2;3;4,2.601830629182487,5,79.8541743272569,0;1;2;3;4,2.810417895639466,direction,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,19.0,0;1;2;3;4,0.0,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,5,1.0,0;1;2;3;4,0.0,5,808.0,0;1;2;3;4,0.0,5,0.09365518592669893,0;1;2;3;4,0.004230406907926519,5,1668.0,0;1;2;3;4,0.0,5,0.09253250992490743,0;1;2;3;4,0.004951847770154266,5,0.8393432223557452,0;1;2;3;4,0.015938467315971608,5,0.14210802648048038,0;1;2;3;4,0.007060727279702065,5,0.0928226939038072,0;1;2;3;4,0.005242531096365598,5,0.09348523163758206,0;1;2;3;4,0.004443474224167797,5,0.14875534186041578,0;1;2;3;4,0.00642395160944349
5,353.0,0;1;2;3;4,0.0,2,isobaric,5,0.0,0;1;2;3;4,0.0,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,direction_cardinality,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,10.0,0;1;2;3;4,0.0,5,353.0,0;1;2;3;4,0.0,5,28.252001069930714,0;1;2;3;4,2.8412658513885214,5,0.6418284897038881,0;1;2;3;4,0.060424794383842816,5,38.05918107219441,0;1;2;3;4,3.1515410016198673,5,24.448448730633544,0;1;2;3;4,2.266040889393045,5,34.05728300929005,0;1;2;3;4,2.7918054265518037,5,1.0,0;1;2;3;4,0.0,5,353.0,0;1;2;3;4,0.0,5,0.08819081200256063,0;1;2;3;4,0.0037501724735634788,5,706.0,0;1;2;3;4,0.0,5,0.1010747454497491,0;1;2;3;4,0.004487568435450732,5,0.8459064330655149,0;1;2;3;4,0.009658054031730345,5,0.1427782508215661,0;1;2;3;4,0.004479085259367562,5,0.1010747454497491,0;1;2;3;4,0.00448756843545073,5,0.08439210910219899,0;1;2;3;4,0.0038083339921847277,5,0.12907939064670162,0;1;2;3;4,0.005504082149753419
5,756.0,0;1;2;3;4,0.0,2,isothermal,5,0.0,0;1;2;3;4,0.0,5,756.0,0;1;2;3;4,0.0,5,24.264879820561976,0;1;2;3;4,2.4083592571251127,5,0.7112417272984277,0;1;2;3;4,0.024557057036463433,5,54.26162127290098,0;1;2;3;4,2.2920748360075356,5,41.465354880807915,0;1;2;3;4,2.7786848137296363,5,82.02579989013402,0;1;2;3;4,2.8948966889575387,direction_cardinality,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,18.0,0;1;2;3;4,0.0,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,5,1.0,0;1;2;3;4,0.0,5,756.0,0;1;2;3;4,0.0,5,0.09256336428895066,0;1;2;3;4,0.004043074742670307,5,1512.0,0;1;2;3;4,0.0,5,0.09346294109534796,0;1;2;3;4,0.006004799117606983,5,0.8351312882161583,0;1;2;3;4,0.018192540019088668,5,0.1459006224442079,0;1;2;3;4,0.00798862088696893,5,0.09346294109534796,0;1;2;3;4,0.006004799117606983,5,0.0940391620210875,0;1;2;3;4,0.004467093882748592,5,0.15109289491567174,0;1;2;3;4,0.006452957108136551
5,52.0,0;1;2;3;4,0.0,3,isothermal,5,0.0,0;1;2;3;4,0.0,5,52.0,0;1;2;3;4,0.0,5,5.897868432693699,0;1;2;3;4,1.3532622985245613,5,0.8647832774252908,0;1;2;3;4,0.0647249088773703,5,6.800485591316066,0;1;2;3;4,1.6017199266776934,5,5.897868432693699,0;1;2;3;4,1.3532622985245613,5,6.800485591316066,0;1;2;3;4,1.6017199266776934,direction_cardinality,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,1.0,0;1;2;3;4,0.0,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,5,1.0,0;1;2;3;4,0.0,5,52.0,0;1;2;3;4,0.0,5,0.08351448473448364,0;1;2;3;4,0.014806410025718844,5,156.0,0;1;2;3;4,0.0,5,0.08351448473448364,0;1;2;3;4,0.014806410025718853,5,0.8578008929063676,0;1;2;3;4,0.055615779935621716,5,0.0961596102252306,0;1;2;3;4,0.019128365203051226,5,0.08351448473448364,0;1;2;3;4,0.014806410025718853,5,0.08351448473448364,0;1;2;3;4,0.014806410025718853,5,0.0961596102252306,0;1;2;3;4,0.019128365203051226
5,1161.0,0;1;2;3;4,0.0,,,5,0.0,0;1;2;3;4,0.0,5,808.0,0;1;2;3;4,0.0,5,23.082844434214014,0;1;2;3;4,2.2171557063096596,5,0.7131192552183957,0;1;2;3;4,0.02425929103142387,5,52.51653831819101,0;1;2;3;4,2.205485385509275,5,39.59338190985453,0;1;2;3;4,2.601830629182487,5,79.8541743272569,0;1;2;3;4,2.810417895639466,unseen_subset,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,at_least_one_component_unseen,5,27.0,0;1;2;3;4,0.0,5,353.0,0;1;2;3;4,0.0,5,28.252001069930714,0;1;2;3;4,2.8412658513885214,5,0.6418284897038881,0;1;2;3;4,0.060424794383842816,5,38.05918107219441,0;1;2;3;4,3.1515410016198673,5,24.448448730633544,0;1;2;3;4,2.266040889393045,5,34.05728300929005,0;1;2;3;4,2.7918054265518037,5,1.0,0;1;2;3;4,0.0,5,1161.0,0;1;2;3;4,0.0,5,0.09790414677898455,0;1;2;3;4,0.0035438722552436617,5,2374.0,0;1;2;3;4,0.0,5,0.0950728714584113,0;1;2;3;4,0.0038527393455562824,5,0.84142716942149,0;1;2;3;4,0.00837734357215662,5,0.14238318635109404,0;1;2;3;4,0.0037578970131054903,5,0.09550789485610436,0;1;2;3;4,0.003959984503511639,5,0.09546157557501314,0;1;2;3;4,0.0035975731143800273,5,0.14724671606292608,0;1;2;3;4,0.0030610330450748405
5,316.0,0;1;2;3;4,0.0,,,5,0.0,0;1;2;3;4,0.0,5,189.0,0;1;2;3;4,0.0,5,16.240536357930353,0;1;2;3;4,7.701424527514055,5,0.8483905600687793,0;1;2;3;4,0.20210373348541966,5,29.435568691703757,0;1;2;3;4,18.504655019884417,5,18.703297068117756,0;1;2;3;4,9.50479840857825,5,32.64575500078288,0;1;2;3;4,20.861194672344276,unseen_subset,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,strict_all_components_unseen,5,8.0,0;1;2;3;4,0.0,5,127.0,0;1;2;3;4,0.0,5,46.411183168906845,0;1;2;3;4,5.521349606364451,5,-0.6215797264908975,0;1;2;3;4,0.33137667873557125,5,49.62629770195237,0;1;2;3;4,4.987886577962623,5,47.49491208024727,0;1;2;3;4,5.472922558132373,5,50.7159639273428,0;1;2;3;4,4.961476813204381,5,1.0,0;1;2;3;4,0.0,5,316.0,0;1;2;3;4,0.0,5,0.08383105172476474,0;1;2;3;4,0.004188475623867118,5,684.0,0;1;2;3;4,0.0,5,0.07811585403989565,0;1;2;3;4,0.003935514750231172,5,0.9016297562859885,0;1;2;3;4,0.007474068467431,5,0.10833002084068304,0;1;2;3;4,0.00416343945519084,5,0.07767166290679664,0;1;2;3;4,0.003336008635676976,5,0.07837116201179299,0;1;2;3;4,0.003371740834390661,5,0.11076640977078182,0;1;2;3;4,0.0030995096079122052
