attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
166,,,0.0,105,1.3819916574028879,0.9929600493582851,1.7669200038634985,1.761660605749464,2.308873473409261,all,0,0.0,,4,61,1.6740828517225932,0.9959834266571744,2.1342785044114367,1.8875534467672435,2.3480960761445084,1.0,166,0.035679150013558106,498,0.038979321058725855,0.8989549719925167,0.07764065550838548,0.03897932105872585,0.041956560721644456,0.07771371822665195
61,,isobaric,0.0,0,,,,,,direction,0,0.0,,2,61,1.6740828517225932,0.9959834266571744,2.1342785044114367,1.8875534467672435,2.3480960761445084,1.0,61,0.06668984923464416,183,0.08605682386034498,0.6768343827035039,0.12596169818824077,0.08605682386034498,0.06668984923464415,0.10701810453206533
105,,isothermal,0.0,105,1.3819916574028879,0.9929600493582851,1.7669200038634985,1.761660605749464,2.308873473409261,direction,0,0.0,,2,0,,,,,,1.0,105,0.017223272208644756,315,0.011629533716832835,0.9952502132719951,0.01767767931648329,0.011629533716832832,0.017223272208644756,0.0250193785611644
166,3,,0.0,105,1.3819916574028879,0.9929600493582851,1.7669200038634985,1.761660605749464,2.308873473409261,cardinality,0,0.0,,4,61,1.6740828517225932,0.9959834266571744,2.1342785044114367,1.8875534467672435,2.3480960761445084,1.0,166,0.035679150013558106,498,0.038979321058725855,0.8989549719925167,0.07764065550838548,0.03897932105872585,0.041956560721644456,0.07771371822665195
61,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,2,61,1.6740828517225932,0.9959834266571744,2.1342785044114367,1.8875534467672435,2.3480960761445084,1.0,61,0.06668984923464416,183,0.08605682386034498,0.6768343827035039,0.12596169818824077,0.08605682386034498,0.06668984923464415,0.10701810453206533
105,3,isothermal,0.0,105,1.3819916574028879,0.9929600493582851,1.7669200038634985,1.761660605749464,2.308873473409261,direction_cardinality,0,0.0,,2,0,,,,,,1.0,105,0.017223272208644756,315,0.011629533716832835,0.9952502132719951,0.01767767931648329,0.011629533716832832,0.017223272208644756,0.0250193785611644
43,,,0.0,0,,,,,,binary_subsystem_coverage,0,0.0,0/3,1,43,1.366685194858297,0.8583794004555623,1.7818624213666678,1.366685194858297,1.7818624213666678,1.0,43,0.1139452673213542,129,0.1139452673213542,0.465636706698218,0.14906962466223553,0.11394526732135418,0.1139452673213542,0.14906962466223553
21,,,0.0,21,2.39444218632709,0.9685702849057962,3.002062748036125,2.39444218632709,3.002062748036125,binary_subsystem_coverage,0,0.0,1/3,1,0,,,,,,1.0,21,0.026546169694997956,63,0.02654616969499796,0.9903088080898375,0.03388831017038529,0.026546169694997953,0.02654616969499796,0.03388831017038529
18,,,0.0,0,,,,,,binary_subsystem_coverage,0,0.0,2/3,1,18,2.40842169867619,0.9512609784385738,2.8021557196079936,2.40842169867619,2.8021557196079936,1.0,18,0.019434431147934104,54,0.019434431147934104,0.9897971908896781,0.02615332480455103,0.019434431147934104,0.019434431147934104,0.02615332480455103
84,,,0.0,84,1.1288790251718377,0.9953802104431757,1.2842946271318272,1.1288790251718377,1.2842946271318272,binary_subsystem_coverage,0,0.0,3/3,1,0,,,,,,1.0,84,0.007900374722291553,252,0.007900374722291553,0.9980324929266308,0.01017452902936871,0.007900374722291553,0.007900374722291553,0.01017452902936871
