attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
1161,,,0.0,808,29.68724892401966,0.6267069039956412,59.94825342176174,42.162003159218905,81.61014224259903,all,0,0.0,,27,353,37.187832145366706,0.4459083389856876,47.467093019445045,31.32557485519296,42.302931129767884,1.0,1161,0.10248667598931575,2374,0.10837264941075676,0.7786616442889458,0.16826493924600314,0.1099490797323118,0.09767207759858187,0.15803176172365452
353,,isobaric,0.0,0,,,,,,direction,0,0.0,,10,353,37.187832145366706,0.4459083389856876,47.467093019445045,31.32557485519296,42.302931129767884,1.0,353,0.09471332805823167,706,0.11289762819848131,0.8057056062869841,0.16038761600928145,0.11289762819848131,0.0935766890911208,0.14335596907750028
808,,isothermal,0.0,808,29.68724892401966,0.6267069039956412,59.94825342176174,42.162003159218905,81.61014224259903,direction,0,0.0,,19,0,,,,,,1.0,808,0.09608387991880107,1668,0.10645740059532897,0.766501900293623,0.17149015194618264,0.10834479761369224,0.09176765251355887,0.15732477883557294
1109,2,,0.0,756,31.476074214144862,0.6239726270845382,61.96479611735466,44.299865487814,83.83995170540418,cardinality,0,0.0,,26,353,37.187832145366706,0.4459083389856876,47.467093019445045,31.32557485519296,42.302931129767884,1.0,1109,0.10209862572982482,2218,0.11263273938380988,0.7692755403870473,0.17343520049246294,0.11287096119415461,0.09959012255852581,0.1606602339112828
52,3,,0.0,52,3.6804812445070287,0.9450835698141656,4.428993669737797,3.6804812445070287,4.428993669737797,cardinality,0,0.0,,1,0,,,,,,1.0,52,0.04780290864003966,156,0.04780290864003965,0.9523805289554791,0.05652024852104728,0.04780290864003966,0.04780290864003965,0.05652024852104728
353,2,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,10,353,37.187832145366706,0.4459083389856876,47.467093019445045,31.32557485519296,42.302931129767884,1.0,353,0.09471332805823167,706,0.11289762819848131,0.8057056062869841,0.16038761600928145,0.11289762819848131,0.0935766890911208,0.14335596907750028
756,2,isothermal,0.0,756,31.476074214144862,0.6239726270845382,61.96479611735466,44.299865487814,83.83995170540418,direction_cardinality,0,0.0,,18,0,,,,,,1.0,756,0.09550899064548117,1512,0.1125090545272239,0.7518743941231283,0.17920247122666036,0.1125090545272239,0.09421013828430995,0.1610859149965039
52,3,isothermal,0.0,52,3.6804812445070287,0.9450835698141656,4.428993669737797,3.6804812445070287,4.428993669737797,direction_cardinality,0,0.0,,1,0,,,,,,1.0,52,0.04780290864003966,156,0.04780290864003965,0.9523805289554791,0.05652024852104728,0.04780290864003966,0.04780290864003965,0.05652024852104728
1161,,,0.0,808,29.68724892401966,0.6267069039956412,59.94825342176174,42.162003159218905,81.61014224259903,unseen_subset,0,0.0,at_least_one_component_unseen,27,353,37.187832145366706,0.4459083389856876,47.467093019445045,31.32557485519296,42.302931129767884,1.0,1161,0.10248667598931575,2374,0.10837264941075676,0.7786616442889458,0.16826493924600314,0.1099490797323118,0.09767207759858187,0.15803176172365452
316,,,0.0,189,17.999340400258724,0.7936072548398504,39.40133068838887,21.597984662885874,44.12976304677689,unseen_subset,0,0.0,strict_all_components_unseen,8,127,60.039648043414715,-1.5033147779168878,61.90821855145214,61.10170003592668,63.01686571477672,1.0,316,0.07031244917001894,684,0.05706286672038075,0.9432035255184078,0.08236336613103432,0.05782476200547211,0.06112378846042482,0.08878102845761701
1161,,,0.0,808,39.327463323820076,0.3983833457256367,76.10470041726613,50.180926585493296,93.35733271212676,all,1,0.0,,27,353,33.83936327710029,0.5322990175160296,43.6099882335231,28.75763612789537,39.17907845870186,1.0,1161,0.11456714067263826,2374,0.12157111650537976,0.731162503074376,0.18544290199950564,0.1227196967933537,0.11100670824902445,0.17449415258483797
353,,isobaric,0.0,0,,,,,,direction,1,0.0,,10,353,33.83936327710029,0.5322990175160296,43.6099882335231,28.75763612789537,39.17907845870186,1.0,353,0.09872736156407226,706,0.11747553060431908,0.7874016886641718,0.16777243303907166,0.11747553060431908,0.09647248184265719,0.14851122240063042
808,,isothermal,0.0,808,39.327463323820076,0.3983833457256367,76.10470041726613,50.180926585493296,93.35733271212676,direction,1,0.0,,19,0,,,,,,1.0,808,0.1114335363920848,1668,0.1233046198903611,0.7059855781647577,0.19243400860538865,0.12464372065851896,0.10899592487090011,0.1781582156689074
1109,2,,0.0,756,41.72634041806007,0.39396419103736224,78.6655236367902,52.72145134281428,95.90692142804177,cardinality,1,0.0,,26,353,33.83936327710029,0.5322990175160296,43.6099882335231,28.75763612789537,39.17907845870186,1.0,1109,0.11360372510357312,2218,0.12437613634125547,0.7228965231378084,0.190069054995534,0.12464878435239417,0.11213429363067653,0.17676708455865034
52,3,,0.0,52,4.451480953715542,0.9166749731513231,5.4555889553353465,4.451480953715542,5.4555889553353465,cardinality,1,0.0,,1,0,,,,,,1.0,52,0.08168948832607041,156,0.0816894883260704,0.8555558532309882,0.09843776695266991,0.0816894883260704,0.0816894883260704,0.09843776695266991
353,2,isobaric,0.0,0,,,,,,direction_cardinality,1,0.0,,10,353,33.83936327710029,0.5322990175160296,43.6099882335231,28.75763612789537,39.17907845870186,1.0,353,0.09872736156407226,706,0.11747553060431908,0.7874016886641718,0.16777243303907166,0.11747553060431908,0.09647248184265719,0.14851122240063042
756,2,isothermal,0.0,756,41.72634041806007,0.39396419103736224,78.6655236367902,52.72145134281428,95.90692142804177,direction_cardinality,1,0.0,,18,0,,,,,,1.0,756,0.11000625406754383,1512,0.12759824457556568,0.6920850548526385,0.19962897935780538,0.1275982445755657,0.11051294912339063,0.18156367913116775
52,3,isothermal,0.0,52,4.451480953715542,0.9166749731513231,5.4555889553353465,4.451480953715542,5.4555889553353465,direction_cardinality,1,0.0,,1,0,,,,,,1.0,52,0.08168948832607041,156,0.0816894883260704,0.8555558532309882,0.09843776695266991,0.0816894883260704,0.0816894883260704,0.09843776695266991
1161,,,0.0,808,39.327463323820076,0.3983833457256367,76.10470041726613,50.180926585493296,93.35733271212676,unseen_subset,1,0.0,at_least_one_component_unseen,27,353,33.83936327710029,0.5322990175160296,43.6099882335231,28.75763612789537,39.17907845870186,1.0,1161,0.11456714067263826,2374,0.12157111650537976,0.731162503074376,0.18544290199950564,0.1227196967933537,0.11100670824902445,0.17449415258483797
316,,,0.0,189,20.26114800657947,0.7394476092234674,44.27017175107006,24.286448560607983,49.57138783593596,unseen_subset,1,0.0,strict_all_components_unseen,8,127,55.289361130121165,-1.1879182399003256,57.87701441377816,56.509151088392116,59.17023806604372,1.0,316,0.08387609772582107,684,0.07293662245994793,0.9081777886936488,0.10472425319018845,0.07221644995197583,0.07714817497221305,0.11089024270484966
1161,,,0.0,808,25.6468546230267,0.5483209149657133,65.94267281785297,43.55764183966967,91.77978568612434,all,2,0.0,,27,353,37.81203490173512,0.4123045733909897,48.88526614318759,32.17924495843671,43.993447184942,1.0,1161,0.09949417936933676,2374,0.0952710965346668,0.8300457194371329,0.14744544044071564,0.09632658849621317,0.09440855532408678,0.15021472919403508
353,,isobaric,0.0,0,,,,,,direction,2,0.0,,10,353,37.81203490173512,0.4123045733909897,48.88526614318759,32.17924495843671,43.993447184942,1.0,353,0.10175072812187817,706,0.12362494641037505,0.770260934219372,0.17440467522033548,0.12362494641037503,0.10081271261307005,0.1548047562427866
808,,isothermal,0.0,808,25.6468546230267,0.5483209149657133,65.94267281785297,43.55764183966967,91.77978568612434,direction,2,0.0,,19,0,,,,,,1.0,808,0.08715017423510803,1668,0.08327000659926509,0.8565484660212461,0.13441573410061497,0.0841049593771879,0.08262090041301554,0.13961685390284484
1109,2,,0.0,756,27.031758527799433,0.5451259508626803,68.1523562133069,45.6712618047056,94.28281100080957,cardinality,2,0.0,,26,353,37.81203490173512,0.4123045733909897,48.88526614318759,32.17924495843671,43.993447184942,1.0,1109,0.09891310768220948,2218,0.09794017728186806,0.82396484107194,0.15149215247784478,0.09816042750865851,0.09583495193859416,0.1525047351306908
52,3,,0.0,52,5.512482469023142,0.8863930948869505,6.370247041406445,5.512482469023142,6.370247041406445,cardinality,2,0.0,,1,0,,,,,,1.0,52,0.05732224334689478,156,0.05732224334689478,0.9323169003652831,0.06738324150165985,0.05732224334689479,0.05732224334689478,0.06738324150165985
353,2,isobaric,0.0,0,,,,,,direction_cardinality,2,0.0,,10,353,37.81203490173512,0.4123045733909897,48.88526614318759,32.17924495843671,43.993447184942,1.0,353,0.10175072812187817,706,0.12362494641037505,0.770260934219372,0.17440467522033548,0.12362494641037503,0.10081271261307005,0.1548047562427866
756,2,isothermal,0.0,756,27.031758527799433,0.5451259508626803,68.1523562133069,45.6712618047056,94.28281100080957,direction_cardinality,2,0.0,,18,0,,,,,,1.0,756,0.08628932729121577,1512,0.08594715677609693,0.8496169917063159,0.13951072197233982,0.08594715677609693,0.08402638136113336,0.14256069871882
52,3,isothermal,0.0,52,5.512482469023142,0.8863930948869505,6.370247041406445,5.512482469023142,6.370247041406445,direction_cardinality,2,0.0,,1,0,,,,,,1.0,52,0.05732224334689478,156,0.05732224334689478,0.9323169003652831,0.06738324150165985,0.05732224334689479,0.05732224334689478,0.06738324150165985
1161,,,0.0,808,25.6468546230267,0.5483209149657133,65.94267281785297,43.55764183966967,91.77978568612434,unseen_subset,2,0.0,at_least_one_component_unseen,27,353,37.81203490173512,0.4123045733909897,48.88526614318759,32.17924495843671,43.993447184942,1.0,1161,0.09949417936933676,2374,0.0952710965346668,0.8300457194371329,0.14744544044071564,0.09632658849621317,0.09440855532408678,0.15021472919403508
316,,,0.0,189,35.95149754963012,-0.06270251989669262,89.40658995117104,44.25416870812165,100.3243973406558,unseen_subset,2,0.0,strict_all_components_unseen,8,127,64.74093574103406,-1.925166996228549,66.92153714863738,65.95267301884401,68.20422880165594,1.0,316,0.06894927995979393,684,0.05829483873849975,0.935573707827059,0.08772128142194503,0.058374862409960905,0.061289191971308374,0.09289967657606425
1161,,,0.0,808,19.797814269738282,0.7152074054299158,52.361960864233666,36.13056486872841,80.6842339754526,all,3,0.0,,27,353,36.867480652028355,0.43535124326583363,47.91715410142654,31.384386055329394,43.03970108614705,1.0,1161,0.0979464150054389,2374,0.09878488504590115,0.8153665244289726,0.15368111963079858,0.09986320132637957,0.09363635085741974,0.15235479020158915
353,,isobaric,0.0,0,,,,,,direction,3,0.0,,10,353,36.867480652028355,0.43535124326583363,47.91715410142654,31.384386055329394,43.03970108614705,1.0,353,0.09981231412605307,706,0.12056682073577817,0.7696970220986464,0.1746185888459024,0.12056682073577815,0.0982325046067734,0.15319249679870517
808,,isothermal,0.0,808,19.797814269738282,0.7152074054299158,52.361960864233666,36.13056486872841,80.6842339754526,direction,3,0.0,,19,0,,,,,,1.0,808,0.08768234099481144,1668,0.08956543264958629,0.835580488466823,0.1439044376650695,0.09055160324581436,0.0840739938511319,0.14401683397262688
1109,2,,0.0,756,20.866932670414716,0.7132111778111072,54.11484327334551,37.901458610244305,82.88568744372559,cardinality,3,0.0,,26,353,36.867480652028355,0.43535124326583363,47.91715410142654,31.384386055329394,43.03970108614705,1.0,1109,0.09739032503017103,2218,0.1015888479062883,0.8088493844981761,0.15786224631720056,0.10178827877185678,0.09497166108694037,0.15462435405423797
52,3,,0.0,52,4.254477521442445,0.9207794679376701,5.319524185919032,4.254477521442445,5.319524185919032,cardinality,3,0.0,,1,0,,,,,,1.0,52,0.05891828488988372,156,0.05891828488988372,0.92401317743769,0.07139715747176448,0.05891828488988372,0.05891828488988372,0.07139715747176448
353,2,isobaric,0.0,0,,,,,,direction_cardinality,3,0.0,,10,353,36.867480652028355,0.43535124326583363,47.91715410142654,31.384386055329394,43.03970108614705,1.0,353,0.09981231412605307,706,0.12056682073577817,0.7696970220986464,0.1746185888459024,0.12056682073577815,0.0982325046067734,0.15319249679870517
756,2,isothermal,0.0,756,20.866932670414716,0.7132111778111072,54.11484327334551,37.901458610244305,82.88568744372559,direction_cardinality,3,0.0,,18,0,,,,,,1.0,756,0.08685850399441461,1512,0.09272743995812706,0.827550859992717,0.1493959136184592,0.09272743995812704,0.08547153323786792,0.14700313050095157
52,3,isothermal,0.0,52,4.254477521442445,0.9207794679376701,5.319524185919032,4.254477521442445,5.319524185919032,direction_cardinality,3,0.0,,1,0,,,,,,1.0,52,0.05891828488988372,156,0.05891828488988372,0.92401317743769,0.07139715747176448,0.05891828488988372,0.05891828488988372,0.07139715747176448
1161,,,0.0,808,19.797814269738282,0.7152074054299158,52.361960864233666,36.13056486872841,80.6842339754526,unseen_subset,3,0.0,at_least_one_component_unseen,27,353,36.867480652028355,0.43535124326583363,47.91715410142654,31.384386055329394,43.03970108614705,1.0,1161,0.0979464150054389,2374,0.09878488504590115,0.8153665244289726,0.15368111963079858,0.09986320132637957,0.09363635085741974,0.15235479020158915
316,,,0.0,189,11.69328168997961,0.9244708673495392,23.83531656623489,13.811992803576425,26.653711827106182,unseen_subset,3,0.0,strict_all_components_unseen,8,127,66.2595699664739,-1.9506456914719292,67.21235416281796,67.00027361414824,67.98497648778647,1.0,316,0.06854191041547744,684,0.059639080575580185,0.9363239756919661,0.08720901237348376,0.05969838654971977,0.06109827049834245,0.09072756742040161
1161,,,0.0,808,30.068309708283596,0.5876608357407762,63.00555606212273,46.68302464227233,90.8934152019198,all,4,0.0,,27,353,35.96018122081377,0.4603774281181423,46.84323524401266,30.783481044665148,41.89027608901292,1.0,1161,0.10700530344065977,2374,0.10889579363589509,0.7948776598191338,0.1619838715236215,0.10992012529845537,0.1040119601525892,0.1587307830125006
353,,isobaric,0.0,0,,,,,,direction,4,0.0,,10,353,35.96018122081377,0.4603774281181423,46.84323524401266,30.783481044665148,41.89027608901292,1.0,353,0.10408770590359487,706,0.12211347764944601,0.7942574426283922,0.16504514908635948,0.12211347764944601,0.10096437035073139,0.14609107920271744
808,,isothermal,0.0,808,30.068309708283596,0.5876608357407762,63.00555606212273,46.68302464227233,90.8934152019198,direction,4,0.0,,19,0,,,,,,1.0,808,0.09787840814119436,1668,0.10330125831601085,0.7950359368364193,0.16067058347835303,0.10430917811581489,0.09733414808542612,0.15727025693488508
1109,2,,0.0,756,31.848253659025268,0.5846520525026153,65.12403921487955,49.043711397964756,93.37715375310022,cardinality,4,0.0,,26,353,35.96018122081377,0.4603774281181423,46.84323524401266,30.783481044665148,41.89027608901292,1.0,1109,0.10637699096130313,2218,0.11149234129114846,0.7883421441686936,0.16611453089456907,0.11170401271217185,0.10524402738038906,0.1609237446451613
52,3,,0.0,52,4.190663039808586,0.9345614918614215,4.834711962560897,4.190663039808586,4.834711962560897,cardinality,4,0.0,,1,0,,,,,,1.0,52,0.07197821222979289,156,0.07197821222979289,0.8961057102505626,0.08348483987775165,0.07197821222979288,0.07197821222979289,0.08348483987775165
353,2,isobaric,0.0,0,,,,,,direction_cardinality,4,0.0,,10,353,35.96018122081377,0.4603774281181423,46.84323524401266,30.783481044665148,41.89027608901292,1.0,353,0.10408770590359487,706,0.12211347764944601,0.7942574426283922,0.16504514908635948,0.12211347764944601,0.10096437035073139,0.14609107920271744
756,2,isothermal,0.0,756,31.848253659025268,0.5846520525026153,65.12403921487955,49.043711397964756,93.37715375310022,direction_cardinality,4,0.0,,18,0,,,,,,1.0,756,0.0969475748384438,1512,0.1065330011661762,0.7855166490412713,0.1666115079816242,0.1065330011661762,0.09874281118851685,0.16037716346882586
52,3,isothermal,0.0,52,4.190663039808586,0.9345614918614215,4.834711962560897,4.190663039808586,4.834711962560897,direction_cardinality,4,0.0,,1,0,,,,,,1.0,52,0.07197821222979289,156,0.07197821222979289,0.8961057102505626,0.08348483987775165,0.07197821222979288,0.07197821222979289,0.08348483987775165
1161,,,0.0,808,30.068309708283596,0.5876608357407762,63.00555606212273,46.68302464227233,90.8934152019198,unseen_subset,4,0.0,at_least_one_component_unseen,27,353,35.96018122081377,0.4603774281181423,46.84323524401266,30.783481044665148,41.89027608901292,1.0,1161,0.10700530344065977,2374,0.10889579363589509,0.7948776598191338,0.1619838715236215,0.10992012529845537,0.1040119601525892,0.1587307830125006
316,,,0.0,189,20.027085536200588,0.7756988651358264,41.07517392789032,23.72873211445808,45.9192235771117,unseen_subset,4,0.0,strict_all_components_unseen,8,127,59.13753762072463,-1.4919958043397044,61.76809805907375,60.33613419773735,63.00470845763928,1.0,316,0.08894284370584765,684,0.076247215050875,0.9120344023433226,0.10250140707280156,0.0765984621184324,0.0793884215627255,0.10798690056526807
