attempted_samples_available_seeds,attempted_samples_mean,attempted_samples_seed_ids,attempted_samples_std,component_count,direction,nonphysical_rate_available_seeds,nonphysical_rate_mean,nonphysical_rate_seed_ids,nonphysical_rate_std,pressure_count_available_seeds,pressure_count_mean,pressure_count_seed_ids,pressure_count_std,pressure_mae_kpa_available_seeds,pressure_mae_kpa_mean,pressure_mae_kpa_seed_ids,pressure_mae_kpa_std,pressure_r2_available_seeds,pressure_r2_mean,pressure_r2_seed_ids,pressure_r2_std,pressure_rmse_kpa_available_seeds,pressure_rmse_kpa_mean,pressure_rmse_kpa_seed_ids,pressure_rmse_kpa_std,pressure_system_macro_mae_kpa_available_seeds,pressure_system_macro_mae_kpa_mean,pressure_system_macro_mae_kpa_seed_ids,pressure_system_macro_mae_kpa_std,pressure_system_macro_rmse_kpa_available_seeds,pressure_system_macro_rmse_kpa_mean,pressure_system_macro_rmse_kpa_seed_ids,pressure_system_macro_rmse_kpa_std,scope,scope_available_seeds,scope_seed_ids,seeds,solver_failure_rate_available_seeds,solver_failure_rate_mean,solver_failure_rate_seed_ids,solver_failure_rate_std,subgroup,systems_available_seeds,systems_mean,systems_seed_ids,systems_std,temperature_count_available_seeds,temperature_count_mean,temperature_count_seed_ids,temperature_count_std,temperature_mae_k_available_seeds,temperature_mae_k_mean,temperature_mae_k_seed_ids,temperature_mae_k_std,temperature_r2_available_seeds,temperature_r2_mean,temperature_r2_seed_ids,temperature_r2_std,temperature_rmse_k_available_seeds,temperature_rmse_k_mean,temperature_rmse_k_seed_ids,temperature_rmse_k_std,temperature_system_macro_mae_k_available_seeds,temperature_system_macro_mae_k_mean,temperature_system_macro_mae_k_seed_ids,temperature_system_macro_mae_k_std,temperature_system_macro_rmse_k_available_seeds,temperature_system_macro_rmse_k_mean,temperature_system_macro_rmse_k_seed_ids,temperature_system_macro_rmse_k_std,valid_coverage_available_seeds,valid_coverage_mean,valid_coverage_seed_ids,valid_coverage_std,valid_samples_available_seeds,valid_samples_mean,valid_samples_seed_ids,valid_samples_std,y_component_macro_mae_available_seeds,y_component_macro_mae_mean,y_component_macro_mae_seed_ids,y_component_macro_mae_std,y_component_values_available_seeds,y_component_values_mean,y_component_values_seed_ids,y_component_values_std,y_mae_available_seeds,y_mae_mean,y_mae_seed_ids,y_mae_std,y_r2_available_seeds,y_r2_mean,y_r2_seed_ids,y_r2_std,y_rmse_available_seeds,y_rmse_mean,y_rmse_seed_ids,y_rmse_std,y_sample_macro_mae_available_seeds,y_sample_macro_mae_mean,y_sample_macro_mae_seed_ids,y_sample_macro_mae_std,y_system_macro_mae_available_seeds,y_system_macro_mae_mean,y_system_macro_mae_seed_ids,y_system_macro_mae_std,y_system_macro_rmse_available_seeds,y_system_macro_rmse_mean,y_system_macro_rmse_seed_ids,y_system_macro_rmse_std
5,1161.0,0;1;2;3;4,0.0,,,5,0.0,0;1;2;3;4,0.0,5,808.0,0;1;2;3;4,0.0,5,28.905538169777664,0;1;2;3;4,7.144040984760183,5,0.5752558811715367,0;1;2;3;4,0.11661572148441765,5,63.47262871664744,0;1;2;3;4,8.685572397976113,5,43.74283221907652,0;1;2;3;4,5.257701987622454,5,87.66498196364451,0;1;2;3;4,6.02389355845695,all,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,27.0,0;1;2;3;4,0.0,5,353.0,0;1;2;3;4,0.0,5,36.333378439408854,0;1;2;3;4,1.546057003842476,5,0.45724812025533657,0;1;2;3;4,0.04547091381647164,5,46.944547348318984,0;1;2;3;4,2.0071718877506837,5,30.88606460830392,0;1;2;3;4,1.2898197668083975,5,42.08108678971434,0;1;2;3;4,1.808544970310544,5,1.0,0;1;2;3;4,0.0,5,1161.0,0;1;2;3;4,0.0,5,0.10429994289547788,0;1;2;3;4,0.006698599526513514,5,2374.0,0;1;2;3;4,0.0,5,0.10657910822651992,0;1;2;3;4,0.010270895492985864,5,0.7900228102097122,0;1;2;3;4,0.038279624231858954,5,0.1633636545681289,0;1;2;3;4,0.014667656456454048,5,0.10775573832934274,0;1;2;3;4,0.010323916125021995,5,0.10014713043634041,0;1;2;3;4,0.0073197459074633014,5,0.15876524334332345,0;1;2;3;4,0.009515027199490092
5,1109.0,0;1;2;3;4,0.0,2,,5,0.0,0;1;2;3;4,0.0,5,756.0,0;1;2;3;4,0.0,5,30.589871897888866,0;1;2;3;4,7.64175255223609,5,0.5721851998596607,0;1;2;3;4,0.11749533760161865,5,65.60431169113536,0;1;2;3;4,8.980150446441817,5,45.92754972870859,0;1;2;3;4,5.545284952575179,5,90.05850506621627,0;1;2;3;4,6.188333423144822,cardinality,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,26.0,0;1;2;3;4,0.0,5,353.0,0;1;2;3;4,0.0,5,36.333378439408854,0;1;2;3;4,1.546057003842476,5,0.45724812025533657,0;1;2;3;4,0.04547091381647164,5,46.944547348318984,0;1;2;3;4,2.0071718877506837,5,30.88606460830392,0;1;2;3;4,1.2898197668083975,5,42.08108678971434,0;1;2;3;4,1.808544970310544,5,1.0,0;1;2;3;4,0.0,5,1109.0,0;1;2;3;4,0.0,5,0.10367655490141632,0;1;2;3;4,0.0065295106824897736,5,2218.0,0;1;2;3;4,0.0,5,0.10960604844087403,0;1;2;3;4,0.010383189655355543,5,0.7826656866527331,0;1;2;3;4,0.03929082998240088,5,0.16779463703552228,0;1;2;3;4,0.014960045089743653,5,0.10983449290784719,0;1;2;3;4,0.01040677471437761,5,0.10155501131902518,0;1;2;3;4,0.00716677091104677,5,0.16109603046000465,0;1;2;3;4,0.009506504201505952
5,52.0,0;1;2;3;4,0.0,3,,5,0.0,0;1;2;3;4,0.0,5,52.0,0;1;2;3;4,0.0,5,4.417917045699349,0;1;2;3;4,0.6747904163553666,5,0.9206985195303062,0;1;2;3;4,0.022247866848695064,5,5.281813162991904,0;1;2;3;4,0.7320363765613634,5,4.417917045699349,0;1;2;3;4,0.6747904163553666,5,5.281813162991904,0;1;2;3;4,0.7320363765613634,cardinality,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,1.0,0;1;2;3;4,0.0,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,5,1.0,0;1;2;3;4,0.0,5,52.0,0;1;2;3;4,0.0,5,0.06354222748653629,0;1;2;3;4,0.013306803900192949,5,156.0,0;1;2;3;4,0.0,5,0.06354222748653629,0;1;2;3;4,0.013306803900192945,5,0.9120744340480005,0;1;2;3;4,0.03750407457967022,5,0.07544465086497865,0;1;2;3;4,0.016068832833697613,5,0.06354222748653629,0;1;2;3;4,0.01330680390019294,5,0.06354222748653629,0;1;2;3;4,0.013306803900192945,5,0.07544465086497865,0;1;2;3;4,0.016068832833697613
5,353.0,0;1;2;3;4,0.0,,isobaric,5,0.0,0;1;2;3;4,0.0,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,direction,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,10.0,0;1;2;3;4,0.0,5,353.0,0;1;2;3;4,0.0,5,36.333378439408854,0;1;2;3;4,1.546057003842476,5,0.45724812025533657,0;1;2;3;4,0.04547091381647164,5,46.944547348318984,0;1;2;3;4,2.0071718877506837,5,30.88606460830392,0;1;2;3;4,1.2898197668083975,5,42.08108678971434,0;1;2;3;4,1.808544970310544,5,1.0,0;1;2;3;4,0.0,5,353.0,0;1;2;3;4,0.0,5,0.099818287554766,0;1;2;3;4,0.0035075998290503146,5,706.0,0;1;2;3;4,0.0,5,0.11933568071967993,0;1;2;3;4,0.004258472155744927,5,0.7854645387795133,0;1;2;3;4,0.0155766868710568,5,0.1684456924401901,0;1;2;3;4,0.006135219941016102,5,0.11933568071967993,0;1;2;3;4,0.004258472155744919,5,0.09801175170087058,0;1;2;3;4,0.003108504576860251,5,0.14919110474446798,0;1;2;3;4,0.004786580933431865
5,808.0,0;1;2;3;4,0.0,,isothermal,5,0.0,0;1;2;3;4,0.0,5,808.0,0;1;2;3;4,0.0,5,28.905538169777664,0;1;2;3;4,7.144040984760183,5,0.5752558811715367,0;1;2;3;4,0.11661572148441765,5,63.47262871664744,0;1;2;3;4,8.685572397976113,5,43.74283221907652,0;1;2;3;4,5.257701987622454,5,87.66498196364451,0;1;2;3;4,6.02389355845695,direction,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,19.0,0;1;2;3;4,0.0,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,5,1.0,0;1;2;3;4,0.0,5,808.0,0;1;2;3;4,0.0,5,0.09604566793639993,0;1;2;3;4,0.009864354238176897,5,1668.0,0;1;2;3;4,0.0,5,0.10117974361011046,0;1;2;3;4,0.015632622438372032,5,0.7919304739565739,0;1;2;3;4,0.05942135566467531,5,0.16058298315912176,0;1;2;3;4,0.022893015473235506,5,0.10239085180220567,0;1;2;3;4,0.015881288416460564,5,0.09295852394680651,0;1;2;3;4,0.01076526619643531,5,0.15527738786296744,0;1;2;3;4,0.015031201015313158
5,353.0,0;1;2;3;4,0.0,2,isobaric,5,0.0,0;1;2;3;4,0.0,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,direction_cardinality,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,10.0,0;1;2;3;4,0.0,5,353.0,0;1;2;3;4,0.0,5,36.333378439408854,0;1;2;3;4,1.546057003842476,5,0.45724812025533657,0;1;2;3;4,0.04547091381647164,5,46.944547348318984,0;1;2;3;4,2.0071718877506837,5,30.88606460830392,0;1;2;3;4,1.2898197668083975,5,42.08108678971434,0;1;2;3;4,1.808544970310544,5,1.0,0;1;2;3;4,0.0,5,353.0,0;1;2;3;4,0.0,5,0.099818287554766,0;1;2;3;4,0.0035075998290503146,5,706.0,0;1;2;3;4,0.0,5,0.11933568071967993,0;1;2;3;4,0.004258472155744927,5,0.7854645387795133,0;1;2;3;4,0.0155766868710568,5,0.1684456924401901,0;1;2;3;4,0.006135219941016102,5,0.11933568071967993,0;1;2;3;4,0.004258472155744919,5,0.09801175170087058,0;1;2;3;4,0.003108504576860251,5,0.14919110474446798,0;1;2;3;4,0.004786580933431865
5,756.0,0;1;2;3;4,0.0,2,isothermal,5,0.0,0;1;2;3;4,0.0,5,756.0,0;1;2;3;4,0.0,5,30.589871897888866,0;1;2;3;4,7.64175255223609,5,0.5721851998596607,0;1;2;3;4,0.11749533760161865,5,65.60431169113536,0;1;2;3;4,8.980150446441817,5,45.92754972870859,0;1;2;3;4,5.545284952575179,5,90.05850506621627,0;1;2;3;4,6.188333423144822,direction_cardinality,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,18.0,0;1;2;3;4,0.0,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,5,1.0,0;1;2;3;4,0.0,5,756.0,0;1;2;3;4,0.0,5,0.09512213016741985,0;1;2;3;4,0.009634897219583528,5,1512.0,0;1;2;3;4,0.0,5,0.10506297940063795,0;1;2;3;4,0.016454660306710108,5,0.7813287899432142,0;1;2;3;4,0.06254858533485702,5,0.16686991883137778,0;1;2;3;4,0.023870385325107896,5,0.10506297940063795,0;1;2;3;4,0.016454660306710122,5,0.09459276263904373,0;1;2;3;4,0.010789658024646216,5,0.1585181173632538,0;1;2;3;4,0.015234678258330739
5,52.0,0;1;2;3;4,0.0,3,isothermal,5,0.0,0;1;2;3;4,0.0,5,52.0,0;1;2;3;4,0.0,5,4.417917045699349,0;1;2;3;4,0.6747904163553666,5,0.9206985195303062,0;1;2;3;4,0.022247866848695064,5,5.281813162991904,0;1;2;3;4,0.7320363765613634,5,4.417917045699349,0;1;2;3;4,0.6747904163553666,5,5.281813162991904,0;1;2;3;4,0.7320363765613634,direction_cardinality,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,1.0,0;1;2;3;4,0.0,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,5,1.0,0;1;2;3;4,0.0,5,52.0,0;1;2;3;4,0.0,5,0.06354222748653629,0;1;2;3;4,0.013306803900192949,5,156.0,0;1;2;3;4,0.0,5,0.06354222748653629,0;1;2;3;4,0.013306803900192945,5,0.9120744340480005,0;1;2;3;4,0.03750407457967022,5,0.07544465086497865,0;1;2;3;4,0.016068832833697613,5,0.06354222748653629,0;1;2;3;4,0.01330680390019294,5,0.06354222748653629,0;1;2;3;4,0.013306803900192945,5,0.07544465086497865,0;1;2;3;4,0.016068832833697613
5,1161.0,0;1;2;3;4,0.0,,,5,0.0,0;1;2;3;4,0.0,5,808.0,0;1;2;3;4,0.0,5,28.905538169777664,0;1;2;3;4,7.144040984760183,5,0.5752558811715367,0;1;2;3;4,0.11661572148441765,5,63.47262871664744,0;1;2;3;4,8.685572397976113,5,43.74283221907652,0;1;2;3;4,5.257701987622454,5,87.66498196364451,0;1;2;3;4,6.02389355845695,unseen_subset,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,at_least_one_component_unseen,5,27.0,0;1;2;3;4,0.0,5,353.0,0;1;2;3;4,0.0,5,36.333378439408854,0;1;2;3;4,1.546057003842476,5,0.45724812025533657,0;1;2;3;4,0.04547091381647164,5,46.944547348318984,0;1;2;3;4,2.0071718877506837,5,30.88606460830392,0;1;2;3;4,1.2898197668083975,5,42.08108678971434,0;1;2;3;4,1.808544970310544,5,1.0,0;1;2;3;4,0.0,5,1161.0,0;1;2;3;4,0.0,5,0.10429994289547788,0;1;2;3;4,0.006698599526513514,5,2374.0,0;1;2;3;4,0.0,5,0.10657910822651992,0;1;2;3;4,0.010270895492985864,5,0.7900228102097122,0;1;2;3;4,0.038279624231858954,5,0.1633636545681289,0;1;2;3;4,0.014667656456454048,5,0.10775573832934274,0;1;2;3;4,0.010323916125021995,5,0.10014713043634041,0;1;2;3;4,0.0073197459074633014,5,0.15876524334332345,0;1;2;3;4,0.009515027199490092
5,316.0,0;1;2;3;4,0.0,,,5,0.0,0;1;2;3;4,0.0,5,189.0,0;1;2;3;4,0.0,5,21.1864706365297,0;1;2;3;4,8.951045344578425,5,0.6341044153303981,0;1;2;3;4,0.39573978633870893,5,47.597716576951036,0;1;2;3;4,24.664906273398493,5,25.535865369930004,0;1;2;3;4,11.271177237116959,5,53.31969672551732,0;1;2;3;4,27.720878115117163,unseen_subset,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,strict_all_components_unseen,5,8.0,0;1;2;3;4,0.0,5,127.0,0;1;2;3;4,0.0,5,61.0934105003537,0;1;2;3;4,4.43329694301552,5,-1.6118083019714793,0;1;2;3;4,0.323578858959918,5,63.13744446715187,0;1;2;3;4,3.936447533420436,5,62.17998639100968,0;1;2;3;4,4.30665759925838,5,64.27620350558043,0;1;2;3;4,3.8228881149655396,5,1.0,0;1;2;3;4,0.0,5,316.0,0;1;2;3;4,0.0,5,0.07612451619539182,0;1;2;3;4,0.009580665229328485,5,684.0,0;1;2;3;4,0.0,5,0.06483612470905672,0;1;2;3;4,0.00902845884182006,5,0.9270626800148809,0;1;2;3;4,0.01582106456275142,5,0.09290386403789061,0;1;2;3;4,0.010027799187681574,5,0.06494258460711219,0;1;2;3;4,0.008804382208971832,5,0.06800956949300284,0;1;2;3;4,0.009398615493592445,5,0.09825708314484012,0;1;2;3;4,0.01036167327373451
