attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
166,,,0.0,105,1.3504577792559218,0.9921873794156052,1.861360301626161,1.7181754856642657,2.43467666661812,all,0,0.0,,4,61,3.10216344614498,0.986359953887508,3.933065316641282,4.0436309617311075,4.832049781582717,1.0,166,0.042931761599216085,498,0.04129243822777157,0.8847828093567786,0.08290683954057448,0.041292438227771566,0.04889181842668505,0.08717308534120977
61,,isobaric,0.0,0,,,,,,direction,0,0.0,,2,61,3.10216344614498,0.986359953887508,3.933065316641282,4.0436309617311075,4.832049781582717,1.0,61,0.08711137156437948,183,0.09975642558396106,0.6229006116751106,0.1360673249689676,0.09975642558396106,0.08711137156437947,0.12237063157837867
105,,isothermal,0.0,105,1.3504577792559218,0.9921873794156052,1.861360301626161,1.7181754856642657,2.43467666661812,direction,0,0.0,,2,0,,,,,,1.0,105,0.010672265288990642,315,0.007327645573223394,0.9983157758110672,0.010526600634239694,0.007327645573223394,0.010672265288990642,0.014957344113190508
166,3,,0.0,105,1.3504577792559218,0.9921873794156052,1.861360301626161,1.7181754856642657,2.43467666661812,cardinality,0,0.0,,4,61,3.10216344614498,0.986359953887508,3.933065316641282,4.0436309617311075,4.832049781582717,1.0,166,0.042931761599216085,498,0.04129243822777157,0.8847828093567786,0.08290683954057448,0.041292438227771566,0.04889181842668505,0.08717308534120977
61,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,2,61,3.10216344614498,0.986359953887508,3.933065316641282,4.0436309617311075,4.832049781582717,1.0,61,0.08711137156437948,183,0.09975642558396106,0.6229006116751106,0.1360673249689676,0.09975642558396106,0.08711137156437947,0.12237063157837867
105,3,isothermal,0.0,105,1.3504577792559218,0.9921873794156052,1.861360301626161,1.7181754856642657,2.43467666661812,direction_cardinality,0,0.0,,2,0,,,,,,1.0,105,0.010672265288990642,315,0.007327645573223394,0.9983157758110672,0.010526600634239694,0.007327645573223394,0.010672265288990642,0.014957344113190508
43,,,0.0,0,,,,,,binary_subsystem_coverage,0,0.0,0/3,1,43,1.7464502237009563,0.8161301741860987,2.030327920135001,1.7464502237009563,2.030327920135001,1.0,43,0.11796530337215856,129,0.11796530337215855,0.4322164493679619,0.1536605036244203,0.11796530337215855,0.11796530337215855,0.1536605036244203
21,,,0.0,21,2.3310383296781714,0.9650122712331589,3.1674328672416827,2.3310383296781714,3.1674328672416827,binary_subsystem_coverage,0,0.0,1/3,1,0,,,,,,1.0,21,0.016246631481936055,63,0.016246631481936055,0.996523999007221,0.020295570442827177,0.01624663148193605,0.016246631481936055,0.020295570442827177
18,,,0.0,0,,,,,,binary_subsystem_coverage,0,0.0,2/3,1,18,6.340811699761259,0.7357294587154076,6.524965802217468,6.340811699761259,6.524965802217468,1.0,18,0.05625743975660039,54,0.05625743975660039,0.905465515044501,0.07960899805720516,0.056257439756600386,0.05625743975660039,0.07960899805720516
84,,,0.0,84,1.1053126416503598,0.9948949394146862,1.350062951668023,1.1053126416503598,1.350062951668023,binary_subsystem_coverage,0,0.0,3/3,1,0,,,,,,1.0,84,0.005097899096045229,252,0.005097899096045229,0.9993246435244435,0.005961049088963233,0.005097899096045229,0.005097899096045229,0.005961049088963233
166,,,0.0,66,1.5123715876511676,0.9732786475357206,1.7445902730208633,1.5123715876511676,1.7445902730208633,all,1,0.0,,4,100,2.8415915893554673,0.971826465239558,4.039565967261851,2.779816312568133,3.917964684489779,1.0,166,0.05447692741758104,498,0.053350793643343636,0.854094615975225,0.08939083721717327,0.05335079364334363,0.05447692741758104,0.0896529017930042
100,,isobaric,0.0,0,,,,,,direction,1,0.0,,3,100,2.8415915893554673,0.971826465239558,4.039565967261851,2.779816312568133,3.917964684489779,1.0,100,0.0678545524014121,300,0.07909524282033245,0.816224469055459,0.11431108469697579,0.07909524282033245,0.0678545524014121,0.10303917790798685
66,,isothermal,0.0,66,1.5123715876511676,0.9732786475357206,1.7445902730208633,1.5123715876511676,1.7445902730208633,direction,1,0.0,,1,0,,,,,,1.0,66,0.014344052466087871,198,0.014344052466087871,0.990026121520108,0.017301868331568247,0.01434405246608787,0.014344052466087871,0.017301868331568247
166,3,,0.0,66,1.5123715876511676,0.9732786475357206,1.7445902730208633,1.5123715876511676,1.7445902730208633,cardinality,1,0.0,,4,100,2.8415915893554673,0.971826465239558,4.039565967261851,2.779816312568133,3.917964684489779,1.0,166,0.05447692741758104,498,0.053350793643343636,0.854094615975225,0.08939083721717327,0.05335079364334363,0.05447692741758104,0.0896529017930042
100,3,isobaric,0.0,0,,,,,,direction_cardinality,1,0.0,,3,100,2.8415915893554673,0.971826465239558,4.039565967261851,2.779816312568133,3.917964684489779,1.0,100,0.0678545524014121,300,0.07909524282033245,0.816224469055459,0.11431108469697579,0.07909524282033245,0.0678545524014121,0.10303917790798685
66,3,isothermal,0.0,66,1.5123715876511676,0.9732786475357206,1.7445902730208633,1.5123715876511676,1.7445902730208633,direction_cardinality,1,0.0,,1,0,,,,,,1.0,66,0.014344052466087871,198,0.014344052466087871,0.990026121520108,0.017301868331568247,0.01434405246608787,0.014344052466087871,0.017301868331568247
43,,,0.0,0,,,,,,binary_subsystem_coverage,1,0.0,0/3,1,43,1.046958092977841,0.9203857862530828,1.3359993898146303,1.046958092977841,1.3359993898146303,1.0,43,0.12030279857312987,129,0.12030279857312985,0.42743048183041776,0.15430676304694124,0.12030279857312985,0.12030279857312985,0.15430676304694124
21,,,0.0,0,,,,,,binary_subsystem_coverage,1,0.0,1/3,1,21,1.559313964843771,0.8798668052552275,1.6027735386564712,1.559313964843771,1.6027735386564712,1.0,21,0.017392464488744735,63,0.017392464488744735,0.995760307297564,0.021000678181530875,0.017392464488744735,0.017392464488744735,0.021000678181530875
66,,,0.0,66,1.5123715876511676,0.9732786475357206,1.7445902730208633,1.5123715876511676,1.7445902730208633,binary_subsystem_coverage,1,0.0,2/3,1,0,,,,,,1.0,66,0.014344052466087871,198,0.014344052466087871,0.990026121520108,0.017301868331568247,0.01434405246608787,0.014344052466087871,0.017301868331568247
36,,,0.0,0,,,,,,binary_subsystem_coverage,1,0.0,3/3,1,36,5.733176879882787,-0.6959600212180188,6.457365129905915,5.733176879882787,6.457365129905915,1.0,36,0.06586839414236172,108,0.0658683941423617,0.9128052959525164,0.08717574746311156,0.0658683941423617,0.0658683941423617,0.08717574746311156
166,,,0.0,87,2.6431457724269856,0.9593773487788093,2.9385869726826095,2.4306839046581317,2.8724776461385386,all,2,0.0,,4,79,3.4021668716623745,0.9705655629862561,4.499877083516189,3.57454668385113,4.673147627706865,1.0,166,0.052105368448277734,498,0.050395907973758425,0.8635028722603528,0.08789458304069425,0.050395907973758425,0.052105368448277734,0.08820768963868157
79,,isobaric,0.0,0,,,,,,direction,2,0.0,,2,79,3.4021668716623745,0.9705655629862561,4.499877083516189,3.57454668385113,4.673147627706865,1.0,79,0.09133495832383022,237,0.09366887446376593,0.743351337114993,0.12650137146744037,0.09366887446376591,0.09133495832383023,0.1236300482742446
87,,isothermal,0.0,87,2.6431457724269856,0.9593773487788093,2.9385869726826095,2.4306839046581317,2.8724776461385386,direction,2,0.0,,2,0,,,,,,1.0,87,0.012875778572725247,261,0.011102064839153908,0.9959232426161712,0.014471859797814325,0.01110206483915391,0.012875778572725247,0.01663743329050165
166,3,,0.0,87,2.6431457724269856,0.9593773487788093,2.9385869726826095,2.4306839046581317,2.8724776461385386,cardinality,2,0.0,,4,79,3.4021668716623745,0.9705655629862561,4.499877083516189,3.57454668385113,4.673147627706865,1.0,166,0.052105368448277734,498,0.050395907973758425,0.8635028722603528,0.08789458304069425,0.050395907973758425,0.052105368448277734,0.08820768963868157
79,3,isobaric,0.0,0,,,,,,direction_cardinality,2,0.0,,2,79,3.4021668716623745,0.9705655629862561,4.499877083516189,3.57454668385113,4.673147627706865,1.0,79,0.09133495832383022,237,0.09366887446376593,0.743351337114993,0.12650137146744037,0.09366887446376591,0.09133495832383023,0.1236300482742446
87,3,isothermal,0.0,87,2.6431457724269856,0.9593773487788093,2.9385869726826095,2.4306839046581317,2.8724776461385386,direction_cardinality,2,0.0,,2,0,,,,,,1.0,87,0.012875778572725247,261,0.011102064839153908,0.9959232426161712,0.014471859797814325,0.01110206483915391,0.012875778572725247,0.01663743329050165
43,,,0.0,0,,,,,,binary_subsystem_coverage,2,0.0,0/3,1,43,1.6291173748637438,0.8260147901307185,1.975000092185646,1.6291173748637438,1.975000092185646,1.0,43,0.11767486904596174,129,0.11767486904596174,0.4375469061824697,0.15293750612367124,0.11767486904596172,0.11767486904596174,0.15293750612367124
21,,,0.0,21,2.0199242936383466,0.9738152301322789,2.740147391757214,2.0199242936383466,2.740147391757214,binary_subsystem_coverage,2,0.0,1/3,1,0,,,,,,1.0,21,0.016304958457629828,63,0.01630495845762983,0.9965649975015964,0.02017552502678932,0.01630495845762983,0.01630495845762983,0.02017552502678932
36,,,0.0,0,,,,,,binary_subsystem_coverage,2,0.0,2/3,1,36,5.519975992838517,-0.617804142872695,6.306821080112492,5.519975992838517,6.306821080112492,1.0,36,0.06499504760169873,108,0.06499504760169873,0.9176323900706064,0.08472837124161023,0.06499504760169873,0.06499504760169873,0.08472837124161023
66,,,0.0,66,2.8414435156779163,0.9210381923259076,2.998974479147386,2.8414435156779163,2.998974479147386,binary_subsystem_coverage,2,0.0,3/3,1,0,,,,,,1.0,66,0.009446598687820662,198,0.009446598687820662,0.9951170380698245,0.012106054802667255,0.009446598687820664,0.009446598687820662,0.012106054802667255
166,,,0.0,64,2.9600783478883206,0.9212832319149947,3.669148555776754,2.9600783478883206,3.669148555776754,all,3,0.0,,4,102,1.3914292040058183,0.99764342186916,1.5836430508639532,1.460630679292595,1.6456367509336431,1.0,166,0.045128041920929673,498,0.04455202845451105,0.8675331210781783,0.08185388302814725,0.04455202845451103,0.04512804192092969,0.08095462020232998
102,,isobaric,0.0,0,,,,,,direction,3,0.0,,3,102,1.3914292040058183,0.99764342186916,1.5836430508639532,1.460630679292595,1.6456367509336431,1.0,102,0.0558721312482355,306,0.06441477638580441,0.7606497904043328,0.10339828815088446,0.0644147763858044,0.0558721312482355,0.09287166020718016
64,,isothermal,0.0,64,2.9600783478883206,0.9212832319149947,3.669148555776754,2.9600783478883206,3.669148555776754,direction,3,0.0,,1,0,,,,,,1.0,64,0.012895773939012242,192,0.01289577393901224,0.9943472808880782,0.018416468703315043,0.012895773939012239,0.01289577393901224,0.018416468703315043
166,3,,0.0,64,2.9600783478883206,0.9212832319149947,3.669148555776754,2.9600783478883206,3.669148555776754,cardinality,3,0.0,,4,102,1.3914292040058183,0.99764342186916,1.5836430508639532,1.460630679292595,1.6456367509336431,1.0,166,0.045128041920929673,498,0.04455202845451105,0.8675331210781783,0.08185388302814725,0.04455202845451103,0.04512804192092969,0.08095462020232998
