attempted_samples_available_seeds,attempted_samples_mean,attempted_samples_seed_ids,attempted_samples_std,component_count,direction,nonphysical_rate_available_seeds,nonphysical_rate_mean,nonphysical_rate_seed_ids,nonphysical_rate_std,pressure_count_available_seeds,pressure_count_mean,pressure_count_seed_ids,pressure_count_std,pressure_mae_kpa_available_seeds,pressure_mae_kpa_mean,pressure_mae_kpa_seed_ids,pressure_mae_kpa_std,pressure_r2_available_seeds,pressure_r2_mean,pressure_r2_seed_ids,pressure_r2_std,pressure_rmse_kpa_available_seeds,pressure_rmse_kpa_mean,pressure_rmse_kpa_seed_ids,pressure_rmse_kpa_std,pressure_system_macro_mae_kpa_available_seeds,pressure_system_macro_mae_kpa_mean,pressure_system_macro_mae_kpa_seed_ids,pressure_system_macro_mae_kpa_std,pressure_system_macro_rmse_kpa_available_seeds,pressure_system_macro_rmse_kpa_mean,pressure_system_macro_rmse_kpa_seed_ids,pressure_system_macro_rmse_kpa_std,scope,scope_available_seeds,scope_seed_ids,seeds,solver_failure_rate_available_seeds,solver_failure_rate_mean,solver_failure_rate_seed_ids,solver_failure_rate_std,subgroup,systems_available_seeds,systems_mean,systems_seed_ids,systems_std,temperature_count_available_seeds,temperature_count_mean,temperature_count_seed_ids,temperature_count_std,temperature_mae_k_available_seeds,temperature_mae_k_mean,temperature_mae_k_seed_ids,temperature_mae_k_std,temperature_r2_available_seeds,temperature_r2_mean,temperature_r2_seed_ids,temperature_r2_std,temperature_rmse_k_available_seeds,temperature_rmse_k_mean,temperature_rmse_k_seed_ids,temperature_rmse_k_std,temperature_system_macro_mae_k_available_seeds,temperature_system_macro_mae_k_mean,temperature_system_macro_mae_k_seed_ids,temperature_system_macro_mae_k_std,temperature_system_macro_rmse_k_available_seeds,temperature_system_macro_rmse_k_mean,temperature_system_macro_rmse_k_seed_ids,temperature_system_macro_rmse_k_std,valid_coverage_available_seeds,valid_coverage_mean,valid_coverage_seed_ids,valid_coverage_std,valid_samples_available_seeds,valid_samples_mean,valid_samples_seed_ids,valid_samples_std,y_component_macro_mae_available_seeds,y_component_macro_mae_mean,y_component_macro_mae_seed_ids,y_component_macro_mae_std,y_component_values_available_seeds,y_component_values_mean,y_component_values_seed_ids,y_component_values_std,y_mae_available_seeds,y_mae_mean,y_mae_seed_ids,y_mae_std,y_r2_available_seeds,y_r2_mean,y_r2_seed_ids,y_r2_std,y_rmse_available_seeds,y_rmse_mean,y_rmse_seed_ids,y_rmse_std,y_sample_macro_mae_available_seeds,y_sample_macro_mae_mean,y_sample_macro_mae_seed_ids,y_sample_macro_mae_std,y_system_macro_mae_available_seeds,y_system_macro_mae_mean,y_system_macro_mae_seed_ids,y_system_macro_mae_std,y_system_macro_rmse_available_seeds,y_system_macro_rmse_mean,y_system_macro_rmse_seed_ids,y_system_macro_rmse_std
5,166.0,0;1;2;3;4,0.0,,,5,0.0,0;1;2;3;4,0.0,5,77.2,0;1;2;3;4,18.322117781522966,5,2.2205619657141833,0;1;2;3;4,0.7343865158046367,5,0.953816622896005,0;1;2;3;4,0.031196054731870763,5,2.7687255626296587,0;1;2;3;4,0.9291760497982579,5,2.2516131334420817,0;1;2;3;4,0.6150931593813249,5,2.8701669703192363,0;1;2;3;4,0.817344675513703,all,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,4.0,0;1;2;3;4,0.0,5,88.8,0;1;2;3;4,18.322117781522966,5,2.8788927506689292,0;1;2;3;4,0.8864579781332051,5,0.9817022631143939,0;1;2;3;4,0.011152838251452343,5,3.699853631966989,0;1;2;3;4,1.2083684203597367,5,3.141878770599086,0;1;2;3;4,1.056002908181674,5,3.9704015697223936,0;1;2;3;4,1.3513166429151884,5,1.0,0;1;2;3;4,0.0,5,166.0,0;1;2;3;4,0.0,5,0.053016543772725445,0;1;2;3;4,0.010845421476191617,5,498.0,0;1;2;3;4,0.0,5,0.05024794598050145,0;1;2;3;4,0.007941476382214726,5,0.8645626169118013,0;1;2;3;4,0.012888042970340846,5,0.08582980461468778,0;1;2;3;4,0.003275540489616782,5,0.05024794598050146,0;1;2;3;4,0.007941476382214737,5,0.05398370849863624,0;1;2;3;4,0.009262999098905452,5,0.08780632735270784,0;1;2;3;4,0.004425610534675238
5,43.0,0;1;2;3;4,0.0,,,5,0.0,0;1;2;3;4,0.0,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,binary_subsystem_coverage,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,0/3,5,1.0,0;1;2;3;4,0.0,5,43.0,0;1;2;3;4,0.0,5,2.0263067030795803,0;1;2;3;4,1.4194761698947755,5,0.6661630699097245,0;1;2;3;4,0.4543649864747719,5,2.363680991574624,0;1;2;3;4,1.5400487230631932,5,2.0263067030795803,0;1;2;3;4,1.4194761698947755,5,2.363680991574624,0;1;2;3;4,1.5400487230631932,5,1.0,0;1;2;3;4,0.0,5,43.0,0;1;2;3;4,0.0,5,0.11610758042102173,0;1;2;3;4,0.00767009195880258,5,129.0,0;1;2;3;4,0.0,5,0.11610758042102173,0;1;2;3;4,0.007670091958802575,5,0.4555145954433793,0;1;2;3;4,0.06118808039128469,5,0.15026889910649266,0;1;2;3;4,0.008799417134839706,5,0.11610758042102173,0;1;2;3;4,0.0076700919588025785,5,0.11610758042102173,0;1;2;3;4,0.007670091958802575,5,0.15026889910649266,0;1;2;3;4,0.008799417134839706
5,29.4,0;1;2;3;4,11.502173707608488,,,5,0.0,0;1;2;3;4,0.0,5,8.4,0;1;2;3;4,11.502173707608488,2,2.1754813116582588,0;2,0.21999084460607604,2,0.969413750682719,0;2,0.006224631932074198,2,2.953790129499448,0;2,0.30213645721758603,2,2.1754813116582588,0;2,0.21999084460607604,2,2.953790129499448,0;2,0.30213645721758603,binary_subsystem_coverage,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,1/3,5,1.0,0;1;2;3;4,0.0,5,21.0,0;1;2;3;4,21.0,3,1.7949135916573713,1;3;4,0.5037360641633607,3,0.9110678385197906,1;3;4,0.03679060744524282,3,1.9707347495146237,1;3;4,0.6235458563678484,3,1.7949135916573713,1;3;4,0.5037360641633607,3,1.9707347495146237,1;3;4,0.6235458563678484,5,1.0,0;1;2;3;4,0.0,5,29.4,0;1;2;3;4,11.502173707608488,5,0.023499204691061898,0;1;2;3;4,0.012504573163882326,5,88.2,0;1;2;3;4,34.50652112282546,5,0.023499204691061898,0;1;2;3;4,0.01250457316388232,5,0.9834640336564042,0;1;2;3;4,0.02351573500821528,5,0.029786374032032836,0;1;2;3;4,0.016933343566918183,5,0.023499204691061898,0;1;2;3;4,0.012504573163882326,5,0.023499204691061898,0;1;2;3;4,0.01250457316388232,5,0.029786374032032836,0;1;2;3;4,0.016933343566918183
5,30.8,0;1;2;3;4,21.276747871796573,,,5,0.0,0;1;2;3;4,0.0,5,13.2,0;1;2;3;4,29.51609730299722,1,1.5123715876511676,1,0.0,1,0.9732786475357206,1,0.0,1,1.7445902730208633,1,0.0,1,1.5123715876511676,1,0.0,1,1.7445902730208633,1,0.0,binary_subsystem_coverage,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,2/3,5,1.0,0;1;2;3;4,0.0,5,17.6,0;1;2;3;4,12.739701723352868,4,4.565138185787811,0;2;3;4,2.0082625256557436,4,-68.98524086464394,0;2;3;4,122.7316568435866,4,5.171072944458618,0;2;3;4,2.2119753539258773,4,4.565138185787811,0;2;3;4,2.0082625256557436,4,5.171072944458618,0;2;3;4,2.2119753539258773,5,1.0,0;1;2;3;4,0.0,5,30.8,0;1;2;3;4,21.276747871796573,5,0.05037819646620072,0;1;2;3;4,0.03180592878757655,5,92.4,0;1;2;3;4,63.83024361538972,5,0.05037819646620072,0;1;2;3;4,0.03180592878757655,5,0.855802193514774,0;1;2;3;4,0.19940049299869686,5,0.06265067459253744,0;1;2;3;4,0.037452956944886616,5,0.05037819646620072,0;1;2;3;4,0.03180592878757655,5,0.05037819646620072,0;1;2;3;4,0.03180592878757655,5,0.06265067459253744,0;1;2;3;4,0.037452956944886616
5,62.8,0;1;2;3;4,17.181385275931625,,,5,0.0,0;1;2;3;4,0.0,5,55.6,0;1;2;3;4,32.19937887599697,4,2.38589771164128,0;2;3;4,0.8641052320558122,4,0.9400432176226208,0;2;3;4,0.03657774878883145,4,2.912031924158517,0;2;3;4,1.085652819494808,4,2.38589771164128,0;2;3;4,0.8641052320558122,4,2.912031924158517,0;2;3;4,1.085652819494808,binary_subsystem_coverage,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,3/3,5,1.0,0;1;2;3;4,0.0,5,7.2,0;1;2;3;4,16.09968943799849,1,5.733176879882787,1,0.0,1,-0.6959600212180188,1,0.0,1,6.457365129905915,1,0.0,1,5.733176879882787,1,0.0,1,6.457365129905915,1,0.0,5,1.0,0;1;2;3;4,0.0,5,62.8,0;1;2;3;4,17.181385275931625,5,0.025949852416260633,0;1;2;3;4,0.025402342336856662,5,188.4,0;1;2;3;4,51.54415582779487,5,0.025949852416260633,0;1;2;3;4,0.02540234233685666,5,0.9724569990052322,0;1;2;3;4,0.03678077874927666,5,0.03444490239969809,0;1;2;3;4,0.033716425136593633,5,0.025949852416260633,0;1;2;3;4,0.02540234233685666,5,0.025949852416260633,0;1;2;3;4,0.02540234233685666,5,0.03444490239969809,0;1;2;3;4,0.033716425136593633
5,166.0,0;1;2;3;4,0.0,3,,5,0.0,0;1;2;3;4,0.0,5,77.2,0;1;2;3;4,18.322117781522966,5,2.2205619657141833,0;1;2;3;4,0.7343865158046367,5,0.953816622896005,0;1;2;3;4,0.031196054731870763,5,2.7687255626296587,0;1;2;3;4,0.9291760497982579,5,2.2516131334420817,0;1;2;3;4,0.6150931593813249,5,2.8701669703192363,0;1;2;3;4,0.817344675513703,cardinality,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,4.0,0;1;2;3;4,0.0,5,88.8,0;1;2;3;4,18.322117781522966,5,2.8788927506689292,0;1;2;3;4,0.8864579781332051,5,0.9817022631143939,0;1;2;3;4,0.011152838251452343,5,3.699853631966989,0;1;2;3;4,1.2083684203597367,5,3.141878770599086,0;1;2;3;4,1.056002908181674,5,3.9704015697223936,0;1;2;3;4,1.3513166429151884,5,1.0,0;1;2;3;4,0.0,5,166.0,0;1;2;3;4,0.0,5,0.053016543772725445,0;1;2;3;4,0.010845421476191617,5,498.0,0;1;2;3;4,0.0,5,0.05024794598050145,0;1;2;3;4,0.007941476382214726,5,0.8645626169118013,0;1;2;3;4,0.012888042970340846,5,0.08582980461468778,0;1;2;3;4,0.003275540489616782,5,0.05024794598050146,0;1;2;3;4,0.007941476382214737,5,0.05398370849863624,0;1;2;3;4,0.009262999098905452,5,0.08780632735270784,0;1;2;3;4,0.004425610534675238
5,88.8,0;1;2;3;4,18.322117781522966,,isobaric,5,0.0,0;1;2;3;4,0.0,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,direction,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,2.6,0;1;2;3;4,0.5477225575051661,5,88.8,0;1;2;3;4,18.322117781522966,5,2.8788927506689292,0;1;2;3;4,0.8864579781332051,5,0.9817022631143939,0;1;2;3;4,0.011152838251452343,5,3.699853631966989,0;1;2;3;4,1.2083684203597367,5,3.141878770599086,0;1;2;3;4,1.056002908181674,5,3.9704015697223936,0;1;2;3;4,1.3513166429151884,5,1.0,0;1;2;3;4,0.0,5,88.8,0;1;2;3;4,18.322117781522966,5,0.07707272834771295,0;1;2;3;4,0.014799107619091303,5,266.4,0;1;2;3;4,54.966353344568894,5,0.08288012869055768,0;1;2;3;4,0.014016250717159645,5,0.7416722661462376,0;1;2;3;4,0.07173372771816908,5,0.1169050118966504,0;1;2;3;4,0.014218561084491283,5,0.08288012869055768,0;1;2;3;4,0.014016250717159647,5,0.0764895993010893,0;1;2;3;4,0.014553177349808806,5,0.10912506922325597,0;1;2;3;4,0.013382191964392685
5,77.2,0;1;2;3;4,18.322117781522966,,isothermal,5,0.0,0;1;2;3;4,0.0,5,77.2,0;1;2;3;4,18.322117781522966,5,2.2205619657141833,0;1;2;3;4,0.7343865158046367,5,0.953816622896005,0;1;2;3;4,0.031196054731870763,5,2.7687255626296587,0;1;2;3;4,0.9291760497982579,5,2.2516131334420817,0;1;2;3;4,0.6150931593813249,5,2.8701669703192363,0;1;2;3;4,0.817344675513703,direction,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,1.4,0;1;2;3;4,0.5477225575051661,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,5,1.0,0;1;2;3;4,0.0,5,77.2,0;1;2;3;4,18.322117781522966,5,0.017445693296575866,0;1;2;3;4,0.010699202382416671,5,231.6,0;1;2;3;4,54.966353344568894,5,0.01642202660670815,0;1;2;3;4,0.011494621820666436,5,0.9878606314853444,0;1;2;3;4,0.015486162349310547,5,0.021856397881474126,0;1;2;3;4,0.015238374590389169,5,0.01642202660670815,0;1;2;3;4,0.011494621820666436,5,0.017445693296575866,0;1;2;3;4,0.010699202382416671,5,0.023175661275801753,0;1;2;3;4,0.01424841032393648
5,88.8,0;1;2;3;4,18.322117781522966,3,isobaric,5,0.0,0;1;2;3;4,0.0,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,direction_cardinality,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,2.6,0;1;2;3;4,0.5477225575051661,5,88.8,0;1;2;3;4,18.322117781522966,5,2.8788927506689292,0;1;2;3;4,0.8864579781332051,5,0.9817022631143939,0;1;2;3;4,0.011152838251452343,5,3.699853631966989,0;1;2;3;4,1.2083684203597367,5,3.141878770599086,0;1;2;3;4,1.056002908181674,5,3.9704015697223936,0;1;2;3;4,1.3513166429151884,5,1.0,0;1;2;3;4,0.0,5,88.8,0;1;2;3;4,18.322117781522966,5,0.07707272834771295,0;1;2;3;4,0.014799107619091303,5,266.4,0;1;2;3;4,54.966353344568894,5,0.08288012869055768,0;1;2;3;4,0.014016250717159645,5,0.7416722661462376,0;1;2;3;4,0.07173372771816908,5,0.1169050118966504,0;1;2;3;4,0.014218561084491283,5,0.08288012869055768,0;1;2;3;4,0.014016250717159647,5,0.0764895993010893,0;1;2;3;4,0.014553177349808806,5,0.10912506922325597,0;1;2;3;4,0.013382191964392685
5,77.2,0;1;2;3;4,18.322117781522966,3,isothermal,5,0.0,0;1;2;3;4,0.0,5,77.2,0;1;2;3;4,18.322117781522966,5,2.2205619657141833,0;1;2;3;4,0.7343865158046367,5,0.953816622896005,0;1;2;3;4,0.031196054731870763,5,2.7687255626296587,0;1;2;3;4,0.9291760497982579,5,2.2516131334420817,0;1;2;3;4,0.6150931593813249,5,2.8701669703192363,0;1;2;3;4,0.817344675513703,direction_cardinality,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,1.4,0;1;2;3;4,0.5477225575051661,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,5,1.0,0;1;2;3;4,0.0,5,77.2,0;1;2;3;4,18.322117781522966,5,0.017445693296575866,0;1;2;3;4,0.010699202382416671,5,231.6,0;1;2;3;4,54.966353344568894,5,0.01642202660670815,0;1;2;3;4,0.011494621820666436,5,0.9878606314853444,0;1;2;3;4,0.015486162349310547,5,0.021856397881474126,0;1;2;3;4,0.015238374590389169,5,0.01642202660670815,0;1;2;3;4,0.011494621820666436,5,0.017445693296575866,0;1;2;3;4,0.010699202382416671,5,0.023175661275801753,0;1;2;3;4,0.01424841032393648
