attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
1508,,,0.0,717,5.1713867077086775,0.9818066131817094,13.140717628881648,5.521964940588982,13.355699201587427,all,0,0.0,,53,791,2.4312196892160873,0.983418840503991,4.558218414337563,2.98971825294139,5.581688559106174,1.0,1508,0.028696513094652442,3016,0.028807626913596545,0.9748428262283659,0.050616976200543465,0.02886501282285471,0.02967308712139091,0.05234566549030099
791,,isobaric,0.0,0,,,,,,direction,0,0.0,,33,791,2.4312196892160873,0.983418840503991,4.558218414337563,2.98971825294139,5.581688559106174,1.0,791,0.02757386086789828,1582,0.02867105056184277,0.9791298608167361,0.04485510138907563,0.02867105056184277,0.02855721591723216,0.046102412335829866
717,,isothermal,0.0,717,5.1713867077086775,0.9818066131817094,13.140717628881648,5.521964940588982,13.355699201587427,direction,0,0.0,,24,0,,,,,,1.0,717,0.03176088036574176,1434,0.02895829901155643,0.9706149350012775,0.05629343536511879,0.02895829901155643,0.029434792884636508,0.05758532053396852
1508,2,,0.0,717,5.1713867077086775,0.9818066131817094,13.140717628881648,5.521964940588982,13.355699201587427,cardinality,0,0.0,,53,791,2.4312196892160873,0.983418840503991,4.558218414337563,2.98971825294139,5.581688559106174,1.0,1508,0.028696513094652442,3016,0.028807626913596545,0.9748428262283659,0.050616976200543465,0.02886501282285471,0.02967308712139091,0.05234566549030099
791,2,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,33,791,2.4312196892160873,0.983418840503991,4.558218414337563,2.98971825294139,5.581688559106174,1.0,791,0.02757386086789828,1582,0.02867105056184277,0.9791298608167361,0.04485510138907563,0.02867105056184277,0.02855721591723216,0.046102412335829866
717,2,isothermal,0.0,717,5.1713867077086775,0.9818066131817094,13.140717628881648,5.521964940588982,13.355699201587427,direction_cardinality,0,0.0,,24,0,,,,,,1.0,717,0.03176088036574176,1434,0.02895829901155643,0.9706149350012775,0.05629343536511879,0.02895829901155643,0.029434792884636508,0.05758532053396852
1510,,,0.0,628,11.729575919275428,0.9706131899773601,22.632250864758216,10.900132157629505,20.956811808857292,all,1,0.0,,52,882,2.654532281092776,0.9749896426091109,4.498637358612926,3.060420392592146,4.982408907598296,1.0,1510,0.0366191304549426,3020,0.03101162279620754,0.9650505680362222,0.0606726859208106,0.03124319688269691,0.03724736636835619,0.06872312057786789
882,,isobaric,0.0,0,,,,,,direction,1,0.0,,38,882,2.654532281092776,0.9749896426091109,4.498637358612926,3.060420392592146,4.982408907598296,1.0,882,0.037949914657493575,1764,0.033088399220066664,0.9637792550180917,0.06092404720417609,0.033088399220066664,0.03813105191108097,0.0673064169721944
628,,isothermal,0.0,628,11.729575919275428,0.9706131899773601,22.632250864758216,10.900132157629505,20.956811808857292,direction,1,0.0,,20,0,,,,,,1.0,628,0.03122541133776446,1256,0.02809487629008693,0.9667240451684622,0.06031789076067234,0.02809487629008693,0.028660875741160847,0.06195123694726916
1510,2,,0.0,628,11.729575919275428,0.9706131899773601,22.632250864758216,10.900132157629505,20.956811808857292,cardinality,1,0.0,,52,882,2.654532281092776,0.9749896426091109,4.498637358612926,3.060420392592146,4.982408907598296,1.0,1510,0.0366191304549426,3020,0.03101162279620754,0.9650505680362222,0.0606726859208106,0.03124319688269691,0.03724736636835619,0.06872312057786789
