attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
1676,,,0.0,535,35.88241635444183,-0.6892493781902524,114.79780001493288,38.449889231147054,117.12390888530717,all,0,0.1724343675417661,,57,852,24.153525499514018,-0.22000649988466225,38.383266041464196,28.909291501045146,47.50380583649639,0.8275656324582339,1387,0.19456373985644526,2872,0.18794936727227407,0.32538508741749517,0.2687510218019619,0.18881073237441717,0.19992146522624615,0.2855592764898461
854,,isobaric,0.0,0,,,,,,direction,0,0.00234192037470726,,35,852,24.153525499514018,-0.22000649988466225,38.383266041464196,28.909291501045146,47.50380583649639,0.9976580796252927,852,0.1912809527285006,1767,0.19561978161617163,0.2537325480422087,0.2687402232120071,0.19615650169201582,0.20065595198696343,0.2762265940140174
822,,isothermal,0.0,535,35.88241635444183,-0.6892493781902524,114.79780001493288,38.449889231147054,117.12390888530717,direction,0,0.3491484184914842,,26,0,,,,,,0.6508515815085159,535,0.18656068434449288,1105,0.1756836458734804,0.4151489555782373,0.2687682888717921,0.17566022958289723,0.18838474908389133,0.2876294066407499
1508,2,,0.0,500,37.33144836265124,-0.6952806378827898,118.62916235866997,40.44345886453524,121.79367403088972,cardinality,0,0.14522546419098142,,53,789,24.38899098598157,-0.23108874332100382,39.31329518571549,29.391575966975303,48.56353604054022,0.8547745358090185,1289,0.19692366966932964,2578,0.18892172536801502,0.3097391999126785,0.27201152986946636,0.1895277966796524,0.20064127303497084,0.28647885330490075
168,3,,0.0,35,15.181959094307366,0.06451752663982169,20.05498460577135,14.527053630488792,18.158799964399403,cardinality,0,0.4166666666666667,,4,63,21.204600597563235,-1.5861033173288361,23.83912340821938,20.951597813197544,24.01710673869961,0.5833333333333334,98,0.19038401176064437,294,0.17942304356200114,0.29927873280600137,0.2382571544069876,0.17942304356200114,0.19038401176064434,0.2730827038091358
791,2,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0025284450063211127,,33,789,24.38899098598157,-0.23108874332100382,39.31329518571549,29.391575966975303,48.56353604054022,0.9974715549936789,789,0.1956044934936674,1578,0.19735850977061747,0.21441296519572195,0.27471747796283935,0.19735850977061747,0.2019695255040898,0.27981685741579815
63,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,2,63,21.204600597563235,-1.5861033173288361,23.83912340821938,20.951597813197544,24.01710673869961,1.0,63,0.17898198895437853,189,0.18110278146952866,0.4209658349038302,0.21236729939306748,0.18110278146952863,0.1789819889543785,0.20823419689944822
717,2,isothermal,0.0,500,37.33144836265124,-0.6952806378827898,118.62916235866997,40.44345886453524,121.79367403088972,direction_cardinality,0,0.30264993026499304,,24,0,,,,,,0.697350069735007,500,0.18356611663464928,1000,0.1756084795807084,0.42558326032948457,0.26768591132659575,0.1756084795807084,0.18726797529363978,0.28426981561795156
105,3,isothermal,0.0,35,15.181959094307366,0.06451752663982169,20.05498460577135,14.527053630488792,18.158799964399403,direction_cardinality,0,0.6666666666666666,,2,0,,,,,,0.3333333333333333,35,0.20178603456691022,105,0.17639951532845163,0.10235327646558756,0.27886619519119527,0.17639951532845163,0.2017860345669102,0.32524889773995885
1685,,,0.0,452,66.71097664832526,-1.1642061990288637,191.9228215815775,68.90876591038713,182.18922152514745,all,1,0.11810089020771514,,57,1034,33.6664136279344,-12.224351992172428,99.56668880327764,41.72139165339863,105.25631686128138,0.8818991097922849,1486,0.17816465002205503,3133,0.17767294117121613,0.42230990175701566,0.24794231582885812,0.17784653668100517,0.18830405635561717,0.267902608715652
