attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
1676,,,0.0,822,4.155767775993007,0.9935088754546323,7.365022427201575,4.471543316727317,7.785020573137916,all,0,0.0,,57,854,2.7917096890666238,0.9853503665714621,4.202254016093103,3.0877930690869206,4.664116073651577,1.0,1676,0.030645909242337666,3520,0.029286554762866738,0.975159299607328,0.05002410497226301,0.030085083353361564,0.031241978430234844,0.053093231868617266
854,,isobaric,0.0,0,,,,,,direction,0,0.0,,35,854,2.7917096890666238,0.9853503665714621,4.202254016093103,3.0877930690869206,4.664116073651577,1.0,854,0.029446391220683307,1771,0.029925890100984304,0.9738893052665403,0.050346205174600436,0.030562004073262095,0.03127102663462973,0.052641575421436416
822,,isothermal,0.0,822,4.155767775993007,0.9935088754546323,7.365022427201575,4.471543316727317,7.785020573137916,direction,0,0.0,,26,0,,,,,,1.0,822,0.03165809717691266,1749,0.02863917747081059,0.976337484868362,0.0496958260142893,0.029450491678951023,0.029288966573193652,0.05094470910661828
1508,2,,0.0,717,4.45310369741678,0.9935565292953502,7.820278787879941,4.669542082504246,8.066448589229793,cardinality,0,0.0,,53,791,2.93555473009344,0.9848735041825561,4.353683447176368,3.2101134600646244,4.792808488794662,1.0,1508,0.032212236459569984,3016,0.031721547845291624,0.9721564228174873,0.053251002430157186,0.03180421285762317,0.03224463224969588,0.05460249334784937
168,3,,0.0,105,2.1253881982706773,0.9841336667353048,2.6525914566298128,2.095558127404159,2.65969455052639,cardinality,0,0.0,,4,63,0.9856552850632612,0.9936669761479898,1.1797036089834225,1.0695066179548156,1.2934102710805702,1.0,168,0.017956815322376196,504,0.01471524695216545,0.9927745808906621,0.022542222637479577,0.014715246952165448,0.017956815322376196,0.025791915278913485
791,2,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,33,791,2.93555473009344,0.9848735041825561,4.353683447176368,3.2101134600646244,4.792808488794662,1.0,791,0.03153356665853816,1582,0.03198622385190174,0.9709068487547559,0.052959582450773,0.03198622385190174,0.03230364123315283,0.054020512889176024
63,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,2,63,0.9856552850632612,0.9936669761479898,1.1797036089834225,1.0695066179548156,1.2934102710805702,1.0,63,0.014232885758998615,189,0.012680133519231014,0.9964701550237697,0.01658110104213862,0.012680133519231012,0.014232885758998616,0.018555583756101248
717,2,isothermal,0.0,717,4.45310369741678,0.9935565292953502,7.820278787879941,4.669542082504246,8.066448589229793,direction_cardinality,0,0.0,,24,0,,,,,,1.0,717,0.032375888306889256,1434,0.031429555207594835,0.973388757921979,0.05357066009206393,0.031429555207594835,0.02992298504714698,0.05224428829903627
105,3,isothermal,0.0,105,2.1253881982706773,0.9841336667353048,2.6525914566298128,2.095558127404159,2.65969455052639,direction_cardinality,0,0.0,,2,0,,,,,,1.0,105,0.021680744885753778,315,0.015936315011926112,0.9901495895488127,0.02545747700064852,0.015936315011926112,0.021680744885753778,0.0314028039986816
1685,,,0.0,628,11.55258603037289,0.9719056699108474,22.128952983475887,11.213054938014455,20.983952302927165,all,1,0.0,,57,1057,2.5861274146131508,0.9813024662783167,3.8028257960859135,2.819521001363367,4.061145485185721,1.0,1685,0.039134624960880014,3545,0.035059370413245645,0.9575188143966008,0.0660621956273621,0.03417628873538976,0.03768483841926605,0.06705999114323725
1057,,isobaric,0.0,0,,,,,,direction,1,0.0,,43,1057,2.5861274146131508,0.9813024662783167,3.8028257960859135,2.819521001363367,4.061145485185721,1.0,1057,0.04194632384099372,2289,0.03720077613793772,0.9530478644875688,0.0680375655948702,0.0357671267905831,0.03731518624497181,0.06463843432752171
628,,isothermal,0.0,628,11.55258603037289,0.9719056699108474,22.128952983475887,11.213054938014455,20.983952302927165,direction,1,0.0,,20,0,,,,,,1.0,628,0.03540290217500124,1256,0.03115676077644617,0.9644996628637679,0.0623013018904186,0.031156760776446163,0.03272150838711538,0.06418218587995662
1510,2,,0.0,628,11.55258603037289,0.9719056699108474,22.128952983475887,11.213054938014455,20.983952302927165,cardinality,1,0.0,,52,882,2.619632182218599,0.9817587942450369,3.8419154913272964,2.880773470158174,4.130866891850749,1.0,1510,0.03564442478513886,3020,0.03167644254358131,0.9676715423061588,0.05835333118648411,0.0317902163387721,0.036462012829824794,0.06398820307787383
175,3,,0.0,0,,,,,,cardinality,1,0.0,,5,175,2.417263385881689,0.9207039066249547,3.599357967120039,2.354002238522834,3.4859858134575923,1.0,175,0.05697748970023968,525,0.05451926025398146,0.8459343010685193,0.09940491056269067,0.05451926025398146,0.05040222454945512,0.09318576132482782
882,2,isobaric,0.0,0,,,,,,direction_cardinality,1,0.0,,38,882,2.619632182218599,0.9817587942450369,3.8419154913272964,2.880773470158174,4.130866891850749,1.0,882,0.03497043710098737,1764,0.03204646538911518,0.9700811668832541,0.05537100196218618,0.03204646538911518,0.035593207520697695,0.05987740517112632
175,3,isobaric,0.0,0,,,,,,direction_cardinality,1,0.0,,5,175,2.417263385881689,0.9207039066249547,3.599357967120039,2.354002238522834,3.4859858134575923,1.0,175,0.05697748970023968,525,0.05451926025398146,0.8459343010685193,0.09940491056269067,0.05451926025398146,0.05040222454945512,0.09318576132482782
628,2,isothermal,0.0,628,11.55258603037289,0.9719056699108474,22.128952983475887,11.213054938014455,20.983952302927165,direction_cardinality,1,0.0,,20,0,,,,,,1.0,628,0.03540290217500124,1256,0.03115676077644617,0.9644996628637679,0.0623013018904186,0.031156760776446163,0.03272150838711538,0.06418218587995662
1804,,,0.0,882,8.885961509873539,0.9313634227840357,25.300781184157128,8.740482619164318,24.853445685909882,all,2,0.0,,55,922,2.010746367282819,0.9859018837647958,3.576056556241171,2.770595072856876,4.773978570494392,1.0,1804,0.026621900076032934,3779,0.025445785560577982,0.9810814881337011,0.0427618857882027,0.025243600572194526,0.0285478696786032,0.04933848472620336
922,,isobaric,0.0,0,,,,,,direction,2,0.0,,33,922,2.010746367282819,0.9859018837647958,3.576056556241171,2.770595072856876,4.773978570494392,1.0,922,0.03019375441194621,1928,0.024843487641732866,0.9792086151542301,0.04371892464038182,0.02416691902186489,0.030208838358884448,0.05344287038869107
882,,isothermal,0.0,882,8.885961509873539,0.9313634227840357,25.300781184157128,8.740482619164318,24.853445685909882,direction,2,0.0,,27,0,,,,,,1.0,882,0.02391837747538108,1851,0.026073138552222163,0.9828467218809528,0.04174171064466209,0.02621535760683482,0.024705122577958958,0.03993629494532145
1633,2,,0.0,795,9.707039631825072,0.930475768081944,26.638425658159548,9.27341077237431,25.813002168593886,cardinality,2,0.0,,50,838,2.0564677090519585,0.9853635930935954,3.6900182725439294,2.8458720250382985,4.933979533177419,1.0,1633,0.02433016692315384,3266,0.024526583348891014,0.9835283680587511,0.04088516306217074,0.024602164115686814,0.026757384604356463,0.04523750029943923
171,3,,0.0,87,1.383006257557798,0.9752515167283531,2.2936582578145885,2.078880704039401,3.1586834750366912,cardinality,2,0.0,,5,84,1.5546215529668785,0.993297549517491,2.1277576202820034,2.0178255510426495,2.694075902568423,1.0,171,0.043861217780411264,513,0.03129786045993397,0.932525845071281,0.05317896542505103,0.03129786045993397,0.0464527204210705,0.07945333531349193
838,2,isobaric,0.0,0,,,,,,direction_cardinality,2,0.0,,30,838,2.0564677090519585,0.9853635930935954,3.6900182725439294,2.8458720250382985,4.933979533177419,1.0,838,0.022434688374107857,1676,0.022610326779495614,0.9846527027692514,0.03864168392757232,0.022610326779495617,0.0269786062529802,0.046395458542673726
84,3,isobaric,0.0,0,,,,,,direction_cardinality,2,0.0,,3,84,1.5546215529668785,0.993297549517491,2.1277576202820034,2.0178255510426495,2.694075902568423,1.0,84,0.06251115941792686,252,0.03969577972550122,0.8538808917789414,0.0685016136367833,0.03969577972550123,0.06251115941792686,0.09945933146445936
795,2,isothermal,0.0,795,9.707039631825072,0.930475768081944,26.638425658159548,9.27341077237431,25.813002168593886,direction_cardinality,2,0.0,,25,0,,,,,,1.0,795,0.024083198809862802,1590,0.026546486500027302,0.9824395536690457,0.04312381706806569,0.026546486500027302,0.024892327430132796,0.04058315908885989
87,3,isothermal,0.0,87,1.383006257557798,0.9752515167283531,2.2936582578145885,2.078880704039401,3.1586834750366912,direction_cardinality,2,0.0,,2,0,,,,,,1.0,87,0.022365061925785967,261,0.023189524617317308,0.9799928311136734,0.03205972053682612,0.023189524617317304,0.022365061925785967,0.030722032941517086
1691,,,0.0,764,15.971779543023098,0.9039365337185461,40.74183372738003,12.679967899471714,30.190305943166873,all,3,0.0,,48,927,3.18719010337657,0.947960100676477,6.202078264084951,4.010037774794704,7.166842225298607,1.0,1691,0.03394596851515396,3548,0.030217043352715797,0.9675314089909693,0.05710442128166257,0.0311284098848202,0.03657620404065824,0.06662245704761148
927,,isobaric,0.0,0,,,,,,direction,3,0.0,,32,927,3.18719010337657,0.947960100676477,6.202078264084951,4.010037774794704,7.166842225298607,1.0,927,0.04307144124895666,1854,0.032351287902758465,0.9611955041469104,0.06152893598835091,0.032351287902758465,0.04290438936368049,0.075250396920807
764,,isothermal,0.0,764,15.971779543023098,0.9039365337185461,40.74183372738003,12.679967899471714,30.190305943166873,direction,3,0.0,,21,0,,,,,,1.0,764,0.025342131172372835,1694,0.027881217263117732,0.9737450727779785,0.05183090808830519,0.029447177425377665,0.02631937350483396,0.04740188447991662
1525,2,,0.0,598,19.947729469979514,0.8972645840484882,46.03146811105172,14.319641479174013,32.56720539054707,cardinality,3,0.0,,45,927,3.18719010337657,0.947960100676477,6.202078264084951,4.010037774794704,7.166842225298607,1.0,1525,0.03631330713347345,3050,0.03295199508268936,0.9633132449375645,0.06102659950657675,0.033072588335175505,0.03807932148312979,0.06857644892344877
166,3,,0.0,166,1.6487792037463604,0.9824973850598144,2.5287242084735677,2.8419264212579143,4.055219956260058,cardinality,3,0.0,,3,0,,,,,,1.0,166,0.013746150414755944,498,0.01346683697436364,0.9939474457476816,0.020572935049301175,0.01346683697436364,0.014029442403584906,0.021814864765056046
927,2,isobaric,0.0,0,,,,,,direction_cardinality,3,0.0,,32,927,3.18719010337657,0.947960100676477,6.202078264084951,4.010037774794704,7.166842225298607,1.0,927,0.04307144124895666,1854,0.032351287902758465,0.9611955041469104,0.06152893598835091,0.032351287902758465,0.04290438936368049,0.075250396920807
598,2,isothermal,0.0,598,19.947729469979514,0.8972645840484882,46.03146811105172,14.319641479174013,32.56720539054707,direction_cardinality,3,0.0,,18,0,,,,,,1.0,598,0.028591985473538903,1196,0.03388319166428791,0.9662886109272419,0.060239614637906856,0.03388319166428791,0.028367695355042133,0.05041937828688132
166,3,isothermal,0.0,166,1.6487792037463604,0.9824973850598144,2.5287242084735677,2.8419264212579143,4.055219956260058,direction_cardinality,3,0.0,,3,0,,,,,,1.0,166,0.013746150414755944,498,0.01346683697436364,0.9939474457476816,0.020572935049301175,0.01346683697436364,0.014029442403584906,0.021814864765056046
1719,,,0.0,738,5.917346174779496,0.983660948305072,14.19032553185699,7.9472869393357515,17.740803390602945,all,4,0.0,,50,981,2.3127905223663667,0.9876243058062729,3.127008086236751,2.6200458089519354,3.589803575038614,1.0,1719,0.027998612152457893,3645,0.026439374476222438,0.98145353805594,0.04232647355762625,0.026734737912210225,0.029202720752534682,0.047392254410192756
981,,isobaric,0.0,0,,,,,,direction,4,0.0,,34,981,2.3127905223663667,0.9876243058062729,3.127008086236751,2.6200458089519354,3.589803575038614,1.0,981,0.03347096202735494,2084,0.029588515469552257,0.9771540399074345,0.04603426913479666,0.0302952409863219,0.03594197939583291,0.055791899135397414
738,,isothermal,0.0,738,5.917346174779496,0.983660948305072,14.19032553185699,7.9472869393357515,17.740803390602945,direction,4,0.0,,22,0,,,,,,1.0,738,0.024788386425642583,1561,0.022235140119976866,0.9866874588763264,0.036798631148026055,0.022721524229512253,0.02687719162768981,0.045465942118700683
1512,2,,0.0,653,6.599263424994166,0.9832652469561058,15.081498371584981,8.29341407063965,18.157030362826784,cardinality,4,0.0,,46,859,2.509088818302533,0.9864716360884299,3.316678263984896,2.7668841125567725,3.7380888418593603,1.0,1512,0.029572306607600657,3024,0.028500548214983264,0.9795110531119187,0.045495561162823765,0.028165375611153624,0.030384999661316203,0.04906542620551262
207,3,,0.0,85,0.6786171819538566,0.998199646333064,0.9805739338521348,0.6786171819538566,0.9805739338521348,cardinality,4,0.0,,4,122,0.9306574386846697,0.9974810083099419,1.0829886789333238,1.1027166717019494,1.287749480243658,1.0,207,0.015601624055815184,621,0.016402354530952328,0.9916105722345303,0.020886689685093385,0.016402354530952325,0.015606513301547147,0.019749371271675493
859,2,isobaric,0.0,0,,,,,,direction_cardinality,4,0.0,,31,859,2.509088818302533,0.9864716360884299,3.316678263984896,2.7668841125567725,3.7380888418593603,1.0,859,0.03504133802605117,1718,0.032009811390219384,0.9751044539430896,0.049697857486056575,0.032009811390219384,0.037851305463360484,0.05810351767426364
122,3,isobaric,0.0,0,,,,,,direction_cardinality,4,0.0,,3,122,0.9306574386846697,0.9974810083099419,1.0829886789333238,1.1027166717019494,1.287749480243658,1.0,122,0.0160253208089821,366,0.01822297888019127,0.9880520719610646,0.02174542521932411,0.018222978880191275,0.016212276698047975,0.019802714971612005
653,2,isothermal,0.0,653,6.599263424994166,0.9832652469561058,15.081498371584981,8.29341407063965,18.157030362826784,direction_cardinality,4,0.0,,21,0,,,,,,1.0,653,0.025673674506283804,1306,0.02388422805031585,0.9850724674141238,0.03928891112782722,0.023884228050315846,0.027500428223672914,0.04633913985808874
85,3,isothermal,0.0,85,0.6786171819538566,0.998199646333064,0.9805739338521348,0.6786171819538566,0.9805739338521348,direction_cardinality,4,0.0,,1,0,,,,,,1.0,85,0.01378922311204467,255,0.01378922311204467,0.9945052406687188,0.019588468591628237,0.013789223112044672,0.01378922311204467,0.019588468591628237
