attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
1676,,,0.0,822,14.341854775561337,0.8828316025079118,31.290993163786972,14.81060657732868,32.889991636644204,all,0,0.0,,57,854,8.074781132503752,0.8955721629334613,11.219591985061514,9.289858760424556,12.71604075658513,1.0,1676,0.08989070331813627,3520,0.09128165213538847,0.8379397494711327,0.12777199081894078,0.09277535850705595,0.09477224547690938,0.133658629226036
854,,isobaric,0.0,0,,,,,,direction,0,0.0,,35,854,8.074781132503752,0.8955721629334613,11.219591985061514,9.289858760424556,12.71604075658513,1.0,854,0.08431985215711142,1771,0.08942417946449911,0.8487028676380501,0.12119169956979742,0.09085248084190453,0.09019153262458467,0.12549900817942888
822,,isothermal,0.0,822,14.341854775561337,0.8828316025079118,31.290993163786972,14.81060657732868,32.889991636644204,direction,0,0.0,,26,0,,,,,,1.0,822,0.10108853041015768,1749,0.09316248924238965,0.8276860394277247,0.1341064584369137,0.09455754528628645,0.09992287630673911,0.1440954814457462
1508,2,,0.0,717,15.074151248579678,0.8837993702563731,33.20982196097552,15.468206024864235,34.125447705586744,cardinality,0,0.0,,53,791,8.4770117912823,0.8925426181947353,11.603948969147458,9.679565446345343,13.06163412652727,1.0,1508,0.09547397061494584,3016,0.09590951397637558,0.8243576671464712,0.13374571317328035,0.09603999661707317,0.09729596840491672,0.13687249036723714
168,3,,0.0,105,9.341316002664682,0.6978799893306543,11.575022026294747,6.919413206902049,9.392335965030306,cardinality,0,0.0,,4,63,3.024551750061995,0.928387545447981,3.966994752453545,2.859698442731577,3.83482714643406,1.0,168,0.061332916680812116,504,0.06358793921392589,0.9007928649764525,0.08352888170568422,0.06358793921392587,0.06133291668081212,0.07965189211620967
791,2,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,33,791,8.4770117912823,0.8925426181947353,11.603948969147458,9.679565446345343,13.06163412652727,1.0,791,0.0903214839513838,1582,0.09405035914706888,0.8346202448793152,0.1262671395954214,0.09405035914706888,0.09274269671587966,0.12838391434202553
63,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,2,63,3.024551750061995,0.928387545447981,3.966994752453545,2.859698442731577,3.83482714643406,1.0,63,0.0480973251182172,189,0.05070134212150775,0.9464031491900088,0.06461081003581708,0.050701342121507745,0.048097325118217196,0.060538684541185966
717,2,isothermal,0.0,717,15.074151248579678,0.8837993702563731,33.20982196097552,15.468206024864235,34.125447705586744,direction_cardinality,0,0.0,,24,0,,,,,,1.0,717,0.1038139018434668,1434,0.09796054810466234,0.8142366705765558,0.1415384443749438,0.09796054810466236,0.10203574031201679,0.1474510329851492
105,3,isothermal,0.0,105,9.341316002664682,0.6978799893306543,11.575022026294747,6.919413206902049,9.392335965030306,direction_cardinality,0,0.0,,2,0,,,,,,1.0,105,0.07456850824340705,315,0.07131989746937675,0.8683955711196518,0.09305151509950194,0.07131989746937677,0.07456850824340705,0.09499429198329436
1685,,,0.0,628,25.136060001405625,0.8039968475003856,58.44980329747097,24.65432937230064,58.45630197997458,all,1,0.0,,57,1057,4.720246782979544,0.9444954144700722,6.552072595340458,5.493930873160653,7.605286298799981,1.0,1685,0.052821122482527724,3545,0.05627706949047365,0.930907850626041,0.0842498314852068,0.05593403419347904,0.05492219880663292,0.08377982679322905
