category,protocol,evaluation_setting,test_subset,direction,known_inputs,joint_outputs,state_quantity,state_unit,state_mae_mean,state_mae_std,state_rmse_mean,state_rmse_std,state_r2_mean,state_r2_std,y_mae_mean,y_mae_std,y_rmse_mean,y_rmse_std,y_r2_mean,y_r2_std,solver_failure_rate_mean,nonphysical_rate_mean,valid_coverage_mean,available_seeds
overall,overall_binary,Binary train -> binary test,all,isobaric,"molecules,P,x","T,y",T,K,2.4450769089415316,0.14645683012069274,4.292867123201619,0.5179405612160158,0.9785904564230261,0.007893033006893634,0.028434982539105164,0.004258491444189167,0.04985518856318676,0.005773474786072593,0.9746003354279059,0.00527657430673747,0.0,0.0,1.0,5
overall,overall_binary,Binary train -> binary test,all,isothermal,"molecules,T,x","P,y",P,kPa,8.979320889010634,5.203604071084389,20.575642937180966,11.954160430500842,0.967525866488667,0.026882518133670465,0.026237010204027866,0.005550405316047635,0.04755315297583126,0.011979804441036896,0.9779216444741262,0.010438803879034309,0.0,0.0,1.0,5
overall,overall_binary_ternary,Binary+ternary train -> joint test,binary,isobaric,"molecules,P,x","T,y",T,K,2.4512184400077186,0.31067101277226694,4.228143991858288,0.7947141777130691,0.9790712250745625,0.010072083444120129,0.029300990005104437,0.005519836368250865,0.05127841781418964,0.007906406041432888,0.9729112460838018,0.007601095081026411,0.0,0.0,1.0,5
overall,overall_binary_ternary,Binary+ternary train -> joint test,ternary,isobaric,"molecules,P,x","T,y",T,K,1.4056005896983979,0.6072536512445834,1.9478063293820986,0.997195165997656,0.9788947192818728,0.03207436712211483,0.03173289887502556,0.01812959826603288,0.053570235794618136,0.03691970514043086,0.9186448360441298,0.0787561761611414,0.0,0.0,1.0,4
overall,overall_binary_ternary,Binary+ternary train -> joint test,binary,isothermal,"molecules,T,x","P,y",P,kPa,8.68024917800378,4.713453436785685,19.547354661685862,10.472934114560896,0.9712463012799084,0.023736422780370248,0.026474338381145813,0.0057718868522194785,0.0469751628737219,0.01117182874246372,0.9785322466836168,0.009215139687691085,0.0,0.0,1.0,5
overall,overall_binary_ternary,Binary+ternary train -> joint test,ternary,isothermal,"molecules,T,x","P,y",P,kPa,1.8455881389611002,0.2697442852724129,2.436599170805052,0.3101936116836295,0.9836041023532445,0.004284872206028598,0.016757424860640843,0.005196974249786784,0.023865897645750013,0.008151191074700593,0.990592963174521,0.006132750347978363,0.0,0.0,1.0,4
state,state_composition_interpolation,Composition interpolation,all,isobaric,"molecules,P,x","T,y",T,K,0.5783107498803323,0.03577295388774672,0.8567073433310506,0.05729672953246212,0.9988969605187498,0.00015175552045082857,0.01661837460659247,0.0008895749285170423,0.03313290489003588,0.0007278472764275882,0.984700350042553,0.0006711240481232281,0.0,0.0,1.0,5
state,state_composition_interpolation,Composition interpolation,all,isothermal,"molecules,T,x","P,y",P,kPa,1.6127107457496979,0.20117406928110704,5.373340905225254,0.832511955953594,0.9952822800583864,0.0014175551495252709,0.009549895597236503,0.0010171693787004406,0.014155336280266485,0.0013911251044628438,0.9973098285471901,0.0005309929900038079,0.0,0.0,1.0,5
state,state_composition_edge_extrapolation,Composition edge extrapolation,all,isobaric,"molecules,P,x","T,y",T,K,0.920240901411483,0.09758208765074902,1.3704138473011627,0.12378701972275861,0.9980171128129646,0.0003458045378560221,0.015157872618801142,0.0003160560121023959,0.03848258230059054,0.0004311428335033055,0.9911218692567683,0.0001983876256992771,0.0,0.0,1.0,5
state,state_composition_edge_extrapolation,Composition edge extrapolation,all,isothermal,"molecules,T,x","P,y",P,kPa,1.9063926244935292,0.20548106367465085,4.980722492680238,0.8688333005841761,0.9960211365617058,0.0013840699082815731,0.007516059270479271,0.0006502534470335943,0.014346619038611836,0.0011545888207068527,0.99882827590368,0.00019252160617655063,0.0,0.0,1.0,5
