metric,extreme,rank,system_id,component_count,components,pressure_abs_error_kpa,temperature_abs_error_k,y_abs_error
pressure_abs_error_kpa,best,1,2c_d7eb8d723543d918ecd0,2,ClC(Cl)C(Cl)Cl | O=C1CCCCC1,0.5777838413451897,,
pressure_abs_error_kpa,best,2,2c_d119216a7f1c0b5c260c,2,CCCCCCC | CCCCCO,1.286611249199406,,
pressure_abs_error_kpa,best,3,2c_943d83c108740e90b944,2,CCCCCCl | C[N+](=O)[O-],1.4175425014461367,,
pressure_abs_error_kpa,best,4,2c_90730474fd91e7deb074,2,CCCCCl | CN1CCCC1=O,1.4798176310601263,,
pressure_abs_error_kpa,best,5,2c_908dceb4b86ca8f62d00,2,CCCCCCC | CCCCCl,1.724232124462346,,
pressure_abs_error_kpa,worst,1,2c_ae514b5a938c4d83d1c9,2,CCCC | CCO,136.8292339534557,,
pressure_abs_error_kpa,worst,2,2c_66efe142b432478577a5,2,CC(C)=C(C)C | CO,107.28221479422083,,
pressure_abs_error_kpa,worst,3,2c_b5e6a87ec43f38c5a3d1,2,CC(C)C | FC(F)CC(F)(F)F,91.74715065511428,,
pressure_abs_error_kpa,worst,4,2c_68be6b27ffcb3843add8,2,CCC#N | CCCC,86.42103243049641,,
pressure_abs_error_kpa,worst,5,2c_9279bbcc7c86a33f7f84,2,CC(C)C | CCC#N,84.47798296358609,,
temperature_abs_error_k,best,1,2c_3c1769052d07951ac3d7,2,CC(C)O | CCOC(C)=O,,0.8065691731770622,
temperature_abs_error_k,best,2,3c_50c0ded265c297b30405,3,CC(=O)N(C)C | CCC(C)O | CCC(C)OC(C)=O,,0.8412131173270195,
temperature_abs_error_k,best,3,2c_5c8d62c2d26d3b612ba9,2,CC#N | CO,,1.062628117051247,
temperature_abs_error_k,best,4,2c_443810127d849cf82a31,2,CCC(C)O | CN(C)C=O,,1.2099668666294672,
temperature_abs_error_k,best,5,3c_6b60b4a3a536506a27ae,3,CC(C)CC(C)(C)C | CC(C)OC(C)C | CCO,,1.4437911931818184,
temperature_abs_error_k,worst,1,2c_1423cf5c6cbb9a123e33,2,CC(=O)O | CS(C)=O,,27.52024245876736,
temperature_abs_error_k,worst,2,2c_132d59f7f663b60d969d,2,CC(=O)O | CN1CCCC1=O,,22.38912208193824,
temperature_abs_error_k,worst,3,2c_b5e6a87ec43f38c5a3d1,2,CC(C)C | FC(F)CC(F)(F)F,,22.33684387207029,
temperature_abs_error_k,worst,4,2c_7e396008deb1d14f8e15,2,CC(=O)N(C)C | CC(=O)O,,19.54316906738281,
temperature_abs_error_k,worst,5,2c_a4ea92aaad2e5eb91802,2,COC(C)=O | CS(C)=O,,18.52379688936122,
y_abs_error,best,1,2c_acbe0e6e906b285e5990,2,CCCCCO | CCCOCCC,,,0.0045636096244508475
y_abs_error,best,2,2c_784276d4500715f79c89,2,CCCCCCC | c1ccsc1,,,0.0069613614234047905
y_abs_error,best,3,2c_90730474fd91e7deb074,2,CCCCCl | CN1CCCC1=O,,,0.008216322064806082
y_abs_error,best,4,2c_4d66ac225ef5e3a977b1,2,CN1CCCC1=O | ClCCCl,,,0.009348853835388981
y_abs_error,best,5,2c_7b12ee2d0e35e39326bc,2,CCOCCO | CO,,,0.014627444735877872
y_abs_error,worst,1,2c_303f5d258da9140f9795,2,CCOC(=O)OCC | O,,,0.2563875939311859
y_abs_error,worst,2,2c_a4ea92aaad2e5eb91802,2,COC(C)=O | CS(C)=O,,,0.24993656336310704
y_abs_error,worst,3,2c_972bb6b6305c64cb2237,2,ClC(Cl)Cl | OCC(F)(F)C(F)F,,,0.1831267049594537
y_abs_error,worst,4,2c_e06683c33855ee8d702b,2,CC(C)O | CCCCO,,,0.1677708889706568
y_abs_error,worst,5,2c_7c57a80413db66443080,2,CCC(=O)O | CCCCCO,,,0.16651181710696222
