attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
772,,,0.0,309,2.5733586237041193,0.9937175441214249,6.3343244241922765,3.3940479875112373,9.299328416459474,all,0,0.0,,171,463,1.2338823395105039,0.996934948427746,1.7093634667735513,1.339490300712737,1.844765848962633,1.0,772,0.01100946085467004,1721,0.013077735368924098,0.9940133456817208,0.03197675880228107,0.011986915101727759,0.012627459024287357,0.03070936405535806
463,,isobaric,0.0,0,,,,,,direction,0,0.0,,118,463,1.2338823395105039,0.996934948427746,1.7093634667735513,1.339490300712737,1.844765848962633,1.0,463,0.014534150943205183,1023,0.01604258461722935,0.9908371088524035,0.039096826438533946,0.014477526798933662,0.014900115052584335,0.035224630815117904
309,,isothermal,0.0,309,2.5733586237041193,0.9937175441214249,6.3343244241922765,3.3940479875112373,9.299328416459474,direction,0,0.0,,62,0,,,,,,1.0,309,0.009546600077781478,698,0.008732404737095627,0.9984094742887554,0.016758280307747824,0.008385751792127152,0.008641615335478666,0.017849853988417992
595,2,,0.0,229,2.96685403327292,0.9935867128944893,7.24894749993263,3.69514140534336,9.935086117333162,cardinality,0,0.0,,145,366,1.243326119177988,0.9970635146836159,1.7343044264463827,1.338583687079022,1.8548234768275897,1.0,595,0.008740397681498957,1190,0.009035452210256064,0.9978606140132503,0.02072514406470946,0.008921191256053004,0.009897514035867595,0.02236805312748822
177,3,,0.0,80,1.4469780138134274,0.9889501699504425,2.135693210855088,1.361667417144409,1.983841136784,cardinality,0,0.0,,26,97,1.1982491090125738,0.995960773501495,1.6117846545250898,1.3445270431222645,1.7878601331974486,1.0,177,0.025193717836769755,531,0.022136712692492764,0.9721452092669655,0.04849141208226482,0.02213671269249277,0.02785215222893602,0.058413743395218376
366,2,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,100,366,1.243326119177988,0.9970635146836159,1.7343044264463827,1.338583687079022,1.8548234768275897,1.0,366,0.01042704576755842,732,0.010103061913369491,0.9973383199322993,0.022884479561184116,0.01010306191336949,0.011379619406924134,0.024608267534695392
97,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,18,97,1.1982491090125738,0.995960773501495,1.6117846545250898,1.3445270431222645,1.7878601331974486,1.0,97,0.03342397335540075,291,0.030983239666113948,0.9433848108047449,0.06368875119906628,0.030983239666113948,0.034458424195141016,0.06906306360828866
229,2,isothermal,0.0,229,2.96685403327292,0.9935867128944893,7.24894749993263,3.69514140534336,9.935086117333162,direction_cardinality,0,0.0,,54,0,,,,,,1.0,229,0.008239105346206378,458,0.007329141505716698,0.9986533108791255,0.01670411890835127,0.007329141505716698,0.00799770052518294,0.017686934157999837
80,3,isothermal,0.0,80,1.4469780138134274,0.9889501699504425,2.135693210855088,1.361667417144409,1.983841136784,direction_cardinality,0,0.0,,8,0,,,,,,1.0,80,0.01384330123302166,240,0.011410298736977085,0.9971542158292853,0.01686115552564544,0.011410298736977085,0.012988040304974798,0.018912889996565277
772,,,0.0,309,2.9558163417828007,0.9887498505037952,8.476464079514109,3.617389904451954,10.056615215564502,all,1,0.0,,171,463,1.2948434362555652,0.9964567531722601,1.8378760913588388,1.4784156877526269,2.080597731391796,1.0,772,0.013338623167632293,1721,0.014189029388604666,0.9931373574720501,0.034236395823837286,0.013233108834843887,0.013548683096568327,0.032385521603890494
