attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
751,,,0.0,294,4.6069452799992066,0.9876774787062726,8.767152785670842,5.600627836886496,10.72340943646432,all,0,0.0,,170,457,1.7498215022180899,0.9922390792499499,2.2765082594559294,1.9104935001496117,2.432670091186941,1.0,751,0.033327078264312714,1670,0.03116334250613295,0.9728030184112134,0.04458827466128271,0.031093677847638578,0.03269617308686944,0.046781537376001776
457,,isobaric,0.0,0,,,,,,direction,0,0.0,,116,457,1.7498215022180899,0.9922390792499499,2.2765082594559294,1.9104935001496117,2.432670091186941,1.0,457,0.0362601267333387,1008,0.03356815786061815,0.9664041574981773,0.049107220089386915,0.033173927645674006,0.035514903464027615,0.05112837781270606
294,,isothermal,0.0,294,4.6069452799992066,0.9876774787062726,8.767152785670842,5.600627836886496,10.72340943646432,direction,0,0.0,,60,0,,,,,,1.0,294,0.026609937016191295,662,0.027501629700512013,0.9821019166653171,0.03665260196544108,0.02754877100861043,0.026781536834240758,0.035698566539309425
583,2,,0.0,220,5.284225102401424,0.9878244910872476,9.838118101117136,5.955804447115489,11.346995163769167,cardinality,0,0.0,,144,363,1.849681097193516,0.9916945325834019,2.3921057022852557,1.9774527207448622,2.5162541563545004,1.0,583,0.0330773292009737,1166,0.030423136958098507,0.9768335349559734,0.041895542766017264,0.030574792430602564,0.03181068536983969,0.04410247004175394
168,3,,0.0,74,2.5934106728574773,0.9574105144066745,4.1981779713391,3.291979870398033,5.0530564475854405,cardinality,0,0.0,,26,94,1.3641934918342646,0.994701616726917,1.7602292709281502,1.5459377435754698,1.9146233983917984,1.0,168,0.035650867789054456,504,0.03287580216686345,0.9468461485880543,0.050268031846717465,0.03287580216686344,0.037600412750418796,0.059473028240253245
363,2,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,98,363,1.849681097193516,0.9916945325834019,2.3921057022852557,1.9774527207448622,2.5162541563545004,1.0,363,0.03359712401848507,726,0.032079205726490284,0.973359769357299,0.04450695723156315,0.032079205726490284,0.03432286078029576,0.047542838580079946
94,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,18,94,1.3641934918342646,0.994701616726917,1.7602292709281502,1.5459377435754698,1.9146233983917984,1.0,94,0.03944027941074389,282,0.037401417610181356,0.9220187114274478,0.05933138536902823,0.03740141761018135,0.04200491363101213,0.06738173633006182
220,2,isothermal,0.0,220,5.284225102401424,0.9878244910872476,9.838118101117136,5.955804447115489,11.346995163769167,direction_cardinality,0,0.0,,52,0,,,,,,1.0,220,0.027529767795977312,440,0.02769062349025207,0.9822910118987908,0.03718793467479358,0.02769062349025207,0.026641729305803368,0.035687091483138526
74,3,isothermal,0.0,74,2.5934106728574773,0.9574105144066745,4.1981779713391,3.291979870398033,5.0530564475854405,direction_cardinality,0,0.0,,8,0,,,,,,1.0,74,0.02828456563132818,222,0.02712704741454071,0.974990708776921,0.0355677798095168,0.027127047414540705,0.027690285769083785,0.03577306468270406
751,,,0.0,294,5.969490970137305,0.9735813584178548,12.837014385759813,6.856895461652978,14.757372917692793,all,1,0.0,,170,457,2.6320095417848997,0.9817918487896746,3.4869484877425987,2.816316721416277,3.7207340337318717,1.0,751,0.046752166459635994,1670,0.04463844105751424,0.9483117787176071,0.06146899430873,0.04555420313318511,0.046400016363870936,0.0625847224953942
