attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
842,,,0.0,351,3.0110316421828554,0.9931450584563706,5.851675331853427,2.6208750537250673,5.476147970409058,all,0,0.0,,139,491,1.4136781575189397,0.9869247329781683,2.6431617498902003,1.1476309952403587,1.7912879078414303,1.0,842,0.013612015001384694,1847,0.012603896357074634,0.9958165335791155,0.023137511229180348,0.012492770612730297,0.011833907009814851,0.02477313973551863
491,,isobaric,0.0,0,,,,,,direction,0,0.0,,115,491,1.4136781575189397,0.9869247329781683,2.6431617498902003,1.1476309952403587,1.7912879078414303,1.0,491,0.013096982103621242,1076,0.011506535037416271,0.995864882154152,0.024450916877780577,0.010680031957510171,0.010856885260766358,0.024968698142693847
351,,isothermal,0.0,351,3.0110316421828554,0.9931450584563706,5.851675331853427,2.6208750537250673,5.476147970409058,direction,0,0.0,,26,0,,,,,,1.0,351,0.01409121508721674,771,0.014135362997739218,0.9957234067205029,0.021168750090646064,0.014319203741325252,0.015388147559829351,0.022891560996039045
679,2,,0.0,282,3.367701217339495,0.9931162720028968,6.449124208637295,2.787785756256911,5.783010853677365,cardinality,0,0.0,,118,397,1.5370837125610082,0.9843622713965463,2.8723690998364697,1.1734518008886836,1.8463963495434697,1.0,679,0.011460907107014359,1358,0.011090444832858804,0.9971122004221832,0.020169208282257368,0.011424073723738673,0.010169134822709239,0.02153401937294627
163,3,,0.0,69,1.5533385958905022,0.966143768827479,2.0510135635380315,1.3412263343142623,1.8707553877994263,cardinality,0,0.0,,21,94,0.8924866112242454,0.9968887471397352,1.2833843895064319,1.0084855425799426,1.4589096554096317,1.0,163,0.01949077711423245,489,0.016806896704487914,0.9875575095078539,0.02987194480308121,0.016806896704487914,0.021188341204027343,0.03816457096487762
397,2,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,97,397,1.5370837125610082,0.9843622713965463,2.8723690998364697,1.1734518008886836,1.8463963495434697,1.0,397,0.009920381971950375,794,0.008439937967638731,0.9978273021633637,0.01873465933130644,0.008439937967638731,0.00868655468772541,0.020880539708411017
94,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,18,94,0.8924866112242454,0.9968887471397352,1.2833843895064319,1.0084855425799426,1.4589096554096317,1.0,94,0.021191513230872615,282,0.020140854446648072,0.9830570669190944,0.03595701187628388,0.020140854446648076,0.022552555571042552,0.040416872138516496
282,2,isothermal,0.0,282,3.367701217339495,0.9931162720028968,6.449124208637295,2.787785756256911,5.783010853677365,direction_cardinality,0,0.0,,23,0,,,,,,1.0,282,0.014057891442820918,564,0.014821832157299833,0.9956570026502916,0.02203101585213318,0.01482183215729983,0.015699246589119774,0.02325736221203799
69,3,isothermal,0.0,69,1.5533385958905022,0.966143768827479,2.0510135635380315,1.3412263343142623,1.8707553877994263,direction_cardinality,0,0.0,,3,0,,,,,,1.0,69,0.013003055001936117,207,0.012264983258646545,0.9947047632871159,0.018617843623167336,0.012264983258646544,0.013003055001936117,0.01986454172049054
842,,,0.0,351,2.9200543665698864,0.993250529106285,5.8064836674370115,2.2530224588766474,4.721612349249604,all,1,0.0,,139,491,1.5356657058498384,0.9903309478875604,2.2729527511061,1.3810195851224696,1.9618922042475693,1.0,842,0.014221519215623316,1847,0.014038360032968435,0.9951540737521927,0.024902153101879963,0.013768133745874264,0.01269825450273173,0.024699220368180116
491,,isobaric,0.0,0,,,,,,direction,1,0.0,,115,491,1.5356657058498384,0.9903309478875604,2.2729527511061,1.3810195851224696,1.9618922042475693,1.0,491,0.013352849063999849,1076,0.012970931338764164,0.9953884093467681,0.025821209356246603,0.01192025230397887,0.011700476575708638,0.024594263075253565
351,,isothermal,0.0,351,2.9200543665698864,0.993250529106285,5.8064836674370115,2.2530224588766474,4.721612349249604,direction,1,0.0,,26,0,,,,,,1.0,351,0.015523992183917893,771,0.015528052996605004,0.9947028046615753,0.023559671756300395,0.015614883593790164,0.016487652520451944,0.024275840011521464
