epoch,stage,train_gradient_norm_max,train_gradient_norm_mean,train_physics_weight_scale,train_pressure,train_pure_vapor_pressure,train_teacher_forced_fugacity,train_temperature,train_total,train_vapor_composition,validation_pressure,validation_pure_vapor_pressure,validation_teacher_forced_fugacity,validation_temperature,validation_total,validation_vapor_composition
1,physics,5.4235148429870605,2.1035617196256413,0.5,0.002190272798463967,0.004120328391876232,0.0011967313975203824,0.0,0.005331802246303619,0.00048299955187311374,0.00479642053709868,0.0006751919253309565,0.0,0.0,0.006054111231735541,0.000920094743350591
2,physics,4.8714070320129395,2.065837045051841,1.0,0.0018026644309961704,0.003995555430615421,0.0010435668738639394,0.0,0.005288850548944578,0.0004448415263505766,0.00469333046466457,0.0006042686395614264,0.0,0.0,0.005922047691884815,0.0009265827890213275
3,physics,5.44727897644043,2.1264756332282273,1.0,0.0016993947602150098,0.0037258205005828494,0.0009868115499613464,0.0,0.004970827465932077,0.00042171090017081126,0.004502582130670075,0.0006000917057416557,0.0,0.0,0.005700449963484808,0.0008978220302641083
4,physics,7.50644063949585,2.2613873652271295,1.0,0.001610802124203952,0.003701582740837363,0.0009485687266774982,0.0,0.004824477271493932,0.000414315034108291,0.0046241646269551875,0.0005882983663486346,0.0,0.0,0.005820778300066849,0.0009024644749954878
5,physics,5.016691207885742,1.8056828555374755,1.0,0.0015740093660883852,0.0034602376664098176,0.000923813701896223,0.0,0.004639711880658314,0.0004117699578485621,0.004492431101428933,0.0005808594092402276,0.0,0.0,0.0056822206223798724,0.0008993598395855315
6,physics,5.661324501037598,2.0323534602029145,1.0,0.0015381165526549801,0.0035484676008774967,0.0009105672586853729,0.0,0.004620534912371526,0.0003976173005562387,0.004678775920520166,0.0005611650578804705,0.0,0.0,0.005851239039722589,0.0008918805061765787
7,physics,4.980203151702881,1.7923877976080453,1.0,0.0015020694591925475,0.0037470999718883587,0.0008935685994149317,0.0,0.004673541891854532,0.0004043538160037631,0.00452629737351793,0.0005495964298713907,0.0,0.0,0.005682633806305884,0.000881538086530529
8,physics,4.906935691833496,1.9371349151209305,1.0,0.0014749182548369527,0.0034498447968358205,0.000877432893675489,0.0,0.004480101432774796,0.00040282787780082787,0.004483325126150965,0.0006587643345906405,0.0,0.0,0.00569679980119747,0.0008840925215763901
9,physics,4.5066375732421875,2.0939455820583888,1.0,0.0014718735683075268,0.0033153703819206034,0.0008751383586759117,0.0,0.004398041675716436,0.0003933445481627451,0.004394330189820837,0.0005673829281910228,0.0,0.0,0.005564342931266897,0.000886321245410778
10,physics,5.157917022705078,1.6659781498059216,1.0,0.001447045452493839,0.0033103440248458704,0.0008595212998820934,0.0,0.0043575910394244854,0.00039585226070954117,0.004475102300475489,0.0005510902956347055,0.0,0.0,0.005627945864098952,0.0008772984090353045
