epoch,stage,train_gradient_norm_max,train_gradient_norm_mean,train_physics_weight_scale,train_pressure,train_pure_vapor_pressure,train_teacher_forced_fugacity,train_temperature,train_total,train_vapor_composition,validation_pressure,validation_pure_vapor_pressure,validation_teacher_forced_fugacity,validation_temperature,validation_total,validation_vapor_composition
1,physics,29.87162971496582,2.3649225897872967,0.5,0.002653373515448688,0.01010771080894465,0.0016666571768122794,0.0,0.009133714627670354,0.0005931571132396052,0.011036843132574404,0.0019186373648893862,0.0,0.0,0.014317390257781617,0.002321228492218192
2,physics,6.47003173828125,2.4220807473895944,1.0,0.0022248535884595967,0.009269015050464697,0.001516285478665487,0.0,0.008915240606323292,0.0005395940514516597,0.01111171228548863,0.001824527316524476,0.0,0.0,0.014354975880757152,0.0023309996963960956
3,physics,6.245270729064941,2.5149750236200368,1.0,0.002099862754186208,0.009092849291990281,0.0014424104405112925,0.0,0.008614748614086369,0.0005260507701875574,0.010946823524084466,0.0016849396087958307,0.0,0.0,0.014081645668050839,0.0022923525107184286
4,physics,8.656414985656738,2.6465135250094076,1.0,0.002011592668099789,0.008793255494996032,0.001392880929233388,0.0,0.008313051421529672,0.000511950070526005,0.010944326823857348,0.0017636981092588998,0.0,0.0,0.014115550299675197,0.002289374211140706
5,physics,6.032173156738281,2.3051817139363298,1.0,0.001960503818860618,0.00852351076777654,0.001357244290564987,0.0,0.008095121954482773,0.0005156184325563612,0.010781644930205083,0.00160102647126859,0.0,0.0,0.013871255124027803,0.0022890971009986282
6,physics,7.8048553466796875,2.502718613982027,1.0,0.0019538518762922262,0.009123141794122325,0.0013613611829246279,0.0,0.00838436173024434,0.0005075777823507737,0.01106537107227099,0.0015943053496339156,0.0,0.0,0.014184898752407983,0.002322374917522322
7,physics,5.05589485168457,2.2348695054963996,1.0,0.0019242350837259492,0.008120075167590574,0.001349746206063837,0.0,0.007833664982062859,0.0004996461385640816,0.010976483074054655,0.0015917218385846632,0.0,0.0,0.01408954643086488,0.0023172023091554144
8,physics,6.1314311027526855,2.3795018032672592,1.0,0.001900844221662993,0.008779823978580846,0.0013218584234564582,0.0,0.00811361453341434,0.0005009997925927429,0.010624915441422588,0.0015360886022128468,0.0,0.0,0.013682313392334451,0.002289353662030438
9,physics,7.838316917419434,2.4449600978953847,1.0,0.0018794391435192868,0.00842206258764255,0.0013215877336134137,0.0,0.007908606197292646,0.0004965480157286624,0.010820333672540712,0.0015906683060391705,0.0,0.0,0.013933418100802028,0.0023177502341212835
10,physics,5.2263593673706055,2.002515194006634,1.0,0.0018436313231697168,0.008137719838623651,0.0013024886375222681,0.0,0.007714989875214025,0.0005000098904013958,0.010551182161972176,0.0015280048556287988,0.0,0.0,0.013594323511375447,0.0022791390549524873
