epoch,stage,train_gradient_norm_max,train_gradient_norm_mean,train_physics_weight_scale,train_pressure,train_pure_vapor_pressure,train_teacher_forced_fugacity,train_temperature,train_total,train_vapor_composition,validation_pressure,validation_pure_vapor_pressure,validation_teacher_forced_fugacity,validation_temperature,validation_total,validation_vapor_composition
1,physics,5.555463790893555,2.127736625520137,0.5,0.002234475913202953,0.005956632141878801,0.0013324428603472536,0.0,0.006404844680134895,0.0005258312891973517,0.0011344252413626286,0.0006616478509288406,0.0,0.0,0.0022108884572032716,0.0007456392848289153
2,physics,5.874999046325684,2.1403687929057886,1.0,0.002030455231125242,0.005730034090639594,0.0012467305496851116,0.0,0.006627305461276311,0.0004851026004942312,0.000979976928730389,0.0006378346963491815,0.0,0.0,0.0020270407187358646,0.0007281464527692371
3,physics,4.724386692047119,1.9553708072445395,1.0,0.001973724027271684,0.00579439625857096,0.001210585844021914,0.0,0.006546964084478356,0.0004654561623490947,0.000919727462143856,0.0006846326128298404,0.0,0.0,0.0019783714239254295,0.000716327687869186
4,physics,5.408473968505859,2.0417541602418874,1.0,0.0019231438580045504,0.005430470290953283,0.0011730197873613592,0.0,0.00627409212809479,0.0004626933360325742,0.0008988555701255748,0.0005940790769437816,0.0,0.0,0.0019058281399509651,0.0007099330395572638
5,physics,6.264273643493652,2.0846259054072376,1.0,0.001918965262680637,0.005335614274065138,0.0011724570723650682,0.0,0.006213020749060284,0.00045379129106776255,0.0008826559200889162,0.0005723648457694174,0.0,0.0,0.0018747902850326675,0.0007059519419809116
6,physics,6.449092864990234,2.169298003569031,1.0,0.0018724410611401612,0.005734105792365911,0.0011559524312273522,0.0,0.00634538723849286,0.00044994084682445097,0.0009191205771952467,0.0006864904497918867,0.0,0.0,0.0019693120845262237,0.0007069462436820137
7,physics,5.411872386932373,1.9489375255073071,1.0,0.001854400554617937,0.0050431938614561665,0.0011328179740403995,0.0,0.005950135593391073,0.00044132012544254506,0.0008525789765353571,0.0006157931127904246,0.0,0.0,0.0018568030621031386,0.0006963275366731538
8,physics,5.949677467346191,1.9674465757447523,1.0,0.0018329189099233901,0.005315303191765259,0.0011187086070666382,0.0,0.00605331012576043,0.0004440310251211014,0.0008460459442365439,0.0006497868042964263,0.0,0.0,0.0018635052371920155,0.0006925659165123865
9,physics,4.823607444763184,1.8573877480510603,1.0,0.0018264900140461176,0.005631851981049283,0.0011142396706156628,0.0,0.006200184987056028,0.0004435293158862465,0.0008528194647288613,0.000682069714987438,0.0,0.0,0.0018830056667902926,0.0006891513402705025
10,physics,4.200049877166748,1.874236487889037,1.0,0.001816938832786922,0.005345958792943078,0.0011107510613233439,0.0,0.006042358318203683,0.00044168899653876793,0.0008406603628388237,0.0007996576481917561,0.0,0.0,0.0019234917320361073,0.0006830026077625386
