epoch,stage,train_gradient_norm_max,train_gradient_norm_mean,train_physics_weight_scale,train_pressure,train_pure_vapor_pressure,train_teacher_forced_fugacity,train_temperature,train_total,train_vapor_composition,validation_pressure,validation_pure_vapor_pressure,validation_teacher_forced_fugacity,validation_temperature,validation_total,validation_vapor_composition
1,physics,7.221257209777832,2.911185907994022,0.5,0.002729687898144802,0.007544287069010774,0.0015669718736004317,0.0,0.007827749641879758,0.0005424321979333533,0.0013341701668293322,0.001969802743130924,0.0,0.0,0.0027830524298255864,0.0004639809065618881
2,physics,6.012682914733887,2.7833924808399555,1.0,0.0023563063144988903,0.007380364742930839,0.0014082109592373408,0.0,0.007966075081223073,0.000511375456163943,0.0012589539239062598,0.002090724733014086,0.0,0.0,0.002754779474633695,0.0004504632583555223
3,physics,5.782071113586426,2.376454633923407,1.0,0.0022031347176681543,0.007110451611898975,0.0013357987083716053,0.0,0.007583936110267892,0.0004897769114000842,0.0013236072845757008,0.0020574236577388305,0.0,0.0,0.0027839754156731254,0.0004316563515307669
4,physics,8.259013175964355,2.208676014595853,1.0,0.0021508612310898235,0.006941376140870234,0.001297175584029307,0.0,0.0073998128556440265,0.0004810879673115006,0.001211255282599164,0.0019694893436728797,0.0,0.0,0.0026212911879115587,0.000425291167159764
5,physics,8.27740478515625,2.0687990217606043,1.0,0.002097666037395757,0.006654983021189913,0.0012705022178042921,0.0,0.007168070424939072,0.00047241066404691103,0.0011610623416653024,0.001936341202076506,0.0,0.0,0.002544357768023637,0.0004151248510936229
6,physics,7.003061294555664,2.340252499854838,1.0,0.002090976058074461,0.006780590042062226,0.00126029262277533,0.0,0.0072098400891149675,0.0004682763053293204,0.0011605950621471032,0.001911320914722868,0.0,0.0,0.0025278718085653745,0.0004116162962965964
7,physics,7.953303337097168,2.5224736999784834,1.0,0.0020760637460959398,0.006997172288680741,0.001238002121122968,0.0,0.007277222847715055,0.00046457081525059216,0.0010949159029463482,0.0019128828614125427,0.0,0.0,0.002464219136626937,0.00041286179949923314
8,physics,5.301004886627197,1.929541624144633,1.0,0.0020545157552439635,0.006778428850827976,0.001234340288260778,0.0,0.007134615599557367,0.0004565450905987389,0.0011047411707707157,0.002079358696821725,0.0,0.0,0.0025552674636837853,0.00041084691554317207
9,physics,6.294784069061279,2.270335129169755,1.0,0.002021475309873445,0.006449685692194471,0.0012083466777187512,0.0,0.006911424731475745,0.0004567599065841956,0.0011447812083052165,0.0020132105506780506,0.0,0.0,0.0025610473083415583,0.0004096607653312941
10,physics,6.799436569213867,2.0771269259410423,1.0,0.002016066920082401,0.006287001081286709,0.0011955758947970595,0.0,0.006810323767225438,0.0004551803918461026,0.0011381750859190427,0.0019981493827057493,0.0,0.0,0.002546422300508144,0.00040917248153521575
