epoch,stage,train_boundary,train_continuity,train_gradient_norm_max,train_gradient_norm_mean,train_pressure,train_pure_vapor_pressure,train_solver,train_temperature,train_total,train_vapor_composition,validation_boundary,validation_continuity,validation_pressure,validation_pure_vapor_pressure,validation_solver,validation_temperature,validation_total,validation_vapor_composition
1,experimental,0.0,0.0,44.32484817504883,17.481551724880205,0.6232378116630906,1.2518352367384344,0.0,0.0,1.292968574967594,0.04381313689881117,0.0,0.0,0.12382209415895393,0.14405734892710145,0.0,0.0,0.20566200405718332,0.009811234283429313
2,experimental,0.0,0.0,34.33695983886719,11.412757926158518,0.13861335551037507,0.25386171859729295,0.0,0.0,0.27726854862551215,0.011724334818110808,0.0,0.0,0.10619208220257817,0.08813846708241715,0.0,0.0,0.1566644546856363,0.006403138717434492
3,experimental,0.0,0.0,22.59402847290039,9.335095399124805,0.10076873799527082,0.19782281896212894,0.0,0.0,0.21019883743181383,0.010518690478802066,0.0,0.0,0.1247086536812495,0.1540231437388673,0.0,0.0,0.2079387060130935,0.006218480857380902
4,experimental,0.0,0.0,16.034940719604492,7.313168321656163,0.0841409656636607,0.17878840299772136,0.0,0.0,0.1842385645662975,0.010703397632122257,0.0,0.0,0.07956577602280192,0.09591034398560064,0.0,0.0,0.13344976729657276,0.0059288192091577025
5,experimental,0.0,0.0,18.196870803833008,6.855953052725288,0.06589424723002019,0.1571311737560531,0.0,0.0,0.15381355433182317,0.009353719887438577,0.0,0.0,0.08938875280949006,0.09829316616776478,0.0,0.0,0.14445406740688416,0.005918729099927538
6,experimental,0.0,0.0,21.701074600219727,7.996180266281518,0.061168958300618935,0.1446024496166471,0.0,0.0,0.14271982107650855,0.00924963781872899,0.0,0.0,0.07132446699472796,0.11372621226382543,0.0,0.0,0.13394194424870504,0.005754372265459184
7,experimental,0.0,0.0,19.390981674194336,8.713290160425872,0.05394805565026513,0.1309061606435463,0.0,0.0,0.12727256975621992,0.007871434597937484,0.0,0.0,0.06352501459509494,0.08341651102864599,0.0,0.0,0.11243202921496817,0.007198760441942028
8,experimental,0.0,0.0,44.955867767333984,8.578557879772116,0.04817539383693638,0.12594908966117077,0.0,0.0,0.11918103075908659,0.008031092202344221,0.0,0.0,0.05891966852078955,0.08847721391413585,0.0,0.0,0.10796044876417482,0.0048021731797201804
9,experimental,0.0,0.0,41.373741149902344,11.328929890945888,0.052382560234511044,0.12070031594465652,0.0,0.0,0.12018373660948796,0.007451018918942435,0.0,0.0,0.047240673633943124,0.07060204120465072,0.0,0.0,0.08817938471055893,0.005637691422444151
10,experimental,0.0,0.0,18.668725967407227,7.278606587558411,0.03802226775484368,0.1137265403837912,0.0,0.0,0.1022541572236568,0.007368618735383259,0.0,0.0,0.04829054594219449,0.07015888941395713,0.0,0.0,0.08843514953392098,0.005065158735511892
11,experimental,0.0,0.0,24.582300186157227,7.675005915262996,0.03488902725135827,0.09814510495634143,0.0,0.0,0.08997886080269638,0.0060172812858783585,0.0,0.0,0.04123795483126698,0.0386111083833209,0.0,0.0,0.06500943006880312,0.004465921818985637
12,experimental,0.0,0.0,46.016998291015625,12.526817302415918,0.036376470233517845,0.09305425940051419,0.0,0.0,0.08882420732097226,0.00592060733665574,0.0,0.0,0.05620111985558487,0.10024885529854212,0.0,0.0,0.11024926182735398,0.003923712402627052
13,experimental,0.0,0.0,38.27701187133789,10.239061106374523,0.03214649547362688,0.08923692600234358,0.0,0.0,0.08202347955251969,0.005258520910370211,0.0,0.0,0.033479447968034856,0.056770357247217594,0.0,0.0,0.06524289101362228,0.0033782645886068245
14,experimental,0.0,0.0,29.944766998291016,10.699278564145327,0.03000176435541061,0.08375916992904903,0.0,0.0,0.07653472753011857,0.004653378854399241,0.0,0.0,0.036299028355314074,0.03036507791334606,0.0,0.0,0.05483568068369325,0.003354113203394844
15,experimental,0.0,0.0,26.886512756347656,7.461036126108482,0.025424050434818806,0.07126269672785433,0.0,0.0,0.06524436628055225,0.004188967169193868,0.0,0.0,0.029529623148671115,0.04463202654417739,0.0,0.0,0.05507776616926653,0.0032321307376161758
16,experimental,0.0,0.0,20.94412612915039,8.29087960453222,0.020647930835588472,0.05984934655011848,0.0,0.0,0.05390217564011042,0.0033295713714142135,0.0,0.0,0.02276877296347934,0.0310511523117143,0.0,0.0,0.041173304527638906,0.0028789564164871553
17,experimental,0.0,0.0,24.806943893432617,7.783447774482977,0.01723312700767495,0.05183448618057803,0.0,0.0,0.04607594177710597,0.002925571570604873,0.0,0.0,0.029845569978456898,0.04397448675190828,0.0,0.0,0.05504038824015353,0.0032075745496809123
18,experimental,0.0,0.0,29.504398345947266,11.344943348037148,0.018915921385120747,0.05073506138648707,0.0,0.0,0.04707762893099161,0.002794176854567515,0.0,0.0,0.028890262463365693,0.03416682337242437,0.0,0.0,0.04800599097128374,0.0020323173095281406
19,experimental,0.0,0.0,47.63457107543945,12.483190024165918,0.02362247993408439,0.05258562869451967,0.0,0.0,0.052686082595791564,0.002770788365231322,0.0,0.0,0.0284480356128819,0.03681313016687531,0.0,0.0,0.04924210327935506,0.0023875024590461727
20,experimental,0.0,0.0,38.5173225402832,14.558289831222066,0.023028700472374933,0.04594016177526431,0.0,0.0,0.04839114129799285,0.002392360155181237,0.0,0.0,0.01767609836197043,0.017695438832672963,0.0,0.0,0.02833875389881881,0.0018149360761899186
21,experimental,0.0,0.0,34.576541900634766,11.419381584989596,0.018876837413779372,0.0432269784964156,0.0,0.0,0.042553386297067244,0.002063059722296874,0.0,0.0,0.018597674226186363,0.016004708804279923,0.0,0.0,0.028286227615303305,0.0016861986913101143
22,experimental,0.0,0.0,22.897525787353516,8.787593897775336,0.014078778706351368,0.03664308870651759,0.0,0.0,0.03425125680092522,0.001850933501807372,0.0,0.0,0.014281824051615703,0.012030552783195514,0.0,0.0,0.02224814224404743,0.001951041690870581
23,experimental,0.0,0.0,37.54019546508789,11.110582037930188,0.014227097787841465,0.03246777616770922,0.0,0.0,0.03203676059504681,0.0015757746311153816,0.0,0.0,0.03204308632447059,0.026828223179621868,0.0,0.0,0.04696702230048467,0.0015098250440198433
24,experimental,0.0,0.0,30.76877784729004,11.12156225529144,0.012484877185342384,0.0322460845890438,0.0,0.0,0.030064131704850908,0.001456212109662127,0.0,0.0,0.01513455299638122,0.010276574174682779,0.0,0.0,0.021965957899768667,0.0016931173837665154
25,experimental,0.0,0.0,45.59212112426758,8.839856087696049,0.011708512615251517,0.03142701536184298,0.0,0.0,0.028980230033118424,0.0015582098519669062,0.0,0.0,0.027904497477484035,0.027419967702533826,0.0,0.0,0.043237521346793116,0.0016230400906965495
26,experimental,0.0,0.0,40.26179122924805,13.621993880046029,0.014337224978662712,0.03143972252515707,0.0,0.0,0.03137996485834977,0.0013228783475496358,0.0,0.0,0.015431291206055377,0.008248997588237994,0.0,0.0,0.021150413465248534,0.0015946233476770212
27,experimental,0.0,0.0,22.585718154907227,6.485679574834376,0.008943118710111572,0.025819765796321545,0.0,0.0,0.023114360915957515,0.0012613592912924885,0.0,0.0,0.02054177377687161,0.009102569861584399,0.0,0.0,0.026574917164552642,0.001481858215081584
28,experimental,0.0,0.0,25.53833770751953,9.893335458948114,0.009691726594032765,0.026779329882683073,0.0,0.0,0.02417063583120052,0.0010892443588213924,0.0,0.0,0.01456788237015885,0.005623012579730656,0.0,0.0,0.01885137123964637,0.0014719826110403042
29,experimental,0.0,0.0,38.44439697265625,14.054050415769833,0.013997943897841654,0.031912883642803,0.0,0.0,0.03123368786668278,0.001279302399637154,0.0,0.0,0.0117459926125874,0.009918507152091128,0.0,0.0,0.018427659566682505,0.001722413663617728
30,experimental,0.0,0.0,36.47993469238281,10.311620710666821,0.01071415931899789,0.025740715293373108,0.0,0.0,0.02465946245401611,0.0010749454582809387,0.0,0.0,0.01592960478850158,0.006561298299782786,0.0,0.0,0.020827966273190026,0.0016177125513576062
31,experimental,0.0,0.0,32.63251495361328,8.823682243658936,0.010282596131449275,0.025298052141127767,0.0,0.0,0.024104604989999032,0.0011729827395198893,0.0,0.0,0.015469451280063893,0.00706542882709259,0.0,0.0,0.02062456351087754,0.001622397743210376
32,experimental,0.0,0.0,23.51335334777832,9.163232725402578,0.010558357471013554,0.026636225296953333,0.0,0.0,0.02499900684575126,0.0011225366304502015,0.0,0.0,0.013310845245618418,0.006658163942755705,0.0,0.0,0.017958540357200497,0.0013186133211388826
33,experimental,0.0,0.0,15.42168140411377,6.387262235017943,0.008597064716765683,0.022328291113552855,0.0,0.0,0.020720449689570146,0.0009592394009079805,0.0,0.0,0.019911358164376523,0.007182987345135714,0.0,0.0,0.0250632726912757,0.0015604210456451738
