epoch,stage,train_boundary,train_continuity,train_gradient_norm_max,train_gradient_norm_mean,train_pressure,train_pure_vapor_pressure,train_solver,train_temperature,train_total,train_vapor_composition,validation_boundary,validation_continuity,validation_pressure,validation_pure_vapor_pressure,validation_solver,validation_temperature,validation_total,validation_vapor_composition
1,experimental,0.0,0.0,36.4791259765625,15.460854221188171,0.5734563706083583,0.9392086386403768,0.0,0.0,1.0839675394455506,0.04090684988589511,0.0,0.0,0.11386297095754734,0.1606410055641154,0.0,0.0,0.20402963672930113,0.009846162895822715
2,experimental,0.0,0.0,25.993053436279297,9.876701553392882,0.12416216243593924,0.21104343387574345,0.0,0.0,0.24118407876829143,0.011500198978341107,0.0,0.0,0.11813124326559213,0.14098479474254882,0.0,0.0,0.19589196418261337,0.007268323953354865
3,experimental,0.0,0.0,23.369537353515625,8.935851893539128,0.0949663161278495,0.1728206483552509,0.0,0.0,0.19051582538451242,0.009139185580245842,0.0,0.0,0.11241045695005741,0.12359220633377131,0.0,0.0,0.18669764219291646,0.012491083807689917
4,experimental,0.0,0.0,23.087377548217773,9.416297963478458,0.08206952863063531,0.16263867190913586,0.0,0.0,0.17305096752504173,0.00966210314130897,0.0,0.0,0.09545595702821444,0.13685072173885704,0.0,0.0,0.16948760694154694,0.0056062898047722935
5,experimental,0.0,0.0,17.906009674072266,7.079073848022483,0.06288614457414819,0.13912837915641574,0.0,0.0,0.1419301489974766,0.009479814947491724,0.0,0.0,0.09243391292164749,0.1607740070838827,0.0,0.0,0.18667385219262828,0.013852937767079559
6,experimental,0.0,0.0,19.832435607910156,7.739484108387324,0.06738071733143154,0.149360628718526,0.0,0.0,0.1521639991008172,0.010102967668656999,0.0,0.0,0.07513801741663277,0.14457813634559394,0.0,0.0,0.1572790003581768,0.009851914525417418
7,experimental,0.0,0.0,18.27456283569336,6.789091383713803,0.053164640998533685,0.13045791638696763,0.0,0.0,0.12732290516754866,0.00892930630615787,0.0,0.0,0.06314278146948675,0.11467324355394834,0.0,0.0,0.1288013310228482,0.008321926609146105
8,experimental,0.0,0.0,22.571199417114258,6.903156094030353,0.04330591082118644,0.10688375241631225,0.0,0.0,0.10423518337351063,0.007487396503270393,0.0,0.0,0.07161385309079597,0.12551348190013548,0.0,0.0,0.14191582609234818,0.007545229647832302
9,experimental,0.0,0.0,23.86841583251953,8.107001920306883,0.04006998116150277,0.10328717367754417,0.0,0.0,0.0987144299574632,0.007000861971274088,0.0,0.0,0.041927820333435305,0.0816625927127799,0.0,0.0,0.0907266058166084,0.007967489738195187
10,experimental,0.0,0.0,25.036102294921875,8.57222120750798,0.03406776267535185,0.09648499594276201,0.0,0.0,0.08857440309370787,0.006264142188551569,0.0,0.0,0.033376937292377895,0.0642552867689879,0.0,0.0,0.07192233058596796,0.006417750252474998
11,experimental,0.0,0.0,38.24458694458008,9.844401062791285,0.036916962231275254,0.09612354111492925,0.0,0.0,0.09062266154056137,0.005643929162803481,0.0,0.0,0.05140782591321108,0.08163245366169856,0.0,0.0,0.10085203862237678,0.008627984569030035
12,experimental,0.0,0.0,29.71532440185547,9.939083246016652,0.02889531880849612,0.07971860651480055,0.0,0.0,0.07356778812694864,0.004813166468485088,0.0,0.0,0.03091465753925574,0.06059856355111226,0.0,0.0,0.06600903721639902,0.004795098817470022
13,experimental,0.0,0.0,36.89714050292969,8.34844133350499,0.024713878536137057,0.06810201001945274,0.0,0.0,0.06310824990073768,0.004343366296534895,0.0,0.0,0.033281556214514715,0.052233267496451144,0.0,0.0,0.06622560905287689,0.006827418762197427
14,experimental,0.0,0.0,33.680511474609375,10.389314408215423,0.022383058482928122,0.06091473758490409,0.0,0.0,0.05633715175405434,0.0034967244325350534,0.0,0.0,0.023607345060778866,0.03776175724416576,0.0,0.0,0.046843763628594125,0.00435554090114088
15,experimental,0.0,0.0,33.246971130371094,11.240925968097933,0.020589763064385952,0.05336413813944131,0.0,0.0,0.05055688036326441,0.0032850485024433613,0.0,0.0,0.02689784994492164,0.03789463262777746,0.0,0.0,0.04938909071509971,0.003543924353460952
16,experimental,0.0,0.0,37.10236358642578,11.145934743030562,0.020057938945285264,0.05811364375648434,0.0,0.0,0.051976107585298116,0.0028613470716292574,0.0,0.0,0.024584932573910416,0.030546067905086106,0.0,0.0,0.04225652851658411,0.002398562569428107
17,experimental,0.0,0.0,27.633806228637695,11.075813664443949,0.02096111930346005,0.05268978184747656,0.0,0.0,0.049945146623567215,0.002639136188354654,0.0,0.0,0.018070485423114003,0.02775884347051303,0.0,0.0,0.03465236513937184,0.002702457876937755
18,experimental,0.0,0.0,23.702518463134766,8.33265940001909,0.015055504045130327,0.04170299733382145,0.0,0.0,0.038129985221577664,0.002222982484997481,0.0,0.0,0.016395178606205024,0.0228388370224707,0.0,0.0,0.0305170110804807,0.0027024139750832865
19,experimental,0.0,0.0,28.398147583007812,8.854508922740903,0.013427544463387278,0.03601347758516011,0.0,0.0,0.0332871051495226,0.0018528219336358552,0.0,0.0,0.012151888532153966,0.01285347700445105,0.0,0.0,0.020615062777654562,0.0020364361604557073
20,experimental,0.0,0.0,26.533920288085938,7.5715842991481725,0.01375291982573158,0.03598140203491043,0.0,0.0,0.033467021910634526,0.0017234009517671962,0.0,0.0,0.017129772290864105,0.021303580572398808,0.0,0.0,0.029976723572382562,0.0021951609264579982
21,experimental,0.0,0.0,24.968852996826172,9.76103538868895,0.012208584525916454,0.029920323562541148,0.0,0.0,0.028651134178310375,0.0014823877499319038,0.0,0.0,0.013419397288948219,0.010783885895899578,0.0,0.0,0.02047732860017914,0.001665987957680267
22,experimental,0.0,0.0,30.684406280517578,9.716601900845976,0.011278483282867409,0.029484461715257038,0.0,0.0,0.02735256505589961,0.0013318509399150899,0.0,0.0,0.01476941087260961,0.013698213342181962,0.0,0.0,0.023054976895728226,0.001436459414404014
23,experimental,0.0,0.0,27.88552474975586,7.086314753576363,0.009272751125819937,0.02570408052564416,0.0,0.0,0.023261830178299615,0.0011370385804510715,0.0,0.0,0.011765176299415944,0.010176585457319844,0.0,0.0,0.018055453036840145,0.0012019840674351318
24,experimental,0.0,0.0,26.053646087646484,7.682005479078257,0.010972299366835378,0.027353198729243407,0.0,0.0,0.025899773963595184,0.0012508752727871091,0.0,0.0,0.01858728158161716,0.02017069420226373,0.0,0.0,0.03027219619769949,0.0015995680596630041
25,experimental,0.0,0.0,24.338685989379883,9.421645310772051,0.013137757896510132,0.028065335581595307,0.0,0.0,0.028435066191958035,0.00126464050376296,0.0,0.0,0.01295629866416282,0.010667903285809553,0.0,0.0,0.019733463861147035,0.001443213247755834
26,experimental,0.0,0.0,32.79827880859375,9.45782052481105,0.011638798265034377,0.02709812267395188,0.0,0.0,0.02643880834125317,0.0012509487351807244,0.0,0.0,0.008570140379602065,0.00682142191623345,0.0,0.0,0.013327083255186558,0.0013462320508667582
27,experimental,0.0,0.0,26.415863037109375,9.669671304540804,0.011586280189373813,0.02798686317063143,0.0,0.0,0.026706239178189355,0.0011265272271369223,0.0,0.0,0.013635291144824944,0.010473167924865072,0.0,0.0,0.02017701087909842,0.001305135577918334
28,experimental,0.0,0.0,27.036001205444336,10.101255195146802,0.008903542806358796,0.020561474536511637,0.0,0.0,0.02009433482038149,0.0009100546951878352,0.0,0.0,0.007666685234320496,0.0062281501229941374,0.0,0.0,0.011959997833328474,0.0011792375351949557
29,experimental,0.0,0.0,30.76022720336914,9.980468481456125,0.010621748604341797,0.024028540058648202,0.0,0.0,0.02353398778907377,0.0008979692004794717,0.0,0.0,0.009271328543764923,0.0064223113546051595,0.0,0.0,0.013666935620794879,0.0011844515486432619
30,experimental,0.0,0.0,22.85405921936035,8.30971179207805,0.009096249132073872,0.022962235394493498,0.0,0.0,0.021491118117268986,0.0009137512131386607,0.0,0.0,0.007399182709857861,0.003865227018623793,0.0,0.0,0.010465332511960669,0.0011335363838851293
31,experimental,0.0,0.0,19.368112564086914,6.725331010656071,0.00828250762519053,0.021389466182894296,0.0,0.0,0.019861824484980112,0.0008845837126233458,0.0,0.0,0.010925013972174583,0.010021996192772446,0.0,0.0,0.016846027847784585,0.0009100158834417378
32,experimental,0.0,0.0,33.77446746826172,9.106220795737146,0.008011874787725052,0.018718326026417393,0.0,0.0,0.01812891286441907,0.000757875038197534,0.0,0.0,0.025702346407805894,0.017133994272537034,0.0,0.0,0.035529487324132525,0.0012601437227768373
33,experimental,0.0,0.0,26.78014373779297,9.096308281837056,0.007548617854771181,0.018256928079647437,0.0,0.0,0.01742750782121629,0.0007504258648645675,0.0,0.0,0.007581420929544168,0.00557456752507693,0.0,0.0,0.01120394709907887,0.0008352423003079266
34,experimental,0.0,0.0,14.557088851928711,6.521313328394879,0.006309946357608959,0.01619855991057937,0.0,0.0,0.015110096212654394,0.000700869992477634,0.0,0.0,0.00546573282686366,0.003871216621516712,0.0,0.0,0.008297448682621002,0.0008961076021258687
35,experimental,0.0,0.0,18.446752548217773,7.483638696873828,0.006137904313561412,0.01648659463978508,0.0,0.0,0.015020190238707744,0.0006389885516454873,0.0,0.0,0.007720118734382824,0.006561763851411779,0.0,0.0,0.01182693069361012,0.0008259300863251723
36,experimental,0.0,0.0,17.087968826293945,9.579240278955215,0.006584866869533864,0.01559719410811726,0.0,0.0,0.015040544519280555,0.000657080518237282,0.0,0.0,0.006228047115505927,0.0033610393558764725,0.0,0.0,0.008700045486492171,0.000791478770555291
37,experimental,0.0,0.0,12.537022590637207,5.296583115919667,0.005126578535015518,0.016070395104837293,0.0,0.0,0.013770261704340547,0.0006084857175237694,0.0,0.0,0.005097577691730359,0.004264374638460478,0.0,0.0,0.008166173402595504,0.00093640830100388
38,experimental,0.0,0.0,24.23549461364746,7.734203672471523,0.0077230234406254076,0.016032471746064095,0.0,0.0,0.016498161928078948,0.0007589026134440868,0.0,0.0,0.010143034147785418,0.010026564158311494,0.0,0.0,0.016291695414728607,0.001135379115684052
39,experimental,0.0,0.0,17.6191463470459,6.263917327622821,0.006289648615592212,0.014738336236315838,0.0,0.0,0.014361561312841187,0.000702744492219744,0.0,0.0,0.008322521587166768,0.0034946596304903333,0.0,0.0,0.011036457794048979,0.0009666064520062636
