epoch,stage,train_boundary,train_continuity,train_gradient_norm_max,train_gradient_norm_mean,train_pressure,train_pure_vapor_pressure,train_solver,train_temperature,train_total,train_vapor_composition,validation_boundary,validation_continuity,validation_pressure,validation_pure_vapor_pressure,validation_solver,validation_temperature,validation_total,validation_vapor_composition
1,experimental,0.0,0.0,42.80126190185547,17.458828407782168,0.7935793588042794,1.3667997560113336,0.0,0.0,1.5296613469929032,0.05268210154649335,0.0,0.0,0.28794959882628823,0.26306696184199235,0.0,0.0,0.43690322830913536,0.017420146948890138
2,experimental,0.0,0.0,17.32770538330078,10.187506105944314,0.17093249356379264,0.27492887686413564,0.0,0.0,0.3238755852962917,0.015478653231973397,0.0,0.0,0.1608416394158279,0.13942475916553118,0.0,0.0,0.2402303741380932,0.009676354045882301
3,experimental,0.0,0.0,20.97775650024414,9.971882343223239,0.12220262755056208,0.22888225769793102,0.0,0.0,0.24899517896464826,0.012351422832752944,0.0,0.0,0.15152012079394855,0.14693264795052782,0.0,0.0,0.23256954023409784,0.007583095322565323
4,experimental,0.0,0.0,26.365083694458008,8.838275262785448,0.10628718964409473,0.20768483045856337,0.0,0.0,0.2219816968028236,0.011852090308290973,0.0,0.0,0.15460848972081498,0.101361904113526,0.0,0.0,0.21899097051281713,0.013701529406889993
5,experimental,0.0,0.0,16.132034301757812,7.36965631710743,0.08796176373540295,0.15840667495031016,0.0,0.0,0.17685004042882232,0.009684938373187787,0.0,0.0,0.14169583577492922,0.20684498041149119,0.0,0.0,0.25100713736569913,0.005888812217721591
6,experimental,0.0,0.0,23.93675994873047,9.304359248087765,0.08359802269375871,0.1616996283202419,0.0,0.0,0.17384101855152856,0.009393181378808024,0.0,0.0,0.08951831383296056,0.0882392229447416,0.0,0.0,0.1401896816316303,0.006551757238895181
7,experimental,0.0,0.0,14.661181449890137,6.059647742133292,0.06583866533018663,0.13800670656643355,0.0,0.0,0.14402171112774872,0.009179692686163617,0.0,0.0,0.07717078598590703,0.13498158109731392,0.0,0.0,0.1525603045407313,0.007898724765264636
8,experimental,0.0,0.0,19.515562057495117,5.8557868511661955,0.06353798136276785,0.14152429696598856,0.0,0.0,0.1439817553016043,0.009681624464147335,0.0,0.0,0.06886090473059675,0.10256927714111339,0.0,0.0,0.12602076277975743,0.005875217534811423
9,experimental,0.0,0.0,14.051292419433594,5.440931456597181,0.048969397170143314,0.12002535943158059,0.0,0.0,0.11715104525676771,0.008168968197398697,0.0,0.0,0.09673509858648514,0.17084706498774382,0.0,0.0,0.18873108767632185,0.006572458760727986
10,experimental,0.0,0.0,18.13639259338379,6.132838213604174,0.042190961042752474,0.11520880422790875,0.0,0.0,0.10749813652973482,0.00770277368385065,0.0,0.0,0.06609678585032355,0.09701602876026573,0.0,0.0,0.12005040359161495,0.005445605121433095
