epoch,stage,train_boundary,train_continuity,train_gradient_norm_max,train_gradient_norm_mean,train_pressure,train_pure_vapor_pressure,train_solver,train_temperature,train_total,train_vapor_composition,validation_boundary,validation_continuity,validation_pressure,validation_pure_vapor_pressure,validation_solver,validation_temperature,validation_total,validation_vapor_composition
1,experimental,0.0,0.0,33.29883575439453,13.650590440017941,0.7237787843915158,1.502172982302963,0.0,0.0,1.5311451834930143,0.05627990866503795,0.0,0.0,0.1982555575713426,0.47222491738325106,0.0,0.0,0.4570132249932803,0.022645210582919108
2,experimental,0.0,0.0,15.521368026733398,6.1790957580681685,0.16827623579703038,0.3648299469881976,0.0,0.0,0.3742076409845997,0.02351643285735077,0.0,0.0,0.11776972894897005,0.16073079251957512,0.0,0.0,0.21233732949741585,0.014202204970141014
3,experimental,0.0,0.0,16.044607162475586,5.4818647461228185,0.10411451194933713,0.24345192426549467,0.0,0.0,0.24269689352069498,0.016856419904089825,0.0,0.0,0.0956896230846108,0.1845000484032545,0.0,0.0,0.19861939740395118,0.010679751793536063
4,experimental,0.0,0.0,11.37395191192627,5.315008346373268,0.07981872445141507,0.19644663244256816,0.0,0.0,0.19111587016536216,0.013073830159643796,0.0,0.0,0.0888338196576534,0.188517805773341,0.0,0.0,0.19155885714167606,0.008466133450208132
5,experimental,0.0,0.0,16.939584732055664,5.279118718401566,0.0691026268034137,0.1836944833034896,0.0,0.0,0.17280531820005407,0.011855450592633258,0.0,0.0,0.06943557661272094,0.14956067079555488,0.0,0.0,0.15283160985497657,0.008615695957016356
6,experimental,0.0,0.0,9.352105140686035,4.425374102930981,0.05827746073106032,0.15567788856619114,0.0,0.0,0.14727782823462746,0.011161424292638942,0.0,0.0,0.07057527679793849,0.15410221465333493,0.0,0.0,0.1554777015067503,0.00785132051796881
7,experimental,0.0,0.0,9.773768424987793,4.728905374438281,0.051287867730563236,0.14287144436964505,0.0,0.0,0.13263730037269825,0.009913710065834322,0.0,0.0,0.060753043885984105,0.1279088619940295,0.0,0.0,0.131903962806581,0.007196490850277289
8,experimental,0.0,0.0,9.518312454223633,4.489533905500357,0.04217697422375464,0.1316934425684178,0.0,0.0,0.11752401658593327,0.009500320984437136,0.0,0.0,0.05599946366723426,0.151993236998598,0.0,0.0,0.13959211989523407,0.007596038269090974
9,experimental,0.0,0.0,8.60227108001709,4.283732219243618,0.039334529170117934,0.12224627104808036,0.0,0.0,0.1093862279579946,0.008928563278818679,0.0,0.0,0.06089716635332136,0.141329418684908,0.0,0.0,0.13842456498278116,0.006862690747007282
10,experimental,0.0,0.0,14.032373428344727,5.0429953554885625,0.04111223786116283,0.11765977260372175,0.0,0.0,0.10825896329456697,0.008316839899456764,0.0,0.0,0.05986040542850237,0.16180360245847417,0.0,0.0,0.14889921852928437,0.0081370109792598
11,experimental,0.0,0.0,10.147775650024414,4.323710837059225,0.032570170305821676,0.10688735971219282,0.0,0.0,0.09383139607514877,0.007817546759512612,0.0,0.0,0.0600689810817827,0.15725491289607066,0.0,0.0,0.14546416018180505,0.006767722899317295
12,experimental,0.0,0.0,10.201872825622559,4.790948542328696,0.03284923946423054,0.10193596233322516,0.0,0.0,0.09129049577633198,0.007473274518602141,0.0,0.0,0.07165105809976241,0.17346544608384548,0.0,0.0,0.16778173892797824,0.009397957189577425
13,experimental,0.0,0.0,15.4356050491333,5.238862281574221,0.03109865351226455,0.09530818652494105,0.0,0.0,0.0853005464621722,0.006547800013891333,0.0,0.0,0.04384593209195994,0.12061792419342224,0.0,0.0,0.11037247265259663,0.006217578890549387
14,experimental,0.0,0.0,15.268567085266113,5.0686256948572685,0.02794625116707494,0.0879691888044336,0.0,0.0,0.07803597383834864,0.006105128750792196,0.0,0.0,0.03625177877124198,0.08003177999736306,0.0,0.0,0.08158012501850813,0.005312455086104438
15,experimental,0.0,0.0,16.957605361938477,5.8425752052932225,0.02575342163348456,0.08235936109847633,0.0,0.0,0.0723230025917971,0.005389900633868015,0.0,0.0,0.04396917462616624,0.09899265295017265,0.0,0.0,0.09863547576580219,0.0051699740154122166
16,experimental,0.0,0.0,12.677268028259277,4.933153034452195,0.02246435993613443,0.07007230099368734,0.0,0.0,0.06239826055659716,0.004897750293336429,0.0,0.0,0.03136138433289385,0.0798326789262052,0.0,0.0,0.07586309914281981,0.0045853751421554715
17,experimental,0.0,0.0,16.095638275146484,6.45410360590592,0.02126476262820191,0.06689395919836202,0.0,0.0,0.0588737969071166,0.004162054667541687,0.0,0.0,0.029138455098260664,0.06563891936205105,0.0,0.0,0.06599135894082978,0.0040334444548823165
18,experimental,0.0,0.0,14.733092308044434,4.936976283916788,0.01799355257145786,0.05877603947877558,0.0,0.0,0.05107027371736093,0.003688701433962425,0.0,0.0,0.025445497312588605,0.05689518608732852,0.0,0.0,0.059044326404611505,0.005151236244661366
19,experimental,0.0,0.0,15.760010719299316,5.70385585956094,0.015949401174090494,0.05494596639407152,0.0,0.0,0.046570498602564514,0.003148114406902858,0.0,0.0,0.023520117605517723,0.05134050888929539,0.0,0.0,0.052038895887529066,0.002848523217225503
20,experimental,0.0,0.0,15.11619758605957,5.214596581766502,0.015618358324314019,0.048568326085310934,0.0,0.0,0.042589026581512014,0.0026865049484416977,0.0,0.0,0.021768139731027408,0.03899212326118332,0.0,0.0,0.04469566724436012,0.003431465422098865
21,experimental,0.0,0.0,19.957365036010742,5.04829128586378,0.013148700030974512,0.04400484137925161,0.0,0.0,0.037561969523692604,0.0024108490159213923,0.0,0.0,0.02348725509322332,0.03796452183923322,0.0,0.0,0.04556259741326292,0.003093081590591255
22,experimental,0.0,0.0,15.175853729248047,6.1022592475983535,0.013790658307554736,0.04387664041808609,0.0,0.0,0.03785970052797626,0.002130721969222093,0.0,0.0,0.02159746994158465,0.019793599112305098,0.0,0.0,0.03404775697314097,0.002553487550690324
23,experimental,0.0,0.0,18.48444366455078,5.2979916930121025,0.011713460960383098,0.03964680894118463,0.0,0.0,0.03342777245441568,0.0018909070767271548,0.0,0.0,0.022433015142015355,0.01564470745489269,0.0,0.0,0.03224530612637183,0.0019899376762841274
24,experimental,0.0,0.0,11.665702819824219,4.118480776318104,0.009619899021074131,0.03494064345950026,0.0,0.0,0.028743239136875428,0.0016530183896905698,0.0,0.0,0.02195894205998518,0.010528838081274203,0.0,0.0,0.02929620678553324,0.002072845789196784
25,experimental,0.0,0.0,13.995779991149902,4.84887938805665,0.009080056067116017,0.03130402867895183,0.0,0.0,0.02613701287477964,0.0014049425864985493,0.0,0.0,0.01728628625769815,0.010892663958543788,0.0,0.0,0.0245164305328609,0.001783812343851178
26,experimental,0.0,0.0,14.917048454284668,5.632098007034445,0.010480757810246266,0.034398869765026895,0.0,0.0,0.029038108857628794,0.0013579162035528773,0.0,0.0,0.02343080459597582,0.011374421248178996,0.0,0.0,0.03133282220649148,0.0022148073098795145
27,experimental,0.0,0.0,14.89751148223877,5.80033286207586,0.009100950748491167,0.03127940259775603,0.0,0.0,0.02603849608711224,0.001297843985303691,0.0,0.0,0.022886445422372417,0.01125070509796371,0.0,0.0,0.0300673299206945,0.0015555325025569894
28,experimental,0.0,0.0,12.182551383972168,4.009328184268182,0.007590143848598776,0.028215395416969803,0.0,0.0,0.022840948150889537,0.0011431067141941915,0.0,0.0,0.020738574576948932,0.006298480624567249,0.0,0.0,0.025818873504678645,0.0019310586957517499
29,experimental,0.0,0.0,10.873180389404297,4.363542655397241,0.007849595995086842,0.02962930550294353,0.0,0.0,0.023812715820623623,0.001148466885680549,0.0,0.0,0.0228770920616424,0.00813328231166223,0.0,0.0,0.028762617707252504,0.0018188850597260955
30,experimental,0.0,0.0,12.550040245056152,5.160682331635273,0.007841612204292567,0.027621279683345497,0.0,0.0,0.022733164921847425,0.0010809128019416221,0.0,0.0,0.021117124782350963,0.005673687222475064,0.0,0.0,0.02560913088078984,0.0016551622931293385
31,experimental,0.0,0.0,14.136741638183594,3.88574650246634,0.007006992241184514,0.026769048479439415,0.0,0.0,0.02133958498546139,0.0009480684757452486,0.0,0.0,0.01805694122871239,0.0074763048016382545,0.0,0.0,0.023602063231125563,0.0018069702072325581
32,experimental,0.0,0.0,13.168667793273926,3.9264065810008892,0.007243163852144595,0.025597970854596294,0.0,0.0,0.021041526009934138,0.0009993766277541537,0.0,0.0,0.016393024532380934,0.005843683247437734,0.0,0.0,0.02108533791082348,0.0017704718350293393
33,experimental,0.0,0.0,10.02956771850586,4.637064418554213,0.007872759384925989,0.027261527896439857,0.0,0.0,0.02252048327286324,0.0010169598723125935,0.0,0.0,0.02148968552400966,0.0061811197839097345,0.0,0.0,0.02594164957900247,0.0013614040799438953
34,experimental,0.0,0.0,10.2245454788208,4.585568338411308,0.007526895531993158,0.025869606651624882,0.0,0.0,0.021445998313240015,0.0009842994495886269,0.0,0.0,0.018444390550345004,0.00511509807345396,0.0,0.0,0.02274870119408933,0.001746761397330347
35,experimental,0.0,0.0,10.65725040435791,4.265809688342026,0.006214403946831448,0.02371489221093793,0.0,0.0,0.018954803764391136,0.0008829537593195247,0.0,0.0,0.016143576774054657,0.005236334286763997,0.0,0.0,0.020350090668586913,0.0015883467065360018
36,experimental,0.0,0.0,12.101378440856934,5.256529204932696,0.00652542656598841,0.02380076654777523,0.0,0.0,0.01928023488043776,0.0008544250113252194,0.0,0.0,0.024696099062165813,0.00799437509682364,0.0,0.0,0.030228224361014223,0.0015349380605056615
37,experimental,0.0,0.0,10.971991539001465,5.406374482448887,0.0064199660348847765,0.022453886598360263,0.0,0.0,0.018487615994618976,0.0008407065886000876,0.0,0.0,0.01794701389923781,0.0035405842754655257,0.0,0.0,0.021133856073824946,0.001416549756899922
38,experimental,0.0,0.0,9.146589279174805,3.8597748847589743,0.006444907175580575,0.023814619296449104,0.0,0.0,0.019196266861373098,0.0008440501034259554,0.0,0.0,0.018338492816079875,0.005551047971148691,0.0,0.0,0.02297828591869263,0.0018642689999259874
39,experimental,0.0,0.0,11.4370698928833,3.9666063559463716,0.005566544426643683,0.021566822519046697,0.0,0.0,0.01712503363627645,0.0007750779301912816,0.0,0.0,0.01602317592697943,0.003188134848089989,0.0,0.0,0.019106372405668932,0.001489128807035392
40,experimental,0.0,0.0,10.24029541015625,4.484477683406828,0.005554993529604491,0.021447167398331142,0.0,0.0,0.01703262961617229,0.0007540524902759476,0.0,0.0,0.016981777762938403,0.004331249328787455,0.0,0.0,0.020669770187246587,0.0015223682071723625
41,experimental,0.0,0.0,11.432992935180664,4.155343660669152,0.0054163166178482335,0.02032075341473316,0.0,0.0,0.01632795008975453,0.0007512567072570682,0.0,0.0,0.016069951760554743,0.003358384150409413,0.0,0.0,0.019299939542473433,0.0015507956029858418
42,experimental,0.0,0.0,12.805851936340332,4.030172525664023,0.005187245201871675,0.019388533841335258,0.0,0.0,0.015591302206643946,0.0007097900875469082,0.0,0.0,0.018649349919336283,0.005412299297526925,0.0,0.0,0.022798852417283428,0.0014433528971440064
43,experimental,0.0,0.0,10.465860366821289,4.2225244251781415,0.005443383780947025,0.02053653670338288,0.0,0.0,0.016453513575474452,0.0007418615843100971,0.0,0.0,0.016933629416420074,0.002919818220024337,0.0,0.0,0.019946092741931983,0.0015525538730853331
44,experimental,0.0,0.0,10.681462287902832,4.463759072795578,0.005745266267336625,0.021100758152853873,0.0,0.0,0.017039413946893386,0.0007437685122888744,0.0,0.0,0.019718915991440506,0.007612042262882529,0.0,0.0,0.025278658549228828,0.0017537214174242076
45,experimental,0.0,0.0,13.933295249938965,5.104783540780119,0.005893815807649768,0.02109320751106629,0.0,0.0,0.017156341760114206,0.0007159221814486776,0.0,0.0,0.022369691836619805,0.005128319231335989,0.0,0.0,0.026628659906501543,0.0016948081363371745
46,experimental,0.0,0.0,11.385204315185547,4.965519114336931,0.005584305511930441,0.01971556766375257,0.0,0.0,0.016146922428964,0.0007048330934369112,0.0,0.0,0.01838074679860098,0.003063380303318629,0.0,0.0,0.02134210203222172,0.0014296650005404107
47,experimental,0.0,0.0,8.298181533813477,3.4076547807154594,0.005046023630875678,0.019062950523924174,0.0,0.0,0.015283172378156145,0.0007056733722543404,0.0,0.0,0.016784516494431183,0.002874961218791094,0.0,0.0,0.019623968933156863,0.0014019718047922956
48,experimental,0.0,0.0,9.41324234008789,3.8399319026531367,0.0049918007248253415,0.018198640070911057,0.0,0.0,0.014795738596336204,0.0007046179175096658,0.0,0.0,0.017773897365895575,0.003283398451205499,0.0,0.0,0.020784324443268918,0.00136872779488742
49,experimental,0.0,0.0,13.569639205932617,4.746389127016782,0.005387458862510935,0.018868454599405338,0.0,0.0,0.015537166285479118,0.0007154800025738948,0.0,0.0,0.01845897150610735,0.004645705410463367,0.0,0.0,0.022401239290208874,0.0016194146940718868
50,experimental,0.0,0.0,9.401569366455078,3.6441591558348345,0.00446320317323605,0.01698601394027988,0.0,0.0,0.013643495718610928,0.0006872855791245473,0.0,0.0,0.017758727680423303,0.006150136415116088,0.0,0.0,0.022152233391464826,0.0013184376094423369
51,experimental,0.0,0.0,11.520820617675781,3.7892239022040655,0.004484852934578889,0.016805156226358097,0.0,0.0,0.013532637697942357,0.0006452066842431412,0.0,0.0,0.018209771535353747,0.004215831876158,0.0,0.0,0.02184579732889187,0.0015281096792328145
1,physics,4.274658617350311e-12,24778.111990551628,100.40718841552734,16.98009556750076,0.014035500848069699,0.028570013997259395,8.971919278327074e-05,0.0,0.2780852811235119,0.0019746868039185457,0.0,0.0,0.028789234000765634,0.011210672851808056,0.0,0.0,0.03932595347572943,0.004931383436088434
2,physics,4.835959205500711e-12,3950.0727042401536,16.39772605895996,4.926729461155134,0.025826178443075484,0.03260776520811892,0.0006114305797088452,0.0,0.08740504790605536,0.005713118010105814,0.0,0.0,0.033104515093529296,0.0152418456034746,0.0,0.0,0.048449896838136775,0.007724459064444025
3,physics,5.1058738373074266e-12,2340.7506861823977,7.9373369216918945,3.649390427010653,0.024673278254873043,0.029219277319301226,0.0009520913499616251,0.0,0.06856112599700895,0.005775493839139383,0.0,0.0,0.030760280011656756,0.008429821736798316,0.0,0.0,0.04096557537238755,0.0059903844198334714
4,physics,5.4737949306817266e-12,2149.1882271905174,7.826333522796631,3.5585873221549824,0.021855946698902843,0.026793275908474207,0.0007748145431035569,0.0,0.06203003378066488,0.005208085909967674,0.0,0.0,0.026052693460515874,0.01187690971140376,0.0,0.0,0.03755207779164799,0.005560929164245814
5,physics,5.877908876230488e-12,2086.3928658655723,7.5739264488220215,2.974117865238833,0.019108109073285185,0.026339613715708605,0.0005692735817091717,0.0,0.05794166799276093,0.004742896500103864,0.0,0.0,0.029986312967574525,0.006551929326828369,0.0,0.0,0.0389157517049127,0.005653474417453754
