epoch,stage,train_boundary,train_continuity,train_gradient_norm_max,train_gradient_norm_mean,train_pressure,train_pure_vapor_pressure,train_solver,train_temperature,train_total,train_vapor_composition,validation_boundary,validation_continuity,validation_pressure,validation_pure_vapor_pressure,validation_solver,validation_temperature,validation_total,validation_vapor_composition
1,experimental,0.0,0.0,138.04200744628906,20.090738434641942,0.6636948455458017,1.1599596286631255,0.0,0.0,1.2914645836777234,0.04778993551137352,0.0,0.0,0.19160827638710312,0.1630845636058252,0.0,0.0,0.2845838516594971,0.011433293131626875
2,experimental,0.0,0.0,24.15753173828125,8.643815903099865,0.1459425101923529,0.23586480329956233,0.0,0.0,0.2748593435758757,0.01098443321636082,0.0,0.0,0.12429969507071739,0.18982881691689138,0.0,0.0,0.22676797812195554,0.007553873205810856
3,experimental,0.0,0.0,21.432083129882812,7.982549458517234,0.09867913740077082,0.1915220397995684,0.0,0.0,0.20344830135209788,0.009008143609241872,0.0,0.0,0.10167359075284517,0.10838107277499179,0.0,0.0,0.16413983574630536,0.008275711705556988
4,experimental,0.0,0.0,18.464252471923828,7.394057936689229,0.08033297866606051,0.15175718619115428,0.0,0.0,0.16434369393050133,0.008132122997473198,0.0,0.0,0.105076937516151,0.11696089224485338,0.0,0.0,0.17064062201891422,0.007083238515922875
5,experimental,0.0,0.0,13.719442367553711,6.762966149061323,0.07154819852918264,0.1496009730067961,0.0,0.0,0.15454925561744726,0.008200570632177152,0.0,0.0,0.10971207685573005,0.12396832610656083,0.0,0.0,0.1797130222394529,0.008016783090615045
6,experimental,0.0,0.0,14.474191665649414,6.809094974730451,0.06429012660240474,0.1379346363941881,0.0,0.0,0.1419453666804761,0.00868792165997625,0.0,0.0,0.09406938871506575,0.1290257216068896,0.0,0.0,0.1662895867961119,0.007707334739247199
7,experimental,0.0,0.0,19.51056480407715,5.596302360000317,0.05510918490167455,0.14084474474742098,0.0,0.0,0.13391933445956208,0.008387777271230348,0.0,0.0,0.08900693343476634,0.14159810685314825,0.0,0.0,0.16750650104304202,0.0077005140750106595
8,experimental,0.0,0.0,18.27067756652832,6.63805553994557,0.05168015581604247,0.13141028388326537,0.0,0.0,0.1252898342729438,0.00790453623907318,0.0,0.0,0.0637194770332737,0.08079676269631397,0.0,0.0,0.11027163316924703,0.00615377609700249
9,experimental,0.0,0.0,22.67006492614746,9.27795531710899,0.05560993845220056,0.12610791525934825,0.0,0.0,0.12581829704007896,0.0071544009110092914,0.0,0.0,0.05338228502819817,0.10836819959426552,0.0,0.0,0.1138498193466578,0.006283434093451941
10,experimental,0.0,0.0,16.15987777709961,6.698982989489756,0.04253272490939459,0.11011894210417444,0.0,0.0,0.10466232321558154,0.007070127534229389,0.0,0.0,0.06125283280391966,0.1290294572106409,0.0,0.0,0.13175544413006676,0.005987881248270057
11,experimental,0.0,0.0,18.990039825439453,6.545491793258892,0.04093403506019854,0.10621378653162791,0.0,0.0,0.10069620153683848,0.006655273510761505,0.0,0.0,0.06296474495480339,0.11077532620304809,0.0,0.0,0.12455651509022087,0.006204104841173335
12,experimental,0.0,0.0,65.2588119506836,6.656493769912992,0.03255234401257294,0.09473951273559182,0.0,0.0,0.08595327617284652,0.006031176270407808,0.0,0.0,0.07507278875121069,0.1397646543234231,0.0,0.0,0.15218316512915855,0.007228049377384006
13,experimental,0.0,0.0,23.230491638183594,6.649405380187407,0.03265647383821803,0.09060746591548549,0.0,0.0,0.08344785410747589,0.005487647583757119,0.0,0.0,0.0460757486397725,0.11150405998730717,0.0,0.0,0.10723362059325763,0.005405841477499799
14,experimental,0.0,0.0,39.976318359375,9.323758562053417,0.0323221099233842,0.07999816102475248,0.0,0.0,0.07699020644118419,0.004669015898949896,0.0,0.0,0.04353428790279106,0.10239236508462765,0.0,0.0,0.10110467718580742,0.006374207894297801
15,experimental,0.0,0.0,30.230018615722656,8.130400815215882,0.02795071543712882,0.07518395974464674,0.0,0.0,0.06986975673657862,0.004327061869051516,0.0,0.0,0.03324124846509647,0.045527531736505915,0.0,0.0,0.0610658446935879,0.005060831429370121
16,experimental,0.0,0.0,17.669734954833984,6.719244006957563,0.021273430227593322,0.0622109889795559,0.0,0.0,0.05595202483409725,0.0035730999312810546,0.0,0.0,0.029515872867266715,0.05054859016846359,0.0,0.0,0.059421978855332215,0.004631809573531649
17,experimental,0.0,0.0,23.142187118530273,7.572208716035063,0.017079141209160695,0.05235049673441813,0.0,0.0,0.0462513011349391,0.0029969115329296107,0.0,0.0,0.020537022563466595,0.030574282413450803,0.0,0.0,0.03956615217118958,0.0037419884782373407
18,experimental,0.0,0.0,25.682170867919922,9.653848171549791,0.018159537788100248,0.05164838509576677,0.0,0.0,0.04654788777407756,0.002564157380939179,0.0,0.0,0.02400774996825505,0.020092964581345032,0.0,0.0,0.03753296175620437,0.0034787294961654345
19,experimental,0.0,0.0,26.612895965576172,8.207045368685495,0.014955819679867324,0.0448607790395943,0.0,0.0,0.03968532936403144,0.0022991204228122917,0.0,0.0,0.018428540146222833,0.014321663356908466,0.0,0.0,0.028818841356792996,0.0032294698977545083
20,experimental,0.0,0.0,22.895824432373047,8.07263956116664,0.013669648154086425,0.04360208732472908,0.0,0.0,0.03755997940868348,0.0020892874718637312,0.0,0.0,0.01789897650053507,0.015735517040357385,0.0,0.0,0.028899439763909022,0.0031327046137214205
21,experimental,0.0,0.0,18.053909301757812,6.1934579936113,0.012628202092871178,0.03656800734228162,0.0,0.0,0.03278578612301141,0.0018735803372977458,0.0,0.0,0.015720882339665315,0.010382235014637786,0.0,0.0,0.02391366270284095,0.0030016627919533445
22,experimental,0.0,0.0,19.537363052368164,7.180127669624441,0.015301982227549613,0.04026897286131384,0.0,0.0,0.037413669152065225,0.0019772000598867814,0.0,0.0,0.01748344520893757,0.014072980331634849,0.0,0.0,0.027424321227611393,0.0029043855750155337
23,experimental,0.0,0.0,30.77985382080078,7.03636026666541,0.012782492829265026,0.03744553835853179,0.0,0.0,0.03318000060363008,0.0016747386266873939,0.0,0.0,0.02365309405440647,0.013480320643980349,0.0,0.0,0.03293169010652847,0.0025384362046840226
24,experimental,0.0,0.0,21.358436584472656,7.889289552670164,0.010961837875424353,0.031166355645089974,0.0,0.0,0.02788119597250627,0.0013361803534538072,0.0,0.0,0.014295927308908794,0.009259199079010539,0.0,0.0,0.02159004625564259,0.002664519538925094
25,experimental,0.0,0.0,27.003093719482422,7.953529893649614,0.009745232224498695,0.029538059043644375,0.0,0.0,0.025782544460641085,0.0012682826501881227,0.0,0.0,0.015636403140276315,0.009056090508412063,0.0,0.0,0.022681721643964828,0.002517273440081315
26,experimental,0.0,0.0,34.506553649902344,8.41679345278271,0.010930749472794423,0.029439899087441483,0.0,0.0,0.02682685195353076,0.0011761528265266188,0.0,0.0,0.012811832370009798,0.007448698196177835,0.0,0.0,0.019014751040743474,0.002478569603485093
27,experimental,0.0,0.0,18.202260971069336,6.693769336141341,0.0076332300120414585,0.023348742457520767,0.0,0.0,0.020320843914967003,0.0010132425725618498,0.0,0.0,0.037084513123820675,0.02213526604283681,0.0,0.0,0.0509043098527378,0.0027521630317897386
28,experimental,0.0,0.0,43.112762451171875,12.914153541679589,0.012327726614426248,0.027326622562315012,0.0,0.0,0.02701789913281027,0.0010268611484315106,0.0,0.0,0.014041418129653805,0.005690692628340391,0.0,0.0,0.019504483282423817,0.002617719115884997
29,experimental,0.0,0.0,28.325185775756836,9.459963537534625,0.010222549945674368,0.026911654311206252,0.0,0.0,0.02484458505043948,0.0011662079589292904,0.0,0.0,0.0250708599639323,0.01563262654944081,0.0,0.0,0.035320275171986625,0.00243310196723051
30,experimental,0.0,0.0,32.831214904785156,11.111110622987328,0.018375704334186276,0.037345854431591996,0.0,0.0,0.03846545731221551,0.0014168254811055693,0.0,0.0,0.014803655370003,0.012963748241381315,0.0,0.0,0.02393051509818769,0.002644985770864461
31,experimental,0.0,0.0,22.65243148803711,6.5849513897323835,0.010602124197039205,0.0266081998281316,0.0,0.0,0.025027255602215907,0.0011210314970297828,0.0,0.0,0.01359695062788119,0.006313396488852034,0.0,0.0,0.01921251390867273,0.0024588649246734978
32,experimental,0.0,0.0,21.43775177001953,5.983407545449575,0.006184752662758313,0.020049745701061057,0.0,0.0,0.01707049505207886,0.0008608695511176285,0.0,0.0,0.017158391598727653,0.00797678466201682,0.0,0.0,0.023621289019510685,0.002474504930849647
33,experimental,0.0,0.0,18.04489517211914,6.289653427566454,0.006133237751179833,0.01934023733945867,0.0,0.0,0.01660059614290244,0.0007972397407019131,0.0,0.0,0.027511957526064716,0.015109798219721755,0.0,0.0,0.03778456949888949,0.0027177124923241807
34,experimental,0.0,0.0,33.452327728271484,11.30251884106909,0.00900070049818197,0.019967051595548093,0.0,0.0,0.01981308083801805,0.0008288545815196313,0.0,0.0,0.01409846228638526,0.003600892870906998,0.0,0.0,0.018467422188004047,0.002568513493949374
35,experimental,0.0,0.0,19.47614097595215,7.369351767963343,0.007532653350582227,0.0198997184065686,0.0,0.0,0.018332603768338954,0.0008500912381484305,0.0,0.0,0.019682954903469736,0.007460502529770207,0.0,0.0,0.025933625758903407,0.002520419834492848
36,experimental,0.0,0.0,18.786907196044922,8.045518717291685,0.009513481648384343,0.023966091686600046,0.0,0.0,0.022424370068463654,0.0009278426418822727,0.0,0.0,0.015094901819608946,0.007306128331328918,0.0,0.0,0.021211724839482218,0.0024637590109110588
37,experimental,0.0,0.0,19.933603286743164,9.34055390958358,0.010857184111965209,0.024137103954530087,0.0,0.0,0.023894838972165627,0.0009691028094456028,0.0,0.0,0.01638830816795547,0.008056252625790872,0.0,0.0,0.02301162306157103,0.0025951888763428017
38,experimental,0.0,0.0,20.823226928710938,5.9159680112346065,0.007071434739544568,0.01901490185752572,0.0,0.0,0.0173969380605626,0.0008180524135058798,0.0,0.0,0.022656166125844656,0.015549107070185404,0.0,0.0,0.03296575919327133,0.0025350390833431325
39,experimental,0.0,0.0,30.585975646972656,7.409704205596209,0.007191652512232326,0.018980588663828606,0.0,0.0,0.01746788635449458,0.0007859396558954025,0.0,0.0,0.016186574691804324,0.004196829347024385,0.0,0.0,0.020922267973992024,0.0026372784508618932
40,experimental,0.0,0.0,17.431617736816406,8.493508038087727,0.006598654341087469,0.01636488753629018,0.0,0.0,0.015581229386617096,0.0008001313952641066,0.0,0.0,0.03596840662823941,0.02599949142528889,0.0,0.0,0.05133529531109304,0.00236714343031366
41,experimental,0.0,0.0,43.23474884033203,12.006819621420973,0.008911957376643987,0.018584198001897936,0.0,0.0,0.01898834569298676,0.0007842894140368321,0.0,0.0,0.013081054565516748,0.0029934422804269415,0.0,0.0,0.016975712822416802,0.0023979370677865916
42,experimental,0.0,0.0,24.53223419189453,7.272586040302379,0.006380267277215449,0.015640709027855124,0.0,0.0,0.01490620628592896,0.000705584413404656,0.0,0.0,0.02572737988929191,0.02094556636628217,0.0,0.0,0.03850991650526734,0.0023097531127616727
43,experimental,0.0,0.0,43.14341354370117,10.215683908410757,0.009629956006142621,0.017616922859429,0.0,0.0,0.01928133533829319,0.0008429177771273723,0.0,0.0,0.012902382076640118,0.0039273335071622895,0.0,0.0,0.017230266842964442,0.0023642176904477767
44,experimental,0.0,0.0,17.04847526550293,6.382220514843705,0.005745427988977124,0.01681546676905443,0.0,0.0,0.014943050705258967,0.0007898893786081161,0.0,0.0,0.02321767328676005,0.010972483061378498,0.0,0.0,0.031237439085731643,0.00253352394598694
45,experimental,0.0,0.0,34.14997482299805,7.438139061067304,0.006637528940069361,0.014641533507726909,0.0,0.0,0.014693958663624425,0.0007356629479880031,0.0,0.0,0.015046075786639511,0.006393586963344019,0.0,0.0,0.020624488725511442,0.002381619272713587
46,experimental,0.0,0.0,21.767372131347656,8.425295901617341,0.005807939909204227,0.013888381116756079,0.0,0.0,0.01354453725810659,0.0007924067545192671,0.0,0.0,0.011250932471991154,0.004363429223616254,0.0,0.0,0.015629796262359278,0.0021971492269043068
47,experimental,0.0,0.0,12.980731964111328,4.108757574732187,0.0042672755004828,0.013390920064898495,0.0,0.0,0.011681905600213833,0.0007191700327448292,0.0,0.0,0.010823924534538482,0.002876912725996004,0.0,0.0,0.01468105617297151,0.0024186753732350105
48,experimental,0.0,0.0,10.05024528503418,4.445723191308104,0.00440383656218495,0.011694173956570776,0.0,0.0,0.010969744158279948,0.0007188206587467761,0.0,0.0,0.01125948960161579,0.0025824386679827458,0.0,0.0,0.014817201896950708,0.002266492997462859
49,experimental,0.0,0.0,15.865335464477539,7.149892453908699,0.005771045930794341,0.012911651819632667,0.0,0.0,0.01294562645950973,0.000718754618655336,0.0,0.0,0.013174366459321577,0.004339707833059079,0.0,0.0,0.01781978066743914,0.002475560504969805
50,experimental,0.0,0.0,24.24240493774414,6.252030211096013,0.006763320617376463,0.015418970914734889,0.0,0.0,0.015258640838498672,0.0007858347003682945,0.0,0.0,0.013501357384968486,0.003284945088240867,0.0,0.0,0.01759974042349328,0.0024559103093623473
51,experimental,0.0,0.0,10.052349090576172,4.272630127809481,0.00429779077493587,0.009702889380171869,0.0,0.0,0.009887595508502486,0.000738359996128194,0.0,0.0,0.013259335356566673,0.003864285289387714,0.0,0.0,0.017448723965228886,0.002257245927849042
52,experimental,0.0,0.0,12.30306625366211,4.771146588746592,0.004405576331726146,0.011096920252367153,0.0,0.0,0.010666864640284742,0.0007128281374765896,0.0,0.0,0.012938628686694228,0.006237869953341017,0.0,0.0,0.018681311864308072,0.002623748300410363
53,experimental,0.0,0.0,64.78443145751953,7.386147258550967,0.00656109309746511,0.015047737700460478,0.0,0.0,0.014849009954833075,0.0007640479398132018,0.0,0.0,0.012306242074310638,0.003671063016877823,0.0,0.0,0.01649650493036591,0.0023547314576413438
54,experimental,0.0,0.0,14.007464408874512,4.9972676173687045,0.0057496414955772925,0.01316825026323444,0.0,0.0,0.013178548221979692,0.0008447816066224584,0.0,0.0,0.02429893808461601,0.005561251326648603,0.0,0.0,0.029855591469491013,0.002776027684875704
55,experimental,0.0,0.0,15.224647521972656,5.7793801070111925,0.0054144596881415645,0.010726056309404807,0.0,0.0,0.011521680162459304,0.0007441922998855741,0.0,0.0,0.013012281634571445,0.0045623602012176785,0.0,0.0,0.017622711625937062,0.0023292496823761302
56,experimental,0.0,0.0,12.060612678527832,4.774367945597975,0.004092972319000783,0.009307303649534759,0.0,0.0,0.009394884635207887,0.0006482604322379178,0.0,0.0,0.01561868663094849,0.006757431390177379,0.0,0.0,0.02135544868635107,0.002358046141375292
57,experimental,0.0,0.0,14.11421012878418,6.833501612762891,0.006990152997909639,0.016770638404153885,0.0,0.0,0.016593304110263576,0.001217831801263826,0.0,0.0,0.015196398878581199,0.009758266209133485,0.0,0.0,0.02253169151187512,0.0024561596426419326
58,experimental,0.0,0.0,26.89406967163086,7.382944040106481,0.0056075614299850125,0.011245246835059872,0.0,0.0,0.012011112125622688,0.0007809272781076866,0.0,0.0,0.012337395694631381,0.0023590309016388753,0.0,0.0,0.01571097565472553,0.0021940643664645054
59,experimental,0.0,0.0,19.838085174560547,6.140450804372126,0.005166781607323373,0.009375504684751276,0.0,0.0,0.01064028903076495,0.0007857550376548764,0.0,0.0,0.01735518910524242,0.005770659069741825,0.0,0.0,0.022765476852299776,0.002524957640945627
1,physics,1.7001897406566594e-12,23840.491890141646,145.27110290527344,20.85699842441134,0.024773970427819945,0.03306896747239738,7.456066781095396e-05,0.0,0.282881913146609,0.003161088150577513,0.0,0.0,0.03209157649045343,0.014415661944409828,0.0,0.0,0.04714086198365774,0.007841454587681197
2,physics,1.5325865205088185e-12,3196.5621020738045,16.599510192871094,5.237783233835005,0.03141275688455418,0.025448773604236058,0.001052913611477832,0.0,0.08363983307912203,0.00743177826523112,0.0,0.0,0.023295423131533908,0.013669219997162465,0.0,0.0,0.037132839407762935,0.007002805922011487
3,physics,1.5002356880318586e-12,2928.696223336167,10.407514572143555,4.669515448249161,0.025859621436287197,0.020669674796015162,0.0008000503640040394,0.0,0.07170132035760228,0.006139895551723523,0.0,0.0,0.02204590422814814,0.012207078976392177,0.0,0.0,0.03460645162209264,0.006457007777941611
