epoch,stage,train_boundary,train_continuity,train_gradient_norm_max,train_gradient_norm_mean,train_pressure,train_pure_vapor_pressure,train_solver,train_temperature,train_total,train_vapor_composition,validation_boundary,validation_continuity,validation_pressure,validation_pure_vapor_pressure,validation_solver,validation_temperature,validation_total,validation_vapor_composition
1,experimental,0.0,0.0,46.8386116027832,12.732374163644481,0.3789828323839603,0.6502000758016865,0.0,0.0,0.738331565474532,0.03424869385593025,0.0,0.0,0.07893105772554233,0.14133421996588347,0.0,0.0,0.15776727725100773,0.008169107870148715
2,experimental,0.0,0.0,20.191431045532227,7.637846639905178,0.10437550650187101,0.1615297175066206,0.0,0.0,0.19469802491207366,0.009557659545550788,0.0,0.0,0.11372478891124008,0.4744754779723383,0.0,0.0,0.3624672928164082,0.011504760222329248
3,experimental,0.0,0.0,20.587221145629883,8.040130992558147,0.08959128744945213,0.14761375500493915,0.0,0.0,0.17169185007478313,0.008293684801923737,0.0,0.0,0.18299506877058297,0.3936455627923371,0.0,0.0,0.3879040812933317,0.00808622669028018
4,experimental,0.0,0.0,24.10480499267578,7.44516235908649,0.08343206255244089,0.13422312510368237,0.0,0.0,0.15829924402991796,0.007755618277830433,0.0,0.0,0.07419474406908917,0.10668862058270362,0.0,0.0,0.13522944078650526,0.007690383712210322
5,experimental,0.0,0.0,12.457887649536133,4.998515474271508,0.056027560809438846,0.11300880622645462,0.0,0.0,0.1201522315524454,0.007620268230706712,0.0,0.0,0.04496217238646682,0.08636914898631393,0.0,0.0,0.09670174378220753,0.008554996612171331
6,experimental,0.0,0.0,16.641244888305664,4.722255348099195,0.04607592130365939,0.11623675214307265,0.0,0.0,0.11223861466504724,0.008044317190370041,0.0,0.0,0.049331521915812644,0.17880891071211907,0.0,0.0,0.14589335873562803,0.007157381193371871
7,experimental,0.0,0.0,19.764163970947266,5.808481114456925,0.04486210256829679,0.1192538310830006,0.0,0.0,0.11242392174969103,0.007934903621439246,0.0,0.0,0.06770125359937709,0.24434610271966586,0.0,0.0,0.19631469313816358,0.0064403861560808715
8,experimental,0.0,0.0,17.645206451416016,6.054821079001624,0.03766444002198707,0.10308108096235813,0.0,0.0,0.09627545053479386,0.007070470036995429,0.0,0.0,0.04002499776662037,0.06524468357524564,0.0,0.0,0.07935067819010827,0.006703337334016318
9,experimental,0.0,0.0,26.413576126098633,8.38720970622846,0.04260666084081468,0.10286165979916907,0.0,0.0,0.10095382664213197,0.006916335390267047,0.0,0.0,0.031191311255898527,0.061538152797247773,0.0,0.0,0.06762898152553908,0.005668594011215753
10,experimental,0.0,0.0,16.554794311523438,6.4681487270317115,0.031945357352326696,0.08368533076234845,0.0,0.0,0.07969414950307029,0.005906126622391975,0.0,0.0,0.050096691936574955,0.11696472940265491,0.0,0.0,0.11476382036362925,0.006184761472527058
