epoch,stage,train_boundary,train_continuity,train_gradient_norm_max,train_gradient_norm_mean,train_pressure,train_pure_vapor_pressure,train_solver,train_temperature,train_total,train_vapor_composition,validation_boundary,validation_continuity,validation_pressure,validation_pure_vapor_pressure,validation_solver,validation_temperature,validation_total,validation_vapor_composition
1,experimental,0.0,0.0,39.554012298583984,17.606782334920965,0.6619845845411642,1.009577073096548,0.0,0.0,1.2043354199762177,0.037562294202240123,0.0,0.0,0.17003098200711309,0.18478406031555847,0.0,0.0,0.2701390184298267,0.007716010344511941
2,experimental,0.0,0.0,22.54008674621582,10.614131294733454,0.1533692097278052,0.23438764096497922,0.0,0.0,0.28098102659341667,0.010417997103888384,0.0,0.0,0.10794416602097853,0.1620308391595983,0.0,0.0,0.19682408415580258,0.007864498421624254
3,experimental,0.0,0.0,24.609102249145508,9.37696299900162,0.12096660835282795,0.19269476095476018,0.0,0.0,0.22649504877680088,0.009181060815413528,0.0,0.0,0.10371579259614162,0.1402402368090615,0.0,0.0,0.18200713511231262,0.00817122304691703
4,experimental,0.0,0.0,23.72878646850586,8.93038821140963,0.09773165167711395,0.17128791037711116,0.0,0.0,0.19128319916130532,0.007907592140045949,0.0,0.0,0.11548540965070095,0.10126311595065843,0.0,0.0,0.17284589647492277,0.0067289319316882
5,experimental,0.0,0.0,25.927610397338867,8.540846138781221,0.09199873171480766,0.14877355798036357,0.0,0.0,0.17397062065543475,0.007585109831425745,0.0,0.0,0.08811187267124772,0.0873092695137487,0.0,0.0,0.1388350544295098,0.007068547460223876
6,experimental,0.0,0.0,20.32196807861328,8.854044256977442,0.08298735584051253,0.14893344248592258,0.0,0.0,0.16466968021808154,0.007215603464848226,0.0,0.0,0.10862461084389512,0.12075452016868804,0.0,0.0,0.17715207399486463,0.008150201716486968
7,experimental,0.0,0.0,26.10597801208496,8.573942718251667,0.06656858293620647,0.12717594711313016,0.0,0.0,0.13643378205154125,0.006277225303442804,0.0,0.0,0.08822342916717536,0.09332847644355916,0.0,0.0,0.1427096848504532,0.007822021201059352
8,experimental,0.0,0.0,29.7526912689209,10.031576447121477,0.06140724008371863,0.12002850767900579,0.0,0.0,0.12711515949630328,0.0056936649370917265,0.0,0.0,0.07377310103174053,0.054771031387681406,0.0,0.0,0.1065137595990592,0.005355142696644567
9,experimental,0.0,0.0,25.726333618164062,9.152870159158248,0.0493516710714066,0.09948531109157033,0.0,0.0,0.1039476616007552,0.00485333506113671,0.0,0.0,0.0622511802788459,0.07964087215107651,0.0,0.0,0.10621428070745018,0.004142664674158239
10,experimental,0.0,0.0,29.59723472595215,9.793450355529785,0.04457783303988201,0.09669602791761456,0.0,0.0,0.0973206353025854,0.0043947892754459695,0.0,0.0,0.06808225358827046,0.04856066508274488,0.0,0.0,0.09670998138697603,0.004347394623835233
11,experimental,0.0,0.0,45.04176712036133,15.850307804127638,0.04621862544403764,0.09224774397870633,0.0,0.0,0.09623021471080526,0.003887717165708939,0.0,0.0,0.039613247215549284,0.04818853807649876,0.0,0.0,0.06685856576366157,0.003151049305728918
12,experimental,0.0,0.0,25.45441436767578,9.929221052944177,0.033015541466345735,0.07341944249342419,0.0,0.0,0.07325099232734697,0.0035257297973620614,0.0,0.0,0.0348505307855128,0.03758868527195995,0.0,0.0,0.05674680616758729,0.0031019327498173254
13,experimental,0.0,0.0,26.219453811645508,10.749156013209157,0.028068512094795335,0.06698060199540323,0.0,0.0,0.06438354020499434,0.0028247272947945876,0.0,0.0,0.04335233368609922,0.05936190436316839,0.0,0.0,0.07614020236844146,0.0031069176504853802
