epoch,stage,train_boundary,train_continuity,train_gradient_norm_max,train_gradient_norm_mean,train_pressure,train_pure_vapor_pressure,train_solver,train_temperature,train_total,train_vapor_composition,validation_boundary,validation_continuity,validation_pressure,validation_pure_vapor_pressure,validation_solver,validation_temperature,validation_total,validation_vapor_composition
1,experimental,0.0,0.0,126.94879913330078,16.697709227877233,0.6769980640580571,1.072746887911586,0.0,0.0,1.2546249691357,0.041253465383270314,0.0,0.0,0.15449081108792015,0.14061798514500437,0.0,0.0,0.23617154317141148,0.011371741978216
2,experimental,0.0,0.0,27.00428581237793,9.623947324870233,0.15184811775938936,0.24889243310387682,0.0,0.0,0.28703090842277124,0.010736575698132043,0.0,0.0,0.1470363056176033,0.23775873775982914,0.0,0.0,0.2758654202367924,0.009949742254038699
3,experimental,0.0,0.0,24.751737594604492,8.512647785856979,0.10759900653739489,0.1908618020297959,0.0,0.0,0.21199316743307045,0.00896326088347354,0.0,0.0,0.11597275179155117,0.10657064755378304,0.0,0.0,0.17804477948846567,0.00878670512362959
4,experimental,0.0,0.0,19.536388397216797,6.968882936839787,0.08702594150980081,0.1582023046292265,0.0,0.0,0.17421127675703135,0.008084183694210555,0.0,0.0,0.11475978112448372,0.09797433481011585,0.0,0.0,0.1711528959877451,0.007405947816062514
5,experimental,0.0,0.0,21.980066299438477,6.1944303460804875,0.07729205444670191,0.145784994789769,0.0,0.0,0.1573455108663317,0.007160959079962813,0.0,0.0,0.10099515041474226,0.12000196560470472,0.0,0.0,0.1681446650005468,0.007148530992161403
6,experimental,0.0,0.0,20.49388885498047,7.428649525760452,0.07624895718696767,0.13754441756121327,0.0,0.0,0.15238335872190825,0.007362192746442451,0.0,0.0,0.12270865477354828,0.10445600235945854,0.0,0.0,0.18145554831033675,0.0065188931261227065
7,experimental,0.0,0.0,20.50424575805664,7.546471283400073,0.07153720955911053,0.13364544349684482,0.0,0.0,0.14509736769306203,0.006737434929543799,0.0,0.0,0.10554478475757316,0.12380735117381968,0.0,0.0,0.17480000362760412,0.007351547733020384
8,experimental,0.0,0.0,16.484485626220703,7.079514540095653,0.06353177011356312,0.12237459805474823,0.0,0.0,0.1308027303473195,0.00608366123788862,0.0,0.0,0.08508448370316717,0.07526830357981752,0.0,0.0,0.12845128532810257,0.00573264985614254
9,experimental,0.0,0.0,25.586322784423828,8.948037821647112,0.06544990743862214,0.1244981922756737,0.0,0.0,0.13351291172649313,0.005813907152219352,0.0,0.0,0.10745957899207431,0.13101280674445032,0.0,0.0,0.17851360480085476,0.00554762241321667
10,experimental,0.0,0.0,26.33022117614746,12.678877890228389,0.06670641625273169,0.12379864927918394,0.0,0.0,0.134098010606976,0.005492269848731078,0.0,0.0,0.0870128703572585,0.12228447326896867,0.0,0.0,0.15421536671517858,0.006060260885921896
11,experimental,0.0,0.0,17.180116653442383,7.7439355755521495,0.04740921809252583,0.1038016685504527,0.0,0.0,0.1044599155871799,0.00514986319574402,0.0,0.0,0.07928810259749611,0.08472680903277705,0.0,0.0,0.1270718259074523,0.005420319324799397
12,experimental,0.0,0.0,56.03279495239258,9.46271453427113,0.04354498150979038,0.09074136555218529,0.0,0.0,0.09324977792257917,0.004334114202049518,0.0,0.0,0.07790924206838402,0.09557886539040432,0.0,0.0,0.13200552686871095,0.006306853403197268
13,experimental,0.0,0.0,26.32705307006836,6.69670142667208,0.03584289597843681,0.0853159272022063,0.0,0.0,0.08256499821211175,0.004064138660192101,0.0,0.0,0.053032351920029995,0.0523279687669795,0.0,0.0,0.08388941221134759,0.0046930773209264785
14,experimental,0.0,0.0,25.022266387939453,8.671736640834215,0.033749707305810554,0.07706304135013854,0.0,0.0,0.07571579721902642,0.0034345695143497717,0.0,0.0,0.0916036728742868,0.12550781507196176,0.0,0.0,0.15898282185801457,0.004625243095343217
15,experimental,0.0,0.0,47.271148681640625,12.425371841675364,0.04336032903848844,0.08787735266415911,0.0,0.0,0.09075599873370845,0.003456993442057568,0.0,0.0,0.050368360410442216,0.033552472801936836,0.0,0.0,0.07173665131048826,0.004592053438836891
16,experimental,0.0,0.0,39.66556167602539,7.743655275607225,0.024804042344726697,0.05909637880459671,0.0,0.0,0.057138469759224424,0.0027862380399429985,0.0,0.0,0.04316501699939263,0.056092773530818964,0.0,0.0,0.07560991764353113,0.004398512900729168
17,experimental,0.0,0.0,25.743309020996094,8.290865405575259,0.02082725895564906,0.05319913071574683,0.0,0.0,0.049706725337205104,0.0022799010217136088,0.0,0.0,0.03481339931772546,0.021075435036122088,0.0,0.0,0.04926311176688119,0.003911995283396901
18,experimental,0.0,0.0,20.671733856201172,9.357718955723952,0.02207104787488199,0.05175762799628031,0.0,0.0,0.05004167041255367,0.0020918082633447255,0.0,0.0,0.030526027439033217,0.01673661442673576,0.0,0.0,0.042423257235268706,0.0035289219193836243
19,experimental,0.0,0.0,31.897844314575195,10.662011478746804,0.019325587870132666,0.04353908966207258,0.0,0.0,0.042948183490514096,0.001853050639506456,0.0,0.0,0.03180353688454002,0.01640922990505337,0.0,0.0,0.04370676382913794,0.0036986118728775078
20,experimental,0.0,0.0,25.840478897094727,10.013412575713534,0.01610825655385842,0.04137834483987209,0.0,0.0,0.03839475511306053,0.0015973262369539617,0.0,0.0,0.047789089221658455,0.037277170610314055,0.0,0.0,0.07030901618675287,0.003881340798075024
