epoch,stage,train_boundary,train_continuity,train_gradient_norm_max,train_gradient_norm_mean,train_pressure,train_pure_vapor_pressure,train_solver,train_temperature,train_total,train_vapor_composition,validation_boundary,validation_continuity,validation_pressure,validation_pure_vapor_pressure,validation_solver,validation_temperature,validation_total,validation_vapor_composition
1,experimental,0.0,0.0,39.1093864440918,12.472255185709457,0.39955301562244916,0.6389010611754582,0.0,0.0,0.7496599623721903,0.03065642437231067,0.0,0.0,0.2562320340763439,0.3341245035846512,0.0,0.0,0.4405777779492465,0.01728349556396534
2,experimental,0.0,0.0,20.205577850341797,7.911898943566651,0.10037162362048284,0.16093321509164843,0.0,0.0,0.18986737636811576,0.009029147016713101,0.0,0.0,0.16083372935846255,0.08628588527828068,0.0,0.0,0.21461767887140248,0.010641002229281835
3,experimental,0.0,0.0,26.175037384033203,6.919379678164336,0.07538019433977336,0.15793171678901144,0.0,0.0,0.16252112576145752,0.008175073297238798,0.0,0.0,0.16131962468097735,0.07350922472678222,0.0,0.0,0.21022522178563205,0.012150988478648973
4,experimental,0.0,0.0,15.886457443237305,6.121770526315661,0.06672445403207712,0.13076475506074323,0.0,0.0,0.13958400391026907,0.007477171625205968,0.0,0.0,0.12442365520960325,0.12835093810186757,0.0,0.0,0.197050156918439,0.008451035560725571
5,experimental,0.0,0.0,23.15419578552246,6.719284972781109,0.06463135259049117,0.11980373176883294,0.0,0.0,0.13160390311748651,0.007070684426510419,0.0,0.0,0.13473934825364645,0.049659730310176876,0.0,0.0,0.16715919952113906,0.007589990611780773
6,experimental,0.0,0.0,18.28017234802246,7.353062020967027,0.06140414068891371,0.11649362738706519,0.0,0.0,0.12633432175278908,0.00668336654534041,0.0,0.0,0.1032677482474934,0.16555120321837338,0.0,0.0,0.19300200954660193,0.006958661359045413
7,experimental,0.0,0.0,33.60413360595703,7.428680501640314,0.049649148961272836,0.10270225751370311,0.0,0.0,0.1068496347135914,0.005849356235093587,0.0,0.0,0.09847893730386512,0.09873152466176392,0.0,0.0,0.1557720409972327,0.007927340249736587
8,experimental,0.0,0.0,26.29045867919922,7.4547870457785415,0.04204962927296788,0.09670633867869384,0.0,0.0,0.09548424694941611,0.005081448735323122,0.0,0.0,0.10283590833862107,0.05992024585411146,0.0,0.0,0.1383473433844455,0.005551312832379496
9,experimental,0.0,0.0,22.800888061523438,6.853252831199177,0.03523781929030826,0.07850343058320525,0.0,0.0,0.07905656704028809,0.004567032520838434,0.0,0.0,0.09169990656437813,0.018127237192609093,0.0,0.0,0.10615853558887135,0.005395011764697053
10,experimental,0.0,0.0,23.525272369384766,9.583438054093348,0.033538734500920625,0.07527576580956616,0.0,0.0,0.07507716637389883,0.00390054942793294,0.0,0.0,0.0466237035277602,0.06457222127295159,0.0,0.0,0.08278426092553448,0.0038744467219894193
11,experimental,0.0,0.0,19.952533721923828,7.730676698390444,0.02348266808539742,0.055053395484418365,0.0,0.0,0.05414389470918613,0.0031345289592779675,0.0,0.0,0.04637231997081211,0.05114767739138046,0.0,0.0,0.07561481424740382,0.003668654861243127
12,experimental,0.0,0.0,25.817066192626953,9.229530225729832,0.02009369464665958,0.04929717459430668,0.0,0.0,0.047312255775564235,0.0025699741210692905,0.0,0.0,0.03066071674421236,0.0051528809096228765,0.0,0.0,0.03605422551755781,0.002817068611840149
13,experimental,0.0,0.0,24.35844612121582,6.400032346377941,0.014772365915220922,0.039297826995588564,0.0,0.0,0.036421639845380153,0.002000360505579814,0.0,0.0,0.02558684440982806,0.005080539273557725,0.0,0.0,0.03023006868633357,0.00210295382028373
14,experimental,0.0,0.0,25.794485092163086,8.571141897760919,0.013658373693061318,0.03213478422061188,0.0,0.0,0.03139016454414467,0.0016643987669919726,0.0,0.0,0.030166301005459452,0.006170628652847432,0.0,0.0,0.03548493783001776,0.002233322047592177
15,experimental,0.0,0.0,26.75794219970703,10.732333195987712,0.012740686989296701,0.03102258249554294,0.0,0.0,0.029604354464251675,0.0013523760502730474,0.0,0.0,0.018965378331093043,0.0057334897180946615,0.0,0.0,0.024181024086746303,0.002348900866368181
