epoch,stage,train_boundary,train_continuity,train_gradient_norm_max,train_gradient_norm_mean,train_pressure,train_pure_vapor_pressure,train_solver,train_temperature,train_total,train_vapor_composition,validation_boundary,validation_continuity,validation_pressure,validation_pure_vapor_pressure,validation_solver,validation_temperature,validation_total,validation_vapor_composition
1,experimental,0.0,0.0,25.314416885375977,13.54135096481957,0.8372541502508374,1.5942442697875667,0.0,0.0,1.6976510957497934,0.0632748070518354,0.0,0.0,0.3678544309120076,0.6610546020176711,0.0,0.0,0.7308708379799176,0.032489107507243556
2,experimental,0.0,0.0,12.632672309875488,5.87966103181879,0.18385341334422303,0.357087169140642,0.0,0.0,0.3850998546086729,0.02270285498807424,0.0,0.0,0.19928013882911877,0.20498626896906794,0.0,0.0,0.3157768446063228,0.01400357465591811
3,experimental,0.0,0.0,11.583237648010254,5.596345032612057,0.1148663436606658,0.24996286027554993,0.0,0.0,0.2560186597971819,0.016170885290984496,0.0,0.0,0.12640326847659358,0.1960107018177375,0.0,0.0,0.23636910399227296,0.011960486414525209
4,experimental,0.0,0.0,16.9169979095459,5.267468527591172,0.08580149516286475,0.2113829644504978,0.0,0.0,0.2048863252653708,0.013393347773896624,0.0,0.0,0.12100877828556475,0.10093323930338943,0.0,0.0,0.1841698607315007,0.012694463241176216
5,experimental,0.0,0.0,12.718335151672363,4.889925324853017,0.07668466598977057,0.17552841996908566,0.0,0.0,0.17607005102652368,0.011621175388435115,0.0,0.0,0.12327123203641928,0.15716708793077647,0.0,0.0,0.2099716557893932,0.008116878656515647
6,experimental,0.0,0.0,12.25887393951416,5.022972475238723,0.06277681889198154,0.15825140920825193,0.0,0.0,0.15281022767300648,0.010907704134314989,0.0,0.0,0.08844845642113494,0.11790235124867979,0.0,0.0,0.15507680313516878,0.007677170832519078
7,experimental,0.0,0.0,9.30400562286377,4.850110001061039,0.061306738331989415,0.1455005708353648,0.0,0.0,0.14479627059412803,0.010739247810344583,0.0,0.0,0.07364750014313425,0.09740291945336652,0.0,0.0,0.1290714922123876,0.006722532816970317
8,experimental,0.0,0.0,11.283432006835938,4.642317551328725,0.05026082513898917,0.1388437921644085,0.0,0.0,0.12954298034795475,0.009860259256399915,0.0,0.0,0.08240601887811605,0.15461528646802136,0.0,0.0,0.166117092998993,0.0064034301228321905
9,experimental,0.0,0.0,13.2948579788208,4.997299377729537,0.05084802177341849,0.12625041779768378,0.0,0.0,0.12289411578375392,0.008920885076388692,0.0,0.0,0.08035529013373577,0.1717770532892153,0.0,0.0,0.17433533356113023,0.008091520670371943
10,experimental,0.0,0.0,15.825233459472656,4.608954799932503,0.04162417549379585,0.12133508678749387,0.0,0.0,0.11100398827704795,0.008712269295173554,0.0,0.0,0.053726610884909334,0.10486280077184493,0.0,0.0,0.1124116915000987,0.006253680226770067
11,experimental,0.0,0.0,9.434844970703125,4.576470610064271,0.03889991655932841,0.10657494918057446,0.0,0.0,0.10032508392148383,0.008137692453498982,0.0,0.0,0.07794022212559033,0.16124134784409572,0.0,0.0,0.1656015765411285,0.007040679721965707
12,experimental,0.0,0.0,12.154422760009766,4.822205942319799,0.03672279981887387,0.10372880964526873,0.0,0.0,0.09612030433842594,0.007533099696041771,0.0,0.0,0.061823811392042655,0.10519249052128907,0.0,0.0,0.11960311078194319,0.005183053528765171
13,experimental,0.0,0.0,11.455994606018066,4.51786841088379,0.031481450362956534,0.08954222753564212,0.0,0.0,0.08319097510244546,0.006938410833943702,0.0,0.0,0.04552942272725118,0.05881817256357651,0.0,0.0,0.07937915375501157,0.004440643763464274
14,experimental,0.0,0.0,13.312919616699219,5.574700642004663,0.035573421448799054,0.0937643151559424,0.0,0.0,0.08868961180451809,0.006234032597170175,0.0,0.0,0.05373595662954346,0.053975117150644195,0.0,0.0,0.08491305195933692,0.004189536059100491
15,experimental,0.0,0.0,13.694168090820312,5.94367916624378,0.029020275682913828,0.0807829040717568,0.0,0.0,0.0746274389334119,0.005215711205725541,0.0,0.0,0.05524112818507982,0.0986442486817971,0.0,0.0,0.10805185886234764,0.003488606323260844
16,experimental,0.0,0.0,15.799355506896973,6.344575691250744,0.02679297669044522,0.07621063481444405,0.0,0.0,0.06969710800706728,0.004798813417460648,0.0,0.0,0.044798018855240006,0.08498325101012519,0.0,0.0,0.09089683567550802,0.0036071920118247217
17,experimental,0.0,0.0,13.805831909179688,5.971381766322449,0.023800912086093605,0.06487517357260666,0.0,0.0,0.06048460280372582,0.004246103896965228,0.0,0.0,0.05060819460543487,0.03257751814901189,0.0,0.0,0.06983358738569408,0.00293663312398876
18,experimental,0.0,0.0,24.08512306213379,9.392848492841647,0.026625178844348996,0.0625177055792437,0.0,0.0,0.061655623766882967,0.003771591809893712,0.0,0.0,0.03530062164801695,0.03648413540470856,0.0,0.0,0.056455746323030055,0.0029130564932649
19,experimental,0.0,0.0,14.601963996887207,6.405380922984566,0.021379508081602043,0.057873161875909254,0.0,0.0,0.05383168196761389,0.0035155929113015794,0.0,0.0,0.03835763088140347,0.04920986992863803,0.0,0.0,0.06545690403147614,0.0024943376957481333
20,experimental,0.0,0.0,20.045146942138672,7.832588595292482,0.020351953550336623,0.05600424441319612,0.0,0.0,0.05126001572929352,0.002905940289380447,0.0,0.0,0.03858676996211903,0.033496345435806,0.0,0.0,0.057592963575118346,0.0022580202883633787
21,experimental,0.0,0.0,13.349540710449219,4.903180895726565,0.01628079873956702,0.04897137657034295,0.0,0.0,0.043467406841646385,0.0027009195000210306,0.0,0.0,0.03874272088103256,0.03732190049445661,0.0,0.0,0.05971387084623444,0.002310200861839942
22,experimental,0.0,0.0,17.12542724609375,6.70214377124374,0.019662791946904217,0.04849347790789154,0.0,0.0,0.04630140089778268,0.0023918702946837023,0.0,0.0,0.03948731741421024,0.02869032548825399,0.0,0.0,0.05621714403618117,0.0023846638631749768
23,experimental,0.0,0.0,15.932169914245605,5.0847718705663185,0.015074335058606355,0.04140397851213742,0.0,0.0,0.0379148114662908,0.002138487248912059,0.0,0.0,0.03738963833682978,0.016234550043321326,0.0,0.0,0.047324041448953004,0.0018171275926544145
24,experimental,0.0,0.0,18.29320526123047,6.575013227494507,0.013961337813618361,0.040510112384687005,0.0,0.0,0.0361164151668665,0.0019000213398146556,0.0,0.0,0.0367139424958913,0.013977615844368456,0.0,0.0,0.045232727264750736,0.001529977500536067
25,experimental,0.0,0.0,23.106401443481445,5.850006335345006,0.013183630753732757,0.03856366882274541,0.0,0.0,0.03417140599989741,0.001705940994313449,0.0,0.0,0.02842029616056914,0.011833455394853615,0.0,0.0,0.03590424795292977,0.0015672251542196197
26,experimental,0.0,0.0,17.366012573242188,6.768023045945143,0.011650198810756629,0.03674646696950925,0.0,0.0,0.03148947137519405,0.0014660389481912562,0.0,0.0,0.03169234369159864,0.020459277180819985,0.0,0.0,0.04382806822617635,0.001906086506581698
27,experimental,0.0,0.0,12.724332809448242,4.805489095622457,0.01163259258857901,0.03582482057258502,0.0,0.0,0.030989807320648467,0.0014448043543089685,0.0,0.0,0.04723546086703165,0.013952397898678486,0.0,0.0,0.05600592152442753,0.001794262228336375
28,experimental,0.0,0.0,19.20537567138672,7.777752088682814,0.012537390985362412,0.034163721017900654,0.0,0.0,0.030923326208275457,0.001304074764800719,0.0,0.0,0.0302728678451866,0.010427453440311927,0.0,0.0,0.03692986891572501,0.001443273009733614
29,experimental,0.0,0.0,21.372282028198242,7.792587605110558,0.012335331958380756,0.03584937473446144,0.0,0.0,0.03153244173524823,0.0012724226435623237,0.0,0.0,0.02716389743875882,0.009928443821162066,0.0,0.0,0.03352427021188327,0.0013961505412308864
30,experimental,0.0,0.0,13.64892292022705,4.41763745249827,0.009317242865593661,0.031807271614638415,0.0,0.0,0.026359186077744068,0.0011383075780644766,0.0,0.0,0.025774256114026495,0.00557988858781755,0.0,0.0,0.030111710967910512,0.0015475108624053945
31,experimental,0.0,0.0,9.911879539489746,4.287601165067026,0.009757479219376015,0.029885980096714247,0.0,0.0,0.025835565275578263,0.0011350960357571778,0.0,0.0,0.0271363846568176,0.005393055293848863,0.0,0.0,0.03159981955531935,0.001766907317275506
32,experimental,0.0,0.0,13.390236854553223,4.841526680029934,0.00920428676069033,0.029188792224078098,0.0,0.0,0.02481604868638034,0.001017365916236597,0.0,0.0,0.027739161635491866,0.008170640961224608,0.0,0.0,0.033294711496690964,0.0014702291914509065
33,experimental,0.0,0.0,13.997942924499512,5.598190674404386,0.00962205467827326,0.030030667255998452,0.0,0.0,0.025621438150999862,0.0009840496047881704,0.0,0.0,0.028972341416868063,0.013023539978121943,0.0,0.0,0.036906441059412966,0.0014223291932844904
34,experimental,0.0,0.0,19.583208084106445,5.921793392211341,0.009052957821774307,0.030263896649435212,0.0,0.0,0.02514522535287921,0.0009603192452317061,0.0,0.0,0.02439276135998501,0.004489108235962269,0.0,0.0,0.02797300777031014,0.0013356917934434804
35,experimental,0.0,0.0,15.974333763122559,5.117143710948782,0.009663628990033021,0.029067590975285766,0.0,0.0,0.025088635351842522,0.0008912109188899083,0.0,0.0,0.027308781059513784,0.004841026363784483,0.0,0.0,0.031107280478280926,0.001377986293990195
36,experimental,0.0,0.0,19.388681411743164,5.379894563765727,0.009918805829789304,0.028853710311528436,0.0,0.0,0.025270334224743146,0.0009246731411521216,0.0,0.0,0.029764462522063755,0.00506233743169712,0.0,0.0,0.033910920788551464,0.001615289615557077
37,experimental,0.0,0.0,10.82496452331543,3.984222016757484,0.007521921886227386,0.02774928436044406,0.0,0.0,0.022251402898855327,0.0008548390463955006,0.0,0.0,0.02516486914204209,0.004647720784907686,0.0,0.0,0.029280239551380555,0.0017915097896718786
38,experimental,0.0,0.0,12.637516021728516,5.049491990925244,0.00771125299061525,0.025713075217840088,0.0,0.0,0.02137336649988162,0.0008055758637254441,0.0,0.0,0.022299652804318445,0.00419915428425088,0.0,0.0,0.0258446811541076,0.0014454510842260202
39,experimental,0.0,0.0,13.334747314453125,5.388176100486233,0.007877069121479207,0.025043244956479267,0.0,0.0,0.021144768248770762,0.0007460768399892192,0.0,0.0,0.02175991067378195,0.0033247440631423973,0.0,0.0,0.024851060989275375,0.001428778554985784
40,experimental,0.0,0.0,12.088940620422363,5.188347361502125,0.00748247438688664,0.023977885012787237,0.0,0.0,0.020211627319586672,0.0007402105189282692,0.0,0.0,0.025350661743582095,0.0035582959349828975,0.0,0.0,0.02854880194701554,0.0014189918846673464
41,experimental,0.0,0.0,18.00274085998535,5.713255102667893,0.008638550611483716,0.024355424099363684,0.0,0.0,0.02160417134026606,0.0007879087546163279,0.0,0.0,0.023067755374967573,0.00287210449342923,0.0,0.0,0.02585798820565597,0.001354180439156867
42,experimental,0.0,0.0,11.544170379638672,4.550381363706019,0.007555523252155351,0.023679681805533433,0.0,0.0,0.020141101494968377,0.0007457374024652042,0.0,0.0,0.0240551873632075,0.00446341042693994,0.0,0.0,0.02770583870903097,0.001418946082572685
43,experimental,0.0,0.0,11.396383285522461,5.26843416547658,0.007788349153489336,0.02486430769495158,0.0,0.0,0.02091608918228162,0.0006955862567902087,0.0,0.0,0.028167327311658986,0.004881031192020181,0.0,0.0,0.03210247891777802,0.0014946359760894493
44,experimental,0.0,0.0,16.157236099243164,6.96635492981955,0.007761202537244574,0.02464409201912503,0.0,0.0,0.02077682671636977,0.0006935781437309757,0.0,0.0,0.024078359647626533,0.0044007209921130865,0.0,0.0,0.027622426852543937,0.0013437062363332542
45,experimental,0.0,0.0,15.568733215332031,4.824545475495153,0.007226335089799271,0.023332440170481417,0.0,0.0,0.0195675709915112,0.0006750158493356805,0.0,0.0,0.025523869705264116,0.003140350800923923,0.0,0.0,0.029058160000648,0.0019641146503873268
46,experimental,0.0,0.0,10.127702713012695,4.161174982126396,0.006825585362832007,0.022306357925042732,0.0,0.0,0.018623419657981338,0.0006446553575837315,0.0,0.0,0.022531299065329115,0.0034919994366392694,0.0,0.0,0.025679697839408395,0.001402398606015734
47,experimental,0.0,0.0,15.822891235351562,7.433834110702142,0.00785714399402134,0.023897479569522987,0.0,0.0,0.020433715179577663,0.0006278315630030965,0.0,0.0,0.02470915520878324,0.003500777885352758,0.0,0.0,0.02816711167927242,0.0017075672849947861
48,experimental,0.0,0.0,18.106882095336914,6.18728325298322,0.007479309707903199,0.023739453317548186,0.0,0.0,0.02000910222272705,0.0006600660722123411,0.0,0.0,0.02669548454517174,0.004012975973469122,0.0,0.0,0.030169628550555688,0.0014676570141096237
49,experimental,0.0,0.0,11.448074340820312,4.015101669321459,0.006987695540300828,0.02178168361552406,0.0,0.0,0.018491180241431364,0.0006126428681263769,0.0,0.0,0.02958237391274832,0.005422638060060647,0.0,0.0,0.034109403276890916,0.0018157106315487392
