epoch,stage,train_boundary,train_continuity,train_gradient_norm_max,train_gradient_norm_mean,train_pressure,train_pure_vapor_pressure,train_solver,train_temperature,train_total,train_vapor_composition,validation_boundary,validation_continuity,validation_pressure,validation_pure_vapor_pressure,validation_solver,validation_temperature,validation_total,validation_vapor_composition
1,experimental,0.0,0.0,41.461360931396484,17.882171393806026,0.7478202674644555,1.3630912633765953,0.0,0.0,1.4776977525053392,0.048331847723683985,0.0,0.0,0.24546835609229214,0.1983746120369578,0.0,0.0,0.36017166706452886,0.015516004823597081
2,experimental,0.0,0.0,35.477455139160156,13.78249073946991,0.2088434581927478,0.3135409259597564,0.0,0.0,0.3793240688675273,0.01371014590982594,0.0,0.0,0.15312709557004722,0.09991269669978016,0.0,0.0,0.21106941182929348,0.00798596870490765
3,experimental,0.0,0.0,33.84571838378906,9.148283606454273,0.12256048550710028,0.20764471547855554,0.0,0.0,0.2370498348250481,0.010666992598107081,0.0,0.0,0.14596199935459228,0.11821969635335795,0.0,0.0,0.2140868205981082,0.009014974500849305
4,experimental,0.0,0.0,24.720911026000977,7.501596363431026,0.09738240306852759,0.19192569563625878,0.0,0.0,0.20336539094675213,0.010020141769782337,0.0,0.0,0.14413540363311766,0.14898474710174353,0.0,0.0,0.22555691100746753,0.006929134769387633
5,experimental,0.0,0.0,15.59072494506836,6.603597523829764,0.07677247301170691,0.1504770271801998,0.0,0.0,0.16068161450780227,0.00867062929716157,0.0,0.0,0.11121523624443146,0.11793967677527163,0.0,0.0,0.17650817880429417,0.006323104619934975
6,experimental,0.0,0.0,14.599154472351074,6.640068529298813,0.06997819917391887,0.14707949313973617,0.0,0.0,0.15256370145794565,0.009045756421256025,0.0,0.0,0.13650786873087825,0.20306592515434127,0.0,0.0,0.24344675031053015,0.0054059143312814
7,experimental,0.0,0.0,14.847757339477539,6.72965037977863,0.06035780448239648,0.13247846033596733,0.0,0.0,0.13502950684004064,0.008432472537391426,0.0,0.0,0.08777399915887649,0.0805715810552419,0.0,0.0,0.13467393618032156,0.00661414560065212
8,experimental,0.0,0.0,44.56749725341797,7.623858875312388,0.055837294223530724,0.12448362780386803,0.0,0.0,0.12621532275861655,0.008136214491586894,0.0,0.0,0.09512251290571258,0.1691722385136478,0.0,0.0,0.1853318533265447,0.005623221886624773
9,experimental,0.0,0.0,27.893783569335938,10.166940877736701,0.06059881169222904,0.13027389580650542,0.0,0.0,0.13325339003831133,0.007517630710324223,0.0,0.0,0.07873286398419414,0.10742805707885558,0.0,0.0,0.1380306604396866,0.005583768996623266
10,experimental,0.0,0.0,16.530498504638672,6.859969497533716,0.045552976538060175,0.11172213816878573,0.0,0.0,0.1086733761529076,0.007259331128226941,0.0,0.0,0.09011762635894568,0.13095345136271902,0.0,0.0,0.16148924464920916,0.005894893135157335
11,experimental,0.0,0.0,19.144819259643555,7.745635502788935,0.03977607842389337,0.10489155475451635,0.0,0.0,0.0989553536802825,0.006733498801605728,0.0,0.0,0.05247350327042212,0.04989662654697895,0.0,0.0,0.08278063718813011,0.005358820649828897
12,experimental,0.0,0.0,37.03665542602539,7.91456286004904,0.03419243855492048,0.09404200402329414,0.0,0.0,0.0874381810678814,0.006224741114236565,0.0,0.0,0.05532139387116375,0.10143363430916545,0.0,0.0,0.11183192963341633,0.005793719665786947
13,experimental,0.0,0.0,30.05084228515625,7.436642261050381,0.031228365061464314,0.08446274174184368,0.0,0.0,0.07940265734887011,0.005942921673888481,0.0,0.0,0.061462490170835014,0.06674170976123178,0.0,0.0,0.09982362946113908,0.004990283255072603
14,experimental,0.0,0.0,19.65806770324707,8.548829073709848,0.038695150329879274,0.09511559494632407,0.0,0.0,0.09185759948332876,0.005604651261062009,0.0,0.0,0.05234465055077909,0.060816336477018264,0.0,0.0,0.0878530000347689,0.005100180364651493
15,experimental,0.0,0.0,29.6795597076416,7.198041677599087,0.0351586711691389,0.08335661828975575,0.0,0.0,0.08195433973149047,0.005117358892059409,0.0,0.0,0.05313645520483155,0.0899365324033312,0.0,0.0,0.10212760499442916,0.00402288402666349
16,experimental,0.0,0.0,20.970104217529297,7.853081488721014,0.023445294952754055,0.06518268131082301,0.0,0.0,0.059822601889672686,0.0037859658160636304,0.0,0.0,0.03793750451092261,0.030776124654046024,0.0,0.0,0.05666840184165771,0.003342835260106318
17,experimental,0.0,0.0,26.749120712280273,9.347055466829149,0.02007669102133168,0.05636763116582367,0.0,0.0,0.05156020337268749,0.00329969670447918,0.0,0.0,0.03772185661167984,0.04234791501728167,0.0,0.0,0.061917542854705486,0.0030217305078249737
18,experimental,0.0,0.0,31.086597442626953,8.217034204374807,0.02180810791247838,0.06055683749429746,0.0,0.0,0.05544626057915921,0.003359734155332213,0.0,0.0,0.03683541750153863,0.02538688970527735,0.0,0.0,0.052196262642202604,0.0026673999951636216
19,experimental,0.0,0.0,33.38876724243164,13.370940528395026,0.021750486528094644,0.055683330071819505,0.0,0.0,0.052293847740192946,0.002701696193156951,0.0,0.0,0.0333735428840281,0.022949124462004887,0.0,0.0,0.04758986814553479,0.0027417625300586224
20,experimental,0.0,0.0,30.407135009765625,11.057770787893888,0.023299194572281086,0.04975277792036006,0.0,0.0,0.050974925409833755,0.0027993418599194316,0.0,0.0,0.029309714002063475,0.03474019282912633,0.0,0.0,0.04959542215409049,0.002915612423051912
21,experimental,0.0,0.0,26.278520584106445,8.593783975826582,0.017313176038336126,0.04590482440420968,0.0,0.0,0.04249014355870568,0.0022245554111894068,0.0,0.0,0.019963433831391566,0.012468092894204051,0.0,0.0,0.028575107446276997,0.0023776274785982914
22,experimental,0.0,0.0,25.58521270751953,8.636871231526897,0.016019919664899098,0.04202840561305055,0.0,0.0,0.039018380222720896,0.0019842575476681818,0.0,0.0,0.019594478638595845,0.01544569389647748,0.0,0.0,0.02912543276885906,0.0018081072454217328
23,experimental,0.0,0.0,29.048254013061523,9.023802205214334,0.012727524089165913,0.03771670922861938,0.0,0.0,0.03326496484271022,0.0016790861345077092,0.0,0.0,0.02284154440444636,0.010175377618611217,0.0,0.0,0.0298707314104919,0.0019414983193266643
24,experimental,0.0,0.0,30.752113342285156,8.802787358781933,0.01304144726727761,0.035719522330299104,0.0,0.0,0.032428430549447454,0.0015272218116497518,0.0,0.0,0.025978153755506838,0.011105285905840166,0.0,0.0,0.03369061180266989,0.002159815693150712
25,experimental,0.0,0.0,29.576528549194336,11.381894226312513,0.018433575702172775,0.04090758852509395,0.0,0.0,0.04054574097493612,0.0016583709372522649,0.0,0.0,0.01909492397793086,0.01321174858968301,0.0,0.0,0.028016088292541274,0.0023152902346463447
26,experimental,0.0,0.0,27.356040954589844,7.236480226372754,0.013659992652330965,0.03494637592160907,0.0,0.0,0.03267081563963609,0.0015376351258566217,0.0,0.0,0.03510209510484374,0.03202462785664093,0.0,0.0,0.053062095762376325,0.0019476867886821189
27,experimental,0.0,0.0,33.17229461669922,12.933082787088278,0.01395877556878257,0.03316239762676997,0.0,0.0,0.03193541349749091,0.0013954390642969621,0.0,0.0,0.025626599779689167,0.016880900495831505,0.0,0.0,0.03581331231328378,0.0017462623664682888
28,experimental,0.0,0.0,18.65152359008789,6.550847774865042,0.009583928296996988,0.03084965729879015,0.0,0.0,0.026138288416414444,0.0011295314380324085,0.0,0.0,0.01998514932501747,0.006021517795701343,0.0,0.0,0.024953312112624387,0.001957403835896627
29,experimental,0.0,0.0,16.109619140625,6.132586339189012,0.00920119110682959,0.028809082815554506,0.0,0.0,0.024775568603352293,0.0011698360278722755,0.0,0.0,0.018781105249402033,0.006121465214247624,0.0,0.0,0.023796436621482113,0.0019545990202284183
30,experimental,0.0,0.0,30.65042495727539,7.991692521186126,0.00990380571497229,0.027914743462829125,0.0,0.0,0.024938732974075135,0.0010775557061736575,0.0,0.0,0.020915468512888415,0.006888420157224299,0.0,0.0,0.026409361870533013,0.002049682963168226
31,experimental,0.0,0.0,23.191347122192383,8.619964442732185,0.010362008928317908,0.028344746662099216,0.0,0.0,0.025690613145795047,0.001156230886882042,0.0,0.0,0.029118279264454382,0.01790671246687332,0.0,0.0,0.039841855559722486,0.001770220149633845
32,experimental,0.0,0.0,37.1562614440918,13.190554626282152,0.012912112948974864,0.029897717895729974,0.0,0.0,0.028899155368564,0.0010381834949344932,0.0,0.0,0.023958595680544176,0.014023415646684098,0.0,0.0,0.03261240031345781,0.0016420969077531832
33,experimental,0.0,0.0,40.19280242919922,8.44917923531639,0.01161410422963689,0.028831655480537732,0.0,0.0,0.027090619244011103,0.0010606873133371887,0.0,0.0,0.03938348811254444,0.021008423796619276,0.0,0.0,0.052360142516084465,0.0024724416563803534
34,experimental,0.0,0.0,33.06550216674805,11.914659749834815,0.013916831263833094,0.02996882989242448,0.0,0.0,0.03004078208752469,0.0011395361052194822,0.0,0.0,0.02847279363188399,0.012233864437474543,0.0,0.0,0.036284935160214644,0.0016952090924717935
35,experimental,0.0,0.0,28.132583618164062,9.228645126624755,0.010866880240398792,0.027351744054103507,0.0,0.0,0.025532832956799673,0.0009900808349743346,0.0,0.0,0.026073698358363415,0.011768071254692881,0.0,0.0,0.03350267263062029,0.0015449384566822864
36,experimental,0.0,0.0,16.878131866455078,5.806899073594315,0.010952090591743477,0.02841325617748769,0.0,0.0,0.02639034044391193,0.0012316218971719366,0.0,0.0,0.023374822031123094,0.003998153499350041,0.0,0.0,0.027452739911625185,0.0020788415646494692
37,experimental,0.0,0.0,24.176681518554688,7.400591139865381,0.009605448362395703,0.024778335747434595,0.0,0.0,0.023113441519862946,0.0011188252488132284,0.0,0.0,0.02206089382609689,0.005034202842198941,0.0,0.0,0.026595062663756223,0.0020170675646738116
38,experimental,0.0,0.0,23.120325088500977,9.965085155451316,0.009210033066445193,0.025284525873852173,0.0,0.0,0.022707954360965305,0.0008556582475721521,0.0,0.0,0.01952020678085735,0.012037960399525711,0.0,0.0,0.027587058565702784,0.0020478717259030384
39,experimental,0.0,0.0,18.92580795288086,6.816626745111802,0.008163695196237634,0.022633240602324866,0.0,0.0,0.020337876503078004,0.0008575610740969363,0.0,0.0,0.022619191341730484,0.005092263666082578,0.0,0.0,0.026933924701199475,0.0017686018551957895
40,experimental,0.0,0.0,19.326807022094727,7.392437727608947,0.0086057691338905,0.02130818828350861,0.0,0.0,0.020117722630824647,0.0008578593866622782,0.0,0.0,0.01848343235541539,0.0036664449520050044,0.0,0.0,0.022207603495882217,0.0018909486024696605
41,experimental,0.0,0.0,17.085716247558594,8.37942252259649,0.007968479905431175,0.02214064362969391,0.0,0.0,0.019834198318419417,0.0007953967033680708,0.0,0.0,0.019766522037336625,0.005132891481226108,0.0,0.0,0.024097606993044716,0.001764639001339674
42,experimental,0.0,0.0,15.413797378540039,5.4086255409145405,0.006554535335465055,0.020428732530104993,0.0,0.0,0.017536938008171143,0.0007680364352840502,0.0,0.0,0.020757916165762638,0.0033800713389730416,0.0,0.0,0.02431370803570173,0.0018657563290704626
