epoch,stage,train_boundary,train_continuity,train_gradient_norm_max,train_gradient_norm_mean,train_pressure,train_pure_vapor_pressure,train_solver,train_temperature,train_total,train_vapor_composition,validation_boundary,validation_continuity,validation_pressure,validation_pure_vapor_pressure,validation_solver,validation_temperature,validation_total,validation_vapor_composition
1,experimental,0.0,0.0,51.623382568359375,20.82237449429997,0.7658460005853074,1.201368119018229,0.0,0.0,1.409729558441244,0.04319947289668048,0.0,0.0,0.15355566216995253,0.2052826459375804,0.0,0.0,0.2700577692297481,0.013860784039751396
2,experimental,0.0,0.0,23.92516326904297,10.03808549944073,0.19388667872345347,0.2872397850423505,0.0,0.0,0.35190444874760046,0.014397876974083316,0.0,0.0,0.19326763527105317,0.19396581295752685,0.0,0.0,0.297962432859728,0.007711887712146612
3,experimental,0.0,0.0,18.68999481201172,7.9770328735798985,0.11298327776411701,0.19176483282325144,0.0,0.0,0.21858916975365164,0.009723476405175723,0.0,0.0,0.12225357062064561,0.15623532207620225,0.0,0.0,0.2065458070511786,0.006174572972555788
4,experimental,0.0,0.0,16.701387405395508,6.463842512296318,0.09209571670238792,0.16603157920465594,0.0,0.0,0.18400908999062163,0.008897583835229447,0.0,0.0,0.1271872779366954,0.23353558320727125,0.0,0.0,0.25129802383032424,0.007342951042865147
5,experimental,0.0,0.0,44.08102798461914,7.3494577850028815,0.08255761710701694,0.14731269598730412,0.0,0.0,0.16408238656497082,0.007868421327657154,0.0,0.0,0.13354783917233448,0.1685512620330657,0.0,0.0,0.22350497965844685,0.005681510207762054
6,experimental,0.0,0.0,17.908449172973633,7.704240606851562,0.0820979015762047,0.15630173843238832,0.0,0.0,0.16839515105283762,0.008146379718770358,0.0,0.0,0.12146080588334358,0.14342330699199,0.0,0.0,0.19947002368085337,0.006297564984693024
7,experimental,0.0,0.0,19.988122940063477,6.249030513465878,0.06771370029408137,0.12388992207545896,0.0,0.0,0.13653990608362487,0.006881245153508278,0.0,0.0,0.08883057927725299,0.1311150716855222,0.0,0.0,0.15941271473897384,0.005024599721467735
8,experimental,0.0,0.0,23.288490295410156,8.929090394564623,0.07007499424239967,0.128511774527894,0.0,0.0,0.14090173996185337,0.006570857977805353,0.0,0.0,0.10274398107856712,0.16085769006069875,0.0,0.0,0.18997206783934728,0.006799240872238907
9,experimental,0.0,0.0,27.190431594848633,8.46248292916086,0.0678771402830508,0.12318374165113857,0.0,0.0,0.13613333869588248,0.006664326382045171,0.0,0.0,0.07897569525161846,0.11887071697703944,0.0,0.0,0.1441559818767061,0.005744926124536151
10,experimental,0.0,0.0,46.631752014160156,7.658765437715611,0.057883742464367026,0.1085057386803727,0.0,0.0,0.11797966554418698,0.005843053980434921,0.0,0.0,0.07598885554295258,0.09996650508486185,0.0,0.0,0.13070017443407303,0.004728064687622573
11,experimental,0.0,0.0,19.594242095947266,7.033149011249093,0.04620980199953216,0.09238711373578361,0.0,0.0,0.09746801464023505,0.005064655807855074,0.0,0.0,0.07679261324189654,0.0929933946504689,0.0,0.0,0.1273934186705007,0.004104107354873879
12,experimental,0.0,0.0,18.01206398010254,6.14823540779581,0.04274099153280474,0.08620297724361449,0.0,0.0,0.09064397985008296,0.004801499493514023,0.0,0.0,0.06285185322365505,0.0709991005243071,0.0,0.0,0.10267106556652376,0.0043196623057327015
13,experimental,0.0,0.0,29.10494041442871,7.27078499698267,0.040087184251682804,0.08887495507089178,0.0,0.0,0.08885572125663582,0.0043310594251135875,0.0,0.0,0.06903315855552686,0.09622886792925381,0.0,0.0,0.12423068903036566,0.007083095310118375
14,experimental,0.0,0.0,31.883642196655273,11.86275124415555,0.04399293978329547,0.08135349965243606,0.0,0.0,0.08870115284499243,0.004031463321676378,0.0,0.0,0.05774056347424552,0.07885805420927554,0.0,0.0,0.10054362754293736,0.003374036736223822
15,experimental,0.0,0.0,22.6973876953125,7.098591340685036,0.028923096397853166,0.06627476860656226,0.0,0.0,0.06547849237161205,0.0034180115445279027,0.0,0.0,0.039663849921034486,0.042530704137162874,0.0,0.0,0.06334845176179137,0.002419249130562948
16,experimental,0.0,0.0,19.13691520690918,7.287286518454534,0.025995726335944942,0.06466586758476384,0.0,0.0,0.06108877554624115,0.002760115415593721,0.0,0.0,0.03960011970976855,0.04531148723857915,0.0,0.0,0.06478105905472033,0.002525195960367986
17,experimental,0.0,0.0,32.78010940551758,7.022737003553987,0.02389463080932975,0.05950475031802993,0.0,0.0,0.056177029145361455,0.0025300234324141,0.0,0.0,0.0367298873128907,0.04428605680797724,0.0,0.0,0.06179113441065654,0.002918218097793276
18,experimental,0.0,0.0,25.782560348510742,9.633267463398655,0.023818967399265006,0.05527302360711812,0.0,0.0,0.053686961958893255,0.0022314824598684514,0.0,0.0,0.047910569798226325,0.0438060028591012,0.0,0.0,0.07189831614694339,0.002084744264115423
19,experimental,0.0,0.0,17.111003875732422,7.124496390808185,0.017339169891922697,0.046293436645789936,0.0,0.0,0.04241213300841815,0.0019262447319203773,0.0,0.0,0.02727088117659492,0.026102472789235564,0.0,0.0,0.042122742113651045,0.0018006250735734834
20,experimental,0.0,0.0,28.99013900756836,10.133249728713752,0.017018108141639343,0.03703270255136392,0.0,0.0,0.03714092664267783,0.0016064670176485938,0.0,0.0,0.03836472402483025,0.028611842187859067,0.0,0.0,0.054274466598793966,0.0016038222205606383
21,experimental,0.0,0.0,30.327281951904297,9.403196589133652,0.021116959273860356,0.046478051989280504,0.0,0.0,0.04599001070275466,0.0016340253140678003,0.0,0.0,0.025605028540196036,0.03519696917434867,0.0,0.0,0.04616023469591301,0.0029567219870127487
22,experimental,0.0,0.0,23.435104370117188,7.314789190933605,0.014240016692623262,0.033424925126513315,0.0,0.0,0.03242006317178164,0.0014675840754000055,0.0,0.0,0.02001244074996286,0.01761708921071567,0.0,0.0,0.030543769300984056,0.0017227844077306205
23,experimental,0.0,0.0,21.371227264404297,7.9685794914903525,0.01375382448094985,0.033312528028344786,0.0,0.0,0.031732283701314916,0.0013221952928567557,0.0,0.0,0.026125120231569213,0.014812721422054623,0.0,0.0,0.035035483364090826,0.0015040017326906224
24,experimental,0.0,0.0,26.252208709716797,7.463297810183256,0.012544991000886793,0.03171509896355199,0.0,0.0,0.02951494162552738,0.0011124012174465693,0.0,0.0,0.01747952752915405,0.009189311609972243,0.0,0.0,0.023553513840540944,0.001479330562186371
25,experimental,0.0,0.0,17.775476455688477,6.183932081357809,0.010804603994619109,0.027711678556433354,0.0,0.0,0.025652607074608723,0.0009921637989142615,0.0,0.0,0.025695080225099653,0.0118994507176064,0.0,0.0,0.03304108119750983,0.0013962754432812034
26,experimental,0.0,0.0,22.208410263061523,10.49327096666333,0.01157284645034369,0.02670660591620382,0.0,0.0,0.02588670679183644,0.000960557380162215,0.0,0.0,0.024707256777574554,0.017282685113683242,0.0,0.0,0.0349679085932322,0.001619309511179442
27,experimental,0.0,0.0,23.50921630859375,6.903893442662245,0.010926467596690349,0.028495748298317754,0.0,0.0,0.02626939797264104,0.001095056366244694,0.0,0.0,0.01650424231618843,0.008426980713644883,0.0,0.0,0.022539578995748655,0.0018218464905633623
28,experimental,0.0,0.0,14.157377243041992,6.319497604788891,0.008149693853088788,0.02383158921780557,0.0,0.0,0.020867185333802076,0.0008016970275136849,0.0,0.0,0.016230690236759666,0.007598567043349847,0.0,0.0,0.021619790099911242,0.0015898165461801042
29,experimental,0.0,0.0,19.48529052734375,8.617096576665878,0.009561581242314057,0.023827666779378733,0.0,0.0,0.022316769068401774,0.0008413545099503686,0.0,0.0,0.015417990888525175,0.006154398664663352,0.0,0.0,0.02000135672622479,0.001506166211360653
30,experimental,0.0,0.0,20.6593017578125,6.3649836713379555,0.0088237200742048,0.025672479048862523,0.0,0.0,0.02246029630761309,0.0008003367849970167,0.0,0.0,0.021255120157495443,0.009679995852228779,0.0,0.0,0.027562985949268277,0.0014678679158186053
31,experimental,0.0,0.0,22.0192928314209,7.24188611356919,0.01027276016004727,0.026677936397328225,0.0,0.0,0.024443749670398283,0.0008320212092454526,0.0,0.0,0.016135187984612963,0.005176758673354583,0.0,0.0,0.020327047568639654,0.0016034807916105594
32,experimental,0.0,0.0,13.087703704833984,4.730623205359334,0.0075464476833275234,0.021690490212775502,0.0,0.0,0.019133424076838084,0.000741731149351506,0.0,0.0,0.021296825457439328,0.009258776691886003,0.0,0.0,0.027303583474967304,0.0013773694689129324
